Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
GradientBoostingClassifier,[6 1 3 3 5],0.914519814264305,0.00844746319488,0.141771409099283
VotingClassifier,[6 1 3 3 5],0.904359015305997,0.010358011118739,0.144396805564085
RandomForestClassifier,[6 1 3 3 5],0.898411664987839,0.007043335469784,0.165399977282497
AdaBoostClassifier,[6 1 3 6 5],0.893958676264649,0.01510566626426,0.220533303043329
ExtraTreesClassifier,[6 1 3 3 5],0.892471685133774,0.013310557146167,0.165399977282497
KNeighborsClassifier,[6 1 3 6 1],0.877779831832548,0.015037209111277,0.261603607691726
GaussianNB,[4 1 2 6 1],0.860133047408227,0.017096752498811,0.275033129777241
DecisionTreeClassifier,[6 1 3 6 5],0.859511583912734,0.020820139610541,0.257288853550551
SVC,[6 6 3 3 5],0.829562918533507,0.017179428101798,0.36179573957643
LinearDiscriminantAnalysis,[6 1 3 3 5],0.771807360636808,0.020370468120467,0.343926936889001
LogisticRegression,[4 1 2 3 1],0.708543472236821,0.025944663279992,0.558120308731303
MLPClassifier,[4 1 4 6 1],0.691897827891533,0.029330330915059,0.562799274821946
