Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
GradientBoostingClassifier,[6 1 3 3 5],0.9145198142643048,0.008447463194879523,0.18531643206326415
GradientBoostingClassifier,[6 1 3 6 5],0.90931380979289,0.01571840123195234,0.1928487232571742
GradientBoostingClassifier,[6 1 1 3 4],0.8995110024449879,0.0130503727580269,0.2135649442520548
GradientBoostingClassifier,[6 5 2 3 4],0.8975646769764417,0.009551164949843005,0.2538060350399681
GradientBoostingClassifier,[4 1 3 6 5],0.8946766823084294,0.01528563232010156,0.2328839075949517
GradientBoostingClassifier,[6 1 4 3 4],0.8933985330073348,0.0157772770708085,0.2477222865954509
GradientBoostingClassifier,[6 3 3 3 3],0.8902295540562779,0.010172389397294573,0.30909709093260684
GradientBoostingClassifier,[6 5 3 4 5],0.8901972828443416,0.010327170930870494,0.3979930418523686
GradientBoostingClassifier,[3 1 3 6 5],0.8889971255190033,0.015705747053955783,0.2513285796289752
GradientBoostingClassifier,[6 1 2 1 4],0.8887284403246634,0.01905231410834456,0.2399380474575444
GradientBoostingClassifier,[4 1 2 6 5],0.8884330504818065,0.01471964115829175,0.2733241169983832
GradientBoostingClassifier,[6 1 3 3 2],0.8882867195420121,0.01288058564444807,0.24924810541276435
GradientBoostingClassifier,[6 1 2 6 2],0.8870716888028038,0.013475888114082428,0.2635283085999389
GradientBoostingClassifier,[6 1 3 6 3],0.8870707853777805,0.01892211385995329,0.2379480721882761
GradientBoostingClassifier,[6 1 3 6 4],0.88679706601467,0.015270901192789428,0.2569946817014461
GradientBoostingClassifier,[6 1 3 5 5],0.8865114365034519,0.0191769703435548,0.27900054129537954
GradientBoostingClassifier,[6 1 3 4 3],0.8863080684596577,0.0144337135874283,0.2643309068800743
VotingClassifier,[6 1 2 3 5],0.8862688253937054,0.011046320005168342,0.26277638850241586
GradientBoostingClassifier,[4 1 3 3 5],0.8850650801928459,0.0102975107895042,0.2632965956468147
GradientBoostingClassifier,[6 5 3 6 5],0.8848225899696487,0.011446624031498844,0.3780324309615236
GradientBoostingClassifier,[6 4 3 3 3],0.8843960835938786,0.014625925233062569,0.2874715513393606
GradientBoostingClassifier,[6 6 1 3 4],0.8843520782396087,0.015073899894179312,0.31414456661446416
GradientBoostingClassifier,[6 6 6 1 5],0.8842897550218132,0.009166628360942607,0.33571275760710323
GradientBoostingClassifier,[6 1 1 5 5],0.8835532623807468,0.023536324793718942,0.30260322299880216
RandomForestClassifier,[6 1 3 3 3],0.8834039000536704,0.012359949088143007,0.2535445674200419
GradientBoostingClassifier,[4 1 2 6 4],0.8832065117137059,0.015085021292541563,0.2289987352276567
GradientBoostingClassifier,[6 1 2 6 3],0.8831552269067924,0.013180655130808471,0.2104328914319125
GradientBoostingClassifier,[6 1 4 6 4],0.8829655506364139,0.01481533408178899,0.2528331913696131
GradientBoostingClassifier,[6 5 2 6 2],0.8826435741319731,0.010790432496703492,0.273048087274397
GradientBoostingClassifier,[6 5 4 3 6],0.8825817796406031,0.009466000960079114,0.3179662613471114
VotingClassifier,[6 3 3 3 5],0.8823619742737389,0.012154924480986404,0.35004707932074125
GradientBoostingClassifier,[6 5 3 6 1],0.8823207134609243,0.01858303736094412,0.2902197528904427
GradientBoostingClassifier,[6 1 4 6 5],0.8823091950716717,0.01692380595963031,0.3220470503296624
GradientBoostingClassifier,[6 1 6 1 5],0.8818411716764946,0.014909016692897528,0.2901565156504866
GradientBoostingClassifier,[6 4 1 3 4],0.8816625916870416,0.019566013715151636,0.2779211379344842
GradientBoostingClassifier,[4 1 6 6 5],0.8813347955319047,0.00956715133387257,0.2593527101035727
GradientBoostingClassifier,[6 6 2 1 1],0.8813076461907399,0.012018796631660212,0.2610908044913008
GradientBoostingClassifier,[4 6 2 3 6],0.8812389807000635,0.018089346251826302,0.2933428688366069
RandomForestClassifier,[6 1 1 3 3],0.8809565269246825,0.014018059370112787,0.25382268966618715
GradientBoostingClassifier,[6 5 1 6 5],0.8808625773047606,0.01806562820649821,0.3823938677526883
GradientBoostingClassifier,[6 1 3 4 2],0.8806845965770171,0.017826627025484782,0.28837324411430343
GradientBoostingClassifier,[4 5 2 3 6],0.8806282218046924,0.018929936687455743,0.31765292161389835
RandomForestClassifier,[6 1 1 3 4],0.8801955990220051,0.012175940927128351,0.2838266729736599
GradientBoostingClassifier,[6 1 4 3 2],0.8801955990220047,0.01686864382460668,0.26299109410472504
GradientBoostingClassifier,[6 6 4 3 4],0.8795452408378195,0.014772991185983303,0.31582463336913835
GradientBoostingClassifier,[6 5 3 3 2],0.8794135713253362,0.014931298641609232,0.2994615680351361
GradientBoostingClassifier,[4 6 6 3 6],0.8793072239591904,0.016503394983516294,0.3476327805783589
GradientBoostingClassifier,[6 4 4 3 1],0.8789731051344744,0.007516100806327323,0.29002127028384195
GradientBoostingClassifier,[6 1 3 4 4],0.8787286063569681,0.013533841078824485,0.2862336059815397
GradientBoostingClassifier,[6 5 2 6 3],0.8786897191308956,0.020105181322005696,0.3414682318441566
GradientBoostingClassifier,[4 1 3 3 4],0.8785060831840046,0.012863270515411113,0.3455630673606709
GradientBoostingClassifier,[6 1 3 2 4],0.878484107579462,0.01475322722889544,0.2861341583353701
GradientBoostingClassifier,[6 4 3 6 5],0.8781639928698753,0.012856553952118757,0.3655570336783529
GradientBoostingClassifier,[4 6 6 6 1],0.8781607406382588,0.0239029800332078,0.3722866169202476
VotingClassifier,[4 1 4 6 1],0.8781561289429994,0.01165953149272756,0.2823467980158937
GradientBoostingClassifier,[4 6 2 3 2],0.8780901055502008,0.015183131486581288,0.33816183257191823
GradientBoostingClassifier,[6 5 3 4 3],0.8779170882112058,0.015462336114900485,0.3605788964738925
GradientBoostingClassifier,[4 6 1 3 5],0.8775704493526275,0.01739454163520055,0.3052484795204703
GradientBoostingClassifier,[4 1 4 6 5],0.8771753200057529,0.01238137836194111,0.29611669637045723
GradientBoostingClassifier,[6 3 3 3 4],0.8771145301958203,0.01679555948074276,0.290833924764574
GradientBoostingClassifier,[5 1 3 6 5],0.8766165884578531,0.01776849387167831,0.2516361692880956
GradientBoostingClassifier,[6 1 3 5 3],0.8766055327617129,0.006813263573822358,0.3744291578789275
GradientBoostingClassifier,[6 2 3 6 5],0.8764633617574795,0.016249276321011658,0.3394173931232104
GradientBoostingClassifier,[6 4 3 6 2],0.8763899010319942,0.011248425533306588,0.3340256712459373
VotingClassifier,[6 3 3 3 3],0.8756893674040291,0.012525105472242386,0.3788255908046225
GradientBoostingClassifier,[6 6 2 6 5],0.8756223700604151,0.02319293434800335,0.3724783833632388
GradientBoostingClassifier,[5 1 2 3 4],0.8753706324964613,0.01531113616803741,0.3063967571766248
