Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
GradientBoostingClassifier,[6 1 2 3 5],0.900138196201754,0.016620654842482,0.212657113648925
RandomForestClassifier,[6 1 3 3 5],0.898411664987839,0.007043335469784,0.165399977282497
ExtraTreesClassifier,[6 1 3 3 5],0.892471685133774,0.013310557146167,0.165399977282497
VotingClassifier,[6 1 3 3 1],0.885846502474805,0.012231499514438,0.227931856206653
AdaBoostClassifier,[6 1 3 3 1],0.878758423281054,0.013923895703861,0.225341721477032
KNeighborsClassifier,[6 1 3 3 3],0.863119446597889,0.012398980240797,0.264193742421347
GaussianNB,[6 1 3 3 1],0.846974774882223,0.014854246653748,0.303045763365663
DecisionTreeClassifier,[6 1 2 6 1],0.835653016048699,0.017728608732088,0.466028358789213
SVC,[6 6 3 3 5],0.829562918533507,0.017179428101798,0.36179573957643
LinearDiscriminantAnalysis,[6 1 3 3 1],0.762403840419822,0.014478536187865,0.388520209443158
LogisticRegression,[4 5 2 3 1],0.694199721160907,0.017258586107678,0.621471011838696
MLPClassifier,[4 1 3 1 1],0.657463453739508,0.024820265978462,0.732442854779551
