Indices,Accuracy
[6 1 3 6 5],0.868186944246122
[6 1 2 6 1],0.868186132926592
[6 1 2 3 5],0.86778371843967
[6 1 2 6 6],0.864563185565003
[6 1 3 6 1],0.864359544362952
[6 1 2 6 5],0.862548679171805
[6 1 6 6 1],0.86254665087298
[6 1 2 3 6],0.862141802427468
[6 1 2 3 2],0.86133981307198
[6 1 2 3 4],0.861140634127345
[6 1 3 3 5],0.859531381839423
[4 1 2 6 1],0.856512867527747
[6 1 6 6 6],0.856511244888687
[6 1 4 6 1],0.855703576296489
[6 6 6 1 1],0.854294314272733
[4 1 3 6 1],0.853894333744402
[6 1 2 1 1],0.853089504770559
[6 4 2 3 2],0.852889920166158
[6 1 2 1 4],0.852886269228273
[6 6 6 1 5],0.852689929901992
[6 1 6 6 4],0.852688712922697
[6 1 2 1 6],0.851879827351204
[6 1 3 1 5],0.851685110663984
[6 1 3 3 3],0.851681054066333
[6 1 6 6 5],0.851481469461933
[6 1 2 1 2],0.85067745180762
[6 4 2 3 6],0.850674206529499
[6 1 2 1 5],0.850275442980463
[6 1 3 4 5],0.850275037320698
[6 3 2 3 6],0.850271386382813
[6 4 2 3 1],0.850270980723048
[6 1 2 3 1],0.850070990458882
[6 1 4 3 1],0.849669387291491
[6 6 2 3 2],0.849469397027325
[4 1 4 6 1],0.849264944505744
[4 1 6 6 6],0.849060897643928
[4 1 6 6 1],0.848863341338353
[6 6 2 3 1],0.848862530018823
[6 5 2 3 6],0.848858473421172
[6 6 6 1 2],0.848662945414422
[6 5 2 1 5],0.848662539754657
[6 1 3 3 1],0.848660917115597
[6 1 3 6 3],0.848461738170961
[4 1 2 1 4],0.848459709872136
[6 6 3 3 1],0.84825322905173
[6 5 2 6 1],0.847851625884338
[6 5 2 3 4],0.847650418640878
[6 1 6 6 2],0.847459352891543
[6 1 3 1 3],0.847253277730901
[6 5 2 3 2],0.847249221133251
[6 6 3 3 2],0.84704882520932
[6 6 2 1 1],0.84685248588304
[4 1 2 6 6],0.846851268903745
[6 1 4 6 5],0.84685086324398
[6 1 6 3 4],0.84685005192445
[6 3 2 6 1],0.846847212306095
[6 1 3 6 4],0.846646005062634
[6 1 3 3 6],0.846450477055884
[6 6 2 1 5],0.846448043097294
[6 6 6 1 6],0.846248864152658
[4 1 1 6 1],0.846248458492893
[5 1 3 6 1],0.846047656909197
[6 6 6 1 4],0.846045222950607
[4 1 2 6 5],0.845850100603622
[6 1 2 6 2],0.845848072304796
[6 4 2 1 5],0.845643619783215
[6 1 6 1 6],0.845641997144155
[6 1 2 6 3],0.845441601220225
[6 1 3 3 4],0.84544119556046
[6 1 6 3 1],0.845439978581164
[6 1 3 6 6],0.845241610956059
[4 5 2 6 1],0.845237554358408
[6 6 3 3 4],0.845237554358408
[6 5 6 6 1],0.844835139871487
[6 1 6 1 4],0.844636772246382
[4 1 2 3 5],0.844633526968261
[6 6 6 3 4],0.844439621600571
[6 4 2 3 4],0.844435159343156
[6 4 2 1 6],0.844432725384566
[6 4 3 3 2],0.844231518141105
[4 6 6 1 2],0.843832754592068
[4 1 2 1 1],0.843831943272539
[6 6 2 3 6],0.843830726293243
[5 1 2 6 1],0.843632764327903
[6 5 2 3 5],0.843428717466087
[6 5 2 6 5],0.843228727201921
[4 1 6 6 4],0.84282793535406
[6 6 4 3 2],0.842825095735705
[6 1 4 1 4],0.842628350749659
[6 1 3 4 1],0.842625916791069
[4 1 2 3 1],0.842620643214123
[6 1 4 3 4],0.842424303887843
[6 6 3 3 6],0.842421464269488
[6 1 3 2 1],0.842224719283443
[6 6 6 3 6],0.841823116116051
[6 1 3 3 2],0.841820682157461
[6 6 3 1 2],0.841813785941455
[4 1 2 3 4],0.84161785227494
[6 5 2 3 1],0.841614606996819
[4 1 3 6 5],0.841217466086844
[6 1 3 1 1],0.841217060427078
[6 4 2 3 5],0.841019098461738
[6 1 2 6 4],0.841014636204323
[6 6 3 3 5],0.841014636204323
[6 1 2 1 3],0.841010579606672
[6 3 2 6 6],0.840811400662037
[6 1 4 3 5],0.840611004738106
[6 4 6 1 6],0.840609787758811
[6 1 6 6 3],0.840414259752061
[6 4 2 1 2],0.84040776919582
[6 6 3 1 3],0.840208184591419
[6 1 1 6 1],0.840009411306549
[6 6 4 3 1],0.840006166028429
[6 1 6 3 5],0.839815505938859
[4 1 6 6 5],0.839809015382618
[6 3 3 3 5],0.839806987083793
[6 6 4 1 1],0.839805770104498
[6 1 3 6 2],0.839606591159862
[6 4 2 1 1],0.839604562861037
[6 1 6 4 1],0.839604562861037
[6 4 2 6 5],0.839205393652236
[6 1 3 1 6],0.839002563769715
[4 1 2 1 5],0.83880500746414
[6 6 6 1 3],0.838801356526254
[4 1 3 3 3],0.838599337963263
[6 6 2 1 2],0.838597309664438
[6 3 2 3 2],0.838397725060038
[6 4 4 3 2],0.838397319400273
[6 6 6 3 1],0.838199357434932
[6 3 2 3 1],0.838194083857986
[6 5 3 6 5],0.837996527552411
[6 6 2 3 5],0.837794103329655
[6 1 6 1 2],0.837794103329655
[4 1 6 1 4],0.83779369766989
[6 3 3 3 1],0.83779288635036
[4 5 4 6 1],0.83778964107224
[6 3 2 1 6],0.837788424092945
[6 4 6 1 2],0.837592896086195
[6 1 2 4 1],0.837394528461089
[6 5 6 6 6],0.837394122801324
[6 1 3 5 5],0.837393311481794
[6 5 6 3 6],0.837392905822029
[6 1 6 4 6],0.837391283182969
[6 3 2 3 4],0.837388849224379
[4 1 3 3 1],0.837386415265788
[6 1 2 3 3],0.837384792626728
[6 5 4 6 1],0.837384386966963
[4 1 2 1 6],0.837194132537159
[6 4 3 4 1],0.837188047640683
[6 1 6 3 6],0.836995764912053
[6 4 4 3 4],0.836989680015577
[6 1 6 3 2],0.836989680015577
[6 4 6 3 6],0.836989274355812
[6 5 2 6 6],0.836986434737457
[3 1 3 6 1],0.836985623417927
[6 3 2 1 2],0.836985623417927
[6 4 3 3 1],0.836985217758162
[6 4 4 3 1],0.836791312390472
[6 6 6 6 5],0.836591727786071
[4 6 6 1 1],0.836584831570066
[6 3 3 6 1],0.836583208931005
[6 6 3 1 5],0.836583208931005
[6 5 3 3 5],0.83638970922308
[6 6 6 3 2],0.836387680924255
[6 6 3 3 3],0.836382001687545
[4 6 6 1 6],0.836380379048484
[6 3 3 3 6],0.836185256701499
[6 1 4 6 6],0.836183634062439
[6 3 2 3 5],0.836182417083144
[6 6 4 3 6],0.836182011423379
[6 6 3 4 1],0.836178360485493
[4 1 2 3 2],0.835983643798273
[6 1 3 4 6],0.835982021159213
[6 1 1 3 2],0.835981209839683
[6 1 6 4 4],0.835785276173168
[6 1 1 6 5],0.835785276173168
[6 1 3 1 2],0.835783247874343
[6 3 3 3 2],0.835780813915752
[6 5 4 3 6],0.835780002596223
[6 1 3 4 3],0.835779596936457
[6 6 4 1 2],0.835778379957162
[6 6 2 3 4],0.835581634971117
[6 4 3 3 5],0.835581229311352
[6 3 3 3 3],0.835581229311352
[6 5 2 1 6],0.835580417991822
[6 5 3 6 1],0.835579201012527
[6 6 4 1 4],0.835377182449536
[6 4 4 3 6],0.835175975206075
[4 1 2 3 6],0.835173541247485
[6 5 6 6 5],0.834981258518855
[6 1 4 3 2],0.834976390601674
[6 6 1 3 2],0.834975579282144
[6 1 6 1 5],0.834782079574219
[6 4 6 3 4],0.834775994677744
[6 3 2 6 5],0.834576410073343
[6 4 6 6 5],0.834376014149412
[4 1 2 1 2],0.834374797170117
[6 1 4 6 4],0.834373174531057
[6 5 2 1 2],0.834370740572467
[6 4 2 1 4],0.834369929252937
[6 3 2 1 1],0.834366683974817
[6 3 3 1 5],0.834171561627831
[6 3 2 1 4],0.834168316349711
[6 5 4 6 6],0.834167505030181
[6 6 1 1 2],0.833969137405076
[6 5 4 3 2],0.833968326085545
[6 6 3 6 1],0.83396548646719
[6 1 4 1 5],0.833775232037386
[4 6 2 3 2],0.833770364120205
[6 4 4 1 4],0.83376752450185
[4 1 3 3 5],0.833573213474395
[6 1 1 3 1],0.833567939897449
[6 1 4 1 1],0.833567128577919
[6 4 3 3 6],0.833564694619329
[6 6 3 1 1],0.833560638021678
[6 6 6 6 1],0.833372006230934
[6 1 6 1 3],0.833367543973518
[6 6 6 6 6],0.833367138313754
[6 3 3 1 3],0.833366732653989
[6 3 6 1 4],0.833359430778218
[6 1 2 4 5],0.833169176348413
[6 6 3 4 5],0.833167553709353
[6 1 1 3 5],0.833166742389823
[6 6 6 4 1],0.833166336730058
[6 4 6 1 4],0.833165931070293
[4 1 6 4 4],0.833165119750763
[6 4 3 6 6],0.833164714090998
[5 1 2 3 1],0.833164308431233
[6 4 6 3 2],0.832967157785422
[6 3 3 6 5],0.832964318167067
[6 1 6 1 1],0.832963506847537
[6 6 2 1 6],0.832962289868242
[6 1 4 1 2],0.832765139222431
[6 6 3 1 6],0.832763110923606
[4 1 2 4 1],0.832569205555916
[6 5 6 6 2],0.832567177257091
[6 1 1 6 6],0.832563526319206
[6 6 3 6 5],0.832562714999675
[6 5 2 1 1],0.832553790484845
[6 5 4 3 5],0.832364753034335
[6 1 2 4 6],0.83236191341598
[4 6 6 6 6],0.83236110209645
[6 4 6 1 5],0.832360290776919
[6 4 3 3 4],0.832359073797625
[6 6 1 1 1],0.832357856818329
[6 1 1 6 4],0.832159894852989
[6 3 3 1 2],0.832157460894399
[6 1 4 6 2],0.831961121568119
[6 5 3 1 5],0.831758697345363
[4 1 3 6 6],0.831753829428182
[6 6 6 3 5],0.831561952359317
[6 6 3 1 4],0.831548159927306
[6 4 3 6 5],0.831358716817031
[1 1 3 6 1],0.831356688518206
[6 4 6 1 1],0.831356688518206
[6 1 6 4 2],0.83115426429545
[4 5 2 3 1],0.831148990718505
[6 4 6 3 5],0.830955896670345
[6 6 1 3 6],0.83095549101058
[4 1 3 4 1],0.830954274031285
[6 1 3 5 1],0.830952651392224
[6 5 2 6 2],0.830952245732459
[4 4 6 1 2],0.830951840072694
[6 6 4 1 6],0.830946566495749
[4 6 2 3 6],0.830752255468294
[6 1 2 5 1],0.830751038488999
[6 6 1 3 1],0.830749821509703
[3 1 2 6 1],0.830749010190173
[6 4 2 6 2],0.830747793210878
[6 4 3 1 3],0.830747793210878
[6 1 4 1 6],0.830546991627183
[6 4 4 1 1],0.830347407022782
[6 3 3 6 2],0.830345784383722
[6 5 4 3 1],0.830345784383722
[6 5 6 1 6],0.830345784383722
[6 1 3 4 4],0.830148228078146
[6 1 3 1 4],0.830148228078146
[6 5 3 4 5],0.830147416758616
[6 5 3 3 2],0.830146199779321
[6 6 4 3 4],0.830145388459791
[4 1 6 1 5],0.829950266112806
[4 1 6 6 2],0.829950266112806
[6 6 1 1 5],0.829946209515155
[6 1 5 6 1],0.829945398195625
[6 4 2 6 6],0.82994499253586
[6 1 3 2 5],0.829750681508405
[6 4 3 4 5],0.82974540793146
[6 1 4 4 1],0.82974297397287
[6 4 4 3 5],0.829549474264944
[6 3 2 6 2],0.829543795028234
[4 1 6 3 1],0.829342993444538
[6 5 4 3 4],0.829342182125008
[6 4 2 4 1],0.829341776465243
[6 1 4 3 6],0.829339342506653
[4 6 6 3 6],0.829338936846888
[6 6 4 6 1],0.829140569221782
[6 6 6 6 2],0.828944229895502
[6 4 6 4 1],0.828942607256442
[6 5 6 6 4],0.828939767638087
[4 6 2 1 1],0.828938550658791
[4 1 1 3 1],0.828933682741611
[6 6 1 3 5],0.828741805672746
[6 1 1 6 2],0.828739371714156
[4 1 6 1 1],0.828738154734861
[6 6 1 3 4],0.828539787109755
[6 6 2 6 2],0.82853938144999
[4 1 6 1 2],0.828538164470695
[6 5 6 4 6],0.82853775881093
[6 3 3 6 6],0.82853126825469
[6 5 1 3 2],0.828336957227234
[6 3 6 1 6],0.828335740247939
[6 4 3 6 1],0.828335334588174
[6 5 2 1 4],0.828329655351464
[6 6 4 3 5],0.828138995261894
[6 4 1 3 2],0.828136155643538
[6 4 2 6 1],0.828134127344713
[6 1 2 4 2],0.828133721684949
[6 4 3 1 5],0.828132910365418
