Model,mean_test_score,mean_fit_time,mean_score_time,values,params
SVC,0.853916386352715,2.323637533187866,0.029004430770874022,"[ 0.8705036   0.87769784  0.81490385  0.875       0.85576923  0.86778846
  0.81730769  0.83413462  0.86778846  0.85817308]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.8503123498318116,3.225225329399109,0.027915477752685547,"[ 0.8705036   0.87769784  0.81009615  0.87019231  0.84615385  0.86778846
  0.81009615  0.82692308  0.86778846  0.85576923]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.8481499279192696,2.0388625860214233,0.04244718551635742,"[ 0.85851319  0.882494    0.8125      0.86057692  0.83173077  0.87019231
  0.80528846  0.82451923  0.86538462  0.87019231]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.8476693897164824,6.927515864372253,0.034389615058898926,"[ 0.86810552  0.87290168  0.81971154  0.85336538  0.84375     0.87259615
  0.8125      0.83173077  0.84615385  0.85576923]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.841902931283037,1.1734076023101807,0.03455770015716553,"[ 0.84892086  0.87769784  0.8125      0.85336538  0.83653846  0.86057692
  0.80528846  0.81009615  0.86298077  0.85096154]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.8378183565593464,6.75740921497345,0.027852582931518554,"[ 0.86570743  0.86330935  0.80769231  0.85096154  0.83413462  0.87259615
  0.80048077  0.82932692  0.82932692  0.82451923]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.8207592503604036,10.999322175979614,0.0384005069732666,"[ 0.85371703  0.8441247   0.79567308  0.82211538  0.80528846  0.81490385
  0.79086538  0.81730769  0.82451923  0.83894231]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.8087457952907257,8.463649439811707,0.029567885398864745,"[ 0.82014388  0.79376499  0.79326923  0.81730769  0.82211538  0.84615385
  0.77644231  0.80769231  0.80048077  0.81009615]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.7724651609802979,10.183406543731689,0.03276956081390381,"[ 0.74580336  0.81294964  0.75        0.80769231  0.76682692  0.77644231
  0.78125     0.74038462  0.77644231  0.76682692]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.741230177799135,11.083176302909852,0.034595680236816403,"[ 0.73860911  0.76978417  0.72355769  0.79326923  0.71153846  0.78125
  0.70192308  0.71394231  0.71153846  0.76682692]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.7068716962998558,12.024052166938782,0.033614826202392575,"[ 0.75059952  0.75779376  0.70913462  0.71394231  0.6875      0.72596154
  0.67307692  0.67788462  0.68028846  0.69230769]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.7061508889956751,14.076383638381959,0.03874809741973877,"[ 0.72901679  0.69544365  0.68509615  0.70192308  0.66826923  0.70913462
  0.66346154  0.75721154  0.71875     0.73317308]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
