,Knn(algorithm=’auto’),,Knn(algorithm=’ball_tree’),,Knn(algorithm=’kd_tree’),,Knn(algorithm=’auto’),
Pocisión,Frecuencias (Tx),Precision,Frecuencias (Tx),Precision,Frecuencias (Tx),Precision,Frecuencias (Tx),Precision
1,[4 1 3 3 7],93.583333,[6 1 7 2 7],93.416667,[2 2 3 3 7],93.583333,[3 1 3 3 7],93.5
2,[6 1 3 3 7],93.583333,[4 1 3 3 7],93.416667,[6 1 3 3 1],93.583333,[6 1 3 3 7],93.5
3,[6 1 3 3 6],93.583333,[6 1 3 3 3],93.416667,[6 2 3 3 6],93.583333,[6 1 3 3 5],93.5
4,[6 1 3 3 3],93.583333,[5 1 3 3 7],93.416667,[6 1 3 3 7],93.583333,[6 1 3 3 6],93.5
5,[4 1 3 3 4],92.5,[6 1 3 1 7],93.416667,[6 1 5 3 2],93.583333,[6 1 2 3 1],92.916667
6,[6 1 3 3 3],92.5,[6 1 3 3 7],93.416667,[6 3 3 3 5],93.583333,[6 1 3 3 4],92.916667
7,[6 1 3 3 4],92.5,[7 1 3 3 7],93.416667,[6 3 3 3 7],93.583333,[5 3 3 3 1],92.916667
8,[6 1 3 3 5],92.5,[6 1 6 3 7],93.416667,[7 1 3 3 7],93.583333,[6 1 3 3 2],92.916667
9,[6 1 5 3 3],91.75,[6 7 3 6 7],93.416667,[6 1 3 3 7],91.166667,[6 1 3 3 1],92.916667
10,[6 1 3 3 7],91.75,[3 1 1 3 7],93.416667,[7 1 3 3 7],91.166667,[6 1 3 3 3],92.916667
11,[4 1 3 3 7],91.75,[6 6 3 5 7],93.416667,[7 1 3 3 3],91.166667,[6 4 3 3 1],92.916667
12,[6 1 3 3 3],91.75,[6 7 3 3 7],93.416667,[7 1 3 1 7],91.166667,[6 1 3 3 6],92.916667
13,[6 1 3 3 4],91.75,[4 2 6 3 7],93.416667,[7 1 6 3 7],91.166667,[6 1 3 1 1],92.916667
14,[6 2 3 3 3],91.75,[6 4 3 2 7],93.416667,[7 4 3 3 7],91.166667,[3 1 3 3 1],92.916667
15,[6 1 4 3 3],91.75,[5 1 6 4 5],91.833333,[7 4 3 3 6],91.166667,[6 1 3 5 1],92.916667
16,[6 1 1 3 3],91.75,[5 4 5 3 7],91.833333,[7 2 3 3 7],91.166667,[6 1 3 3 5],92.75
17,[4 1 3 3 7],91.75,[5 1 6 3 7],91.833333,[6 2 3 3 7],90.666667,[6 1 6 3 6],92.75
18,[4 1 3 3 3],91.75,[5 1 5 3 6],91.833333,[6 5 3 5 7],90.666667,[3 3 3 3 2],92.75
19,[7 1 3 3 4],91.25,[5 1 3 3 6],91.833333,[6 5 3 3 5],90.666667,[6 3 3 3 6],92.75
20,[6 1 3 3 4],91.25,[5 2 3 3 4],91.833333,[6 5 5 3 7],90.666667,[6 1 3 6 6],92.75
21,[7 1 3 3 4],91.166667,[6 1 3 3 7],91.833333,[6 5 3 3 2],90.666667,[6 1 2 3 5],92.75
22,[4 1 3 3 4],91,[2 1 3 3 6],91.833333,[7 5 3 3 7],90.666667,[6 4 3 3 6],92.75
23,[6 4 2 3 4],89.583333,[5 1 3 4 7],91.833333,[6 6 3 3 7],90.666667,[6 1 3 3 6],92.75
24,[6 1 1 5 4],89.583333,[5 6 6 5 7],91.833333,[6 5 3 3 6],90.666667,[6 1 7 3 5],92.75
25,[6 1 2 3 4],89.583333,[5 2 3 3 7],91.833333,[6 5 3 6 7],90.666667,[6 1 2 3 6],92.75
