Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico,Generacion,indEvaluados
GradientBoostingClassifier,[6 1 3 3 5],0.914519814264305,0.00844746319488,0.185316432063264,9,425
VotingClassifier,[6 1 3 3 5],0.904359015305997,0.010358011118739,0.199939676436322,5,426
RandomForestClassifier,[6 1 3 3 5],0.898411664987839,0.007043335469784,0.227889963598276,6,408
ExtraTreesClassifier,[6 1 3 3 5],0.892471685133774,0.013310557146167,0.196575073827158,4,341
AdaBoostClassifier,[6 1 3 3 1],0.878758423281054,0.013923895703861,0.291157444814264,5,358
KNeighborsClassifier,[6 1 3 6 1],0.877779831832548,0.015037209111277,0.264382584203819,2,368
GaussianNB,[4 1 2 6 1],0.860133047408227,0.017096752498811,0.28898306342513,7,439
DecisionTreeClassifier,[6 1 3 3 5],0.852577819816721,0.015385874309381,0.282129052861736,9,421
SVC,[6 6 3 3 5],0.829562918533507,0.017179428101798,0.511965981722903,2,402
LinearDiscriminantAnalysis,[6 1 3 3 5],0.771807360636808,0.020370468120467,0.486200170607991,6,460
LogisticRegression,[4 1 2 3 1],0.708543472236821,0.025944663279992,0.647289561264943,6,334
MLPClassifier,[4 1 4 6 1],0.695264365430732,0.015368832184255,0.712302318626654,8,386
