Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
DecisionTreeClassifier,[6 1 3 6 5],0.8595115839127336,0.02082013961054118,0.289375739005019
DecisionTreeClassifier,[6 1 3 3 5],0.8525778198167211,0.015385874309381055,0.2821290528617358
DecisionTreeClassifier,[6 1 3 3 3],0.8372067505516132,0.012857269203926954,0.37987936880810413
DecisionTreeClassifier,[6 1 3 6 1],0.8362251774106984,0.018626013685192802,0.38872459541741594
DecisionTreeClassifier,[6 1 3 4 5],0.8359518954376828,0.025078365558802915,0.3963807063526639
DecisionTreeClassifier,[6 1 2 6 1],0.8356530160486993,0.017728608732087946,0.46469307984677466
DecisionTreeClassifier,[6 1 2 3 6],0.8350056652155764,0.014284144947067125,0.40295012802709934
DecisionTreeClassifier,[6 1 2 3 2],0.8347623591150336,0.013223419867148966,0.44644163258257336
DecisionTreeClassifier,[6 1 2 3 5],0.8347302410141758,0.017834369545820333,0.3538883568296205
DecisionTreeClassifier,[6 1 2 3 1],0.8342697835291311,0.010541427976969222,0.3733167732932923
DecisionTreeClassifier,[6 1 3 3 2],0.8332941737730335,0.015553221100912102,0.4179665102678335
DecisionTreeClassifier,[4 1 3 6 5],0.8327254747807287,0.023980787657244096,0.40521165584416474
DecisionTreeClassifier,[6 1 3 3 1],0.8320704872085395,0.010714083579815754,0.35704161523752964
DecisionTreeClassifier,[6 1 1 3 5],0.8307723017959365,0.014276085888634285,0.38187990992395565
DecisionTreeClassifier,[6 1 1 6 1],0.8303634015864232,0.014815265894352623,0.4406196872022872
DecisionTreeClassifier,[6 1 2 1 5],0.8299834603768158,0.01841428714597441,0.35921444750591985
DecisionTreeClassifier,[6 1 2 3 4],0.8295843520782397,0.019097530156653778,0.40033415718575055
DecisionTreeClassifier,[6 1 4 3 1],0.8290953545232274,0.012772574950228814,0.4615726314109553
DecisionTreeClassifier,[6 1 4 3 5],0.8290052330295063,0.014728414327791785,0.4300795998178187
DecisionTreeClassifier,[6 1 4 3 6],0.8283618581907092,0.019584336816137683,0.4426108037893192
DecisionTreeClassifier,[4 1 2 6 1],0.8281711169525918,0.015822927852290804,0.378239365169722
DecisionTreeClassifier,[6 1 2 1 1],0.8277278177458033,0.014169947096167482,0.4151277271268927
