Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
GaussianNB,[4 1 2 6 1],0.8601330474082273,0.01709675249881093,0.2889830634251303
GaussianNB,[6 1 3 3 5],0.8597652507186202,0.01718190396896069,0.31002129206980283
GaussianNB,[4 1 4 6 1],0.8500391994097031,0.012596648221631554,0.34962041628979196
GaussianNB,[4 1 3 6 1],0.847921760391198,0.01514314187501421,0.30870754138439715
GaussianNB,[6 1 3 3 1],0.8469747748822231,0.014854246653747455,0.35750057065553187
GaussianNB,[6 1 3 6 5],0.8454002162002802,0.019620255643897012,0.30336195537589694
GaussianNB,[6 1 3 4 5],0.8453578360317421,0.018558478835234236,0.3416201397385631
GaussianNB,[4 1 3 3 1],0.8450325379609543,0.014301781610310335,0.3726302088876144
GaussianNB,[6 1 4 3 1],0.8437652811735941,0.01688458354094821,0.41200437395965794
GaussianNB,[6 1 1 3 5],0.8434022062255853,0.015290563449104944,0.32754974797147623
GaussianNB,[6 1 2 6 5],0.8429514837719928,0.01772441819769833,0.3254555810840753
GaussianNB,[6 1 2 3 5],0.8429182124167752,0.014494818130605177,0.3304519431183592
GaussianNB,[6 1 2 3 1],0.8425821456258573,0.013027637332294282,0.3519501136347641
GaussianNB,[4 1 6 6 1],0.8423457387935805,0.011929858268291132,0.3868463747390498
GaussianNB,[6 1 3 6 1],0.8423388395253146,0.01768799163507213,0.3618901122968144
GaussianNB,[6 1 3 3 3],0.8416047468543144,0.01709578059896712,0.360617623518018
GaussianNB,[6 1 4 3 5],0.8408913347910472,0.016629918934041397,0.4278106463540123
GaussianNB,[6 1 3 4 1],0.8405867970660147,0.017177670484352373,0.3472972396188969
GaussianNB,[6 1 2 6 1],0.8404630142040215,0.01771618928318146,0.36892285764652977
GaussianNB,[4 1 2 3 1],0.83896926031743,0.016403459310858872,0.3330338250214883
GaussianNB,[5 1 3 6 1],0.8389615016092181,0.017477159396635973,0.3505725425376975
GaussianNB,[5 1 2 6 1],0.8385481087300446,0.02458037780597947,0.34939720881869013
GaussianNB,[4 1 2 6 5],0.8382664557265448,0.015685204657470354,0.3699112697575953
GaussianNB,[6 1 6 3 5],0.8377085227133134,0.012766425491248757,0.35200155061026883
GaussianNB,[4 1 1 6 1],0.8368174691016417,0.004510812178469992,0.39216551810286676
GaussianNB,[4 1 2 1 1],0.8362287053186055,0.021987909845927404,0.38791635536999824
GaussianNB,[6 1 4 6 1],0.8360991975650249,0.014349060898281757,0.3855088892226015
GaussianNB,[6 1 6 3 1],0.835483332339436,0.023014017470955984,0.37376438162151576
GaussianNB,[3 1 3 6 1],0.8345178603375276,0.018103499414525527,0.35241563678351223
GaussianNB,[6 1 1 3 1],0.8345101079372652,0.02120768545779138,0.346667540145502
GaussianNB,[4 1 4 3 1],0.8341658021314722,0.01624695426841199,0.3971551267886353
GaussianNB,[4 1 3 3 5],0.8335995785485467,0.021543088151669932,0.3562117396333081
GaussianNB,[4 1 6 3 1],0.8320293398533007,0.017081700219763865,0.38610404756835376
GaussianNB,[6 1 1 6 5],0.8319454432139605,0.015144473632262519,0.36350234464102515
GaussianNB,[6 6 1 1 5],0.8319340572414786,0.024579126363726517,0.43356082916862654
GaussianNB,[4 1 6 6 5],0.8319058919411285,0.016593706671878622,0.4040946633381165
GaussianNB,[6 1 3 1 5],0.8317574871631084,0.013027300048997723,0.36174370718712245
GaussianNB,[6 1 4 3 4],0.8315403422982884,0.012865840701147045,0.4125885071613518
GaussianNB,[6 1 2 1 5],0.8312053550026366,0.013895326265749788,0.3811158847539406
GaussianNB,[4 1 2 3 5],0.8310580985728121,0.016309990063355546,0.3673912547720712
GaussianNB,[4 1 6 4 1],0.8310459324847814,0.016485658554985266,0.43548615589960055
GaussianNB,[4 1 3 4 1],0.8300315948316512,0.014103227013614137,0.37041882917528607
GaussianNB,[6 1 2 1 1],0.829894161593802,0.018867007350804803,0.3967929885426812
GaussianNB,[4 1 3 6 5],0.8297441220548853,0.017595544469928667,0.3891004744977648
GaussianNB,[4 1 6 1 1],0.8296065071020108,0.017596904799976127,0.42640850306431843
GaussianNB,[6 4 1 3 5],0.8289923347173428,0.016371327955179104,0.3907292532526544
GaussianNB,[4 1 1 6 5],0.8289683110407978,0.007889258989674958,0.40024505449598297
GaussianNB,[6 5 4 6 1],0.8289647154705403,0.0162684740784937,0.505077282188549
GaussianNB,[4 5 3 3 1],0.8283005715137131,0.01830391376257536,0.4046700163712162
GaussianNB,[6 1 3 5 5],0.8278038473822569,0.018267348313919823,0.38999775159686817
GaussianNB,[6 1 6 6 1],0.8277255118981739,0.022038857634324786,0.3883474209656446
GaussianNB,[6 1 3 3 6],0.8276695092134296,0.017580641510150825,0.37801928876865604
GaussianNB,[4 6 1 3 1],0.8276283618581907,0.02553227579481761,0.3640543665178791
GaussianNB,[4 1 1 3 1],0.8267716683957371,0.019557041759464763,0.3984129633324261
GaussianNB,[4 5 4 6 1],0.826770219090081,0.01310717940497597,0.5095523195503812
GaussianNB,[6 5 4 3 1],0.8260263371250275,0.012807914865577016,0.5418307249311001
GaussianNB,[4 1 2 3 4],0.8256566940269272,0.024507726509472357,0.41869559831006814
GaussianNB,[6 1 1 3 3],0.8254654421849843,0.02223464291800813,0.4200783333806857
GaussianNB,[6 1 6 3 6],0.8252245214383684,0.017889675873695002,0.451682024854388
GaussianNB,[6 1 6 4 1],0.8250426581811474,0.013323520726339449,0.4066282756450953
GaussianNB,[6 1 1 3 2],0.824727771483094,0.023405641687438715,0.3990492947769056
GaussianNB,[6 1 4 3 2],0.8246943765281174,0.014300566079109778,0.4194240372737974
GaussianNB,[5 1 3 6 5],0.8245860256000785,0.025027491077268683,0.34608109217823413
GaussianNB,[6 1 4 6 5],0.8245727264010739,0.017909429910487013,0.4905209738449559
GaussianNB,[6 1 2 3 4],0.8244498777506113,0.018485142465951888,0.4323356224346292
GaussianNB,[6 6 3 1 5],0.8243335872048743,0.013873722997167283,0.4920039951874521
GaussianNB,[6 6 6 1 5],0.82411429119325,0.013393953728533007,0.4729273522617897
GaussianNB,[6 1 2 3 2],0.8240056055817282,0.020086620770875415,0.3946402269848568
GaussianNB,[6 1 6 3 2],0.8239978531814657,0.01814973187270436,0.41339117781051443
GaussianNB,[6 1 3 2 1],0.82375693243485,0.009222653234681548,0.39485714526384735
GaussianNB,[4 6 6 1 1],0.8233645775687142,0.014996453057199243,0.39465509353427897
GaussianNB,[6 6 1 3 1],0.8232637605104658,0.025332272340080023,0.460306440613407
GaussianNB,[4 1 6 6 4],0.8231213106437927,0.01924841515124177,0.43700159265347543
GaussianNB,[6 1 6 3 4],0.8229828850855746,0.018335778248657873,0.47562224818712645
GaussianNB,[1 1 3 6 1],0.8227849007096429,0.015355611180005169,0.3927889423933442
GaussianNB,[6 4 4 3 1],0.8227383863080686,0.017297316533813188,0.42906976516728923
GaussianNB,[6 1 1 6 1],0.8226837760560782,0.01756304993787959,0.4183706180282536
GaussianNB,[4 1 4 1 1],0.8225744256864589,0.014597015748984319,0.38581368796970467
GaussianNB,[6 1 2 3 6],0.8225439799630271,0.023752481259265143,0.4235582766005994
GaussianNB,[6 1 3 3 2],0.8222869580774047,0.015978742908237132,0.3702797191869131
GaussianNB,[6 5 1 6 5],0.8221541061412341,0.01700554788318249,0.5334461618929318
GaussianNB,[4 1 3 2 1],0.8221450890084375,0.019526942371410283,0.39335107959321586
GaussianNB,[2 1 3 6 1],0.8220514043771244,0.021863906377124435,0.41210508598872186
GaussianNB,[4 6 6 6 1],0.8219211169525918,0.01890758078857507,0.4521422011071998
GaussianNB,[4 1 3 5 1],0.821832994540288,0.013037445463672574,0.3831428517479918
GaussianNB,[6 6 1 3 5],0.8216095865169644,0.02007732330508649,0.49495308934218335
GaussianNB,[6 1 4 1 1],0.8214368889503781,0.020115392903574055,0.4240193300602199
GaussianNB,[6 6 3 3 1],0.8213125409982706,0.01366364284661825,0.4790054182601934
GaussianNB,[4 6 1 3 2],0.8212713936430317,0.022553604159572298,0.4059296983897502
GaussianNB,[5 1 3 3 1],0.8212442004492683,0.01045171758587687,0.38726727014427026
GaussianNB,[4 1 6 3 4],0.8210268948655257,0.02272129125768008,0.5112529593233935
GaussianNB,[4 6 6 1 2],0.8209584255672384,0.019869531813889132,0.4510029496743977
GaussianNB,[6 1 3 2 5],0.8208614844114684,0.017308290046306813,0.3853097762879822
GaussianNB,[6 6 1 3 2],0.8208283141511122,0.02620522781488643,0.5182439855852137
GaussianNB,[6 4 3 4 1],0.8207823960880196,0.013393981344549983,0.3959000266538472
GaussianNB,[6 1 3 3 4],0.8207823960880196,0.01858994807361403,0.3836903762672859
GaussianNB,[6 1 4 1 5],0.8206493599884942,0.017451138139462544,0.48970568686242405
GaussianNB,[6 4 1 3 1],0.8205378973105135,0.017739224593855296,0.37171745168353704
GaussianNB,[6 4 3 3 1],0.8205378973105134,0.01684026929850618,0.36927279371102106
GaussianNB,[4 4 3 3 1],0.8204725077808167,0.018463286634977503,0.4434438337197547
GaussianNB,[4 5 1 6 1],0.8203958722853445,0.014363386993864352,0.45613618044620474
GaussianNB,[6 1 6 6 5],0.8202017114914426,0.02414359730552924,0.45606369326587315
GaussianNB,[4 1 1 6 4],0.8199928518723484,0.011684130281477759,0.4194653890644813
GaussianNB,[6 1 6 1 6],0.8197957019000185,0.015602724876686732,0.4349802644791123
GaussianNB,[5 1 4 6 1],0.8196671700465027,0.01306558838471767,0.4333399087587553
GaussianNB,[4 1 3 1 1],0.8196024709987739,0.012131084652484126,0.43475374053662885
GaussianNB,[6 6 2 1 1],0.8193201208264158,0.024798085867965548,0.4542074122635863
GaussianNB,[6 1 3 4 6],0.8193154034229829,0.014317277234188101,0.4144014724612182
GaussianNB,[4 5 2 3 1],0.819297900192633,0.016622923026269013,0.475385838335445
GaussianNB,[5 1 2 3 1],0.8191820796506624,0.011779485430170149,0.39898398234849713
GaussianNB,[6 1 3 1 3],0.8191150336931242,0.02264789045912742,0.38955405954122246
GaussianNB,[6 6 6 1 6],0.8190774303634016,0.014540591781623504,0.5370123916535501
GaussianNB,[6 5 1 6 1],0.8189780190804928,0.011604530947037681,0.5250641048005573
GaussianNB,[4 1 4 6 5],0.818935471499113,0.01672600198159326,0.4377714203955586
GaussianNB,[4 1 6 3 6],0.8188264058679706,0.01652674290085202,0.4761260653997145
GaussianNB,[4 1 3 4 5],0.8185997381892488,0.020278862261713486,0.4083742567011166
GaussianNB,[4 1 2 1 5],0.8185941043083901,0.019872020226944797,0.4266194526386396
GaussianNB,[6 4 1 3 3],0.8185819070904646,0.02030370610467157,0.4819943882951451
GaussianNB,[4 1 6 1 6],0.8185540029514851,0.01422087286608457,0.45368322228347213
GaussianNB,[6 4 6 1 5],0.8184314924013616,0.018928673509735157,0.39529906795774106
GaussianNB,[6 3 3 1 5],0.8183893079134215,0.01645962531412201,0.48676013321718153
GaussianNB,[5 1 2 1 1],0.8179775280898877,0.01687638953305043,0.4287287995226279
GaussianNB,[4 1 5 6 1],0.8179544800805407,0.01598521642117722,0.4457564283430108
GaussianNB,[6 6 3 4 1],0.8178484107579462,0.019900758674938488,0.43125051492684
GaussianNB,[6 1 4 3 6],0.8178484107579462,0.014639332400902387,0.45157942454531813
GaussianNB,[6 1 6 1 5],0.817757322978091,0.015883513356269387,0.49557119323113746
GaussianNB,[4 5 2 6 1],0.817713576873292,0.017269970829249807,0.46964230114674743
