Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
LinearDiscriminantAnalysis,[6 1 3 3 5],0.7718073606368082,0.020370468120466844,0.486200170607991
LinearDiscriminantAnalysis,[6 1 3 3 1],0.7624038404198223,0.014478536187864731,0.5361922457460939
LinearDiscriminantAnalysis,[4 1 3 3 1],0.7602692634160142,0.018905475860097866,0.5597268354734628
LinearDiscriminantAnalysis,[6 1 2 3 1],0.7562973343669868,0.013423949115230318,0.5444717387948773
LinearDiscriminantAnalysis,[6 1 4 3 1],0.7533007334963326,0.02182622386941008,0.5561779942833478
LinearDiscriminantAnalysis,[6 1 3 1 5],0.7529721396457264,0.014543023394351725,0.5111913291099084
LinearDiscriminantAnalysis,[6 1 4 3 5],0.7496892120973884,0.012602156824306652,0.5917119789135474
LinearDiscriminantAnalysis,[6 1 2 3 5],0.747522295653883,0.018655807797064355,0.505314181209768
LinearDiscriminantAnalysis,[4 1 2 3 1],0.7469972193821486,0.023864561818458887,0.5267589795080724
LinearDiscriminantAnalysis,[6 1 3 4 1],0.7452322738386308,0.022615806513148526,0.6248576082559893
LinearDiscriminantAnalysis,[6 1 1 6 5],0.7451076274030395,0.011192044767446245,0.6187200277301301
LinearDiscriminantAnalysis,[6 1 1 3 5],0.7450482765398128,0.016805113797451546,0.5768065652929887
LinearDiscriminantAnalysis,[6 1 3 4 5],0.7442442817482742,0.01914680692825602,0.5649909635270489
LinearDiscriminantAnalysis,[4 1 3 6 1],0.7422982885085575,0.017535864134025535,0.5747272927944678
LinearDiscriminantAnalysis,[6 1 1 3 1],0.7413781382312601,0.018162396760235122,0.5979431768680272
LinearDiscriminantAnalysis,[4 1 4 3 1],0.7402730359332264,0.016517832236674912,0.58037765680551
LinearDiscriminantAnalysis,[4 1 6 6 1],0.7399597629588637,0.021023132668978886,0.621672874237072
LinearDiscriminantAnalysis,[4 1 3 3 5],0.7399021934632455,0.013480553521348476,0.6120567142486176
LinearDiscriminantAnalysis,[4 1 4 6 1],0.7394772643423722,0.02727001966767883,0.6078332523218197
LinearDiscriminantAnalysis,[4 1 6 3 1],0.7381418092909534,0.0160496268286321,0.6266222605094981
LinearDiscriminantAnalysis,[6 1 3 3 3],0.7379700638082175,0.019234330232010186,0.6051781890663251
LinearDiscriminantAnalysis,[4 1 3 1 1],0.7372328586249175,0.02215624554678586,0.6092134584524656
LinearDiscriminantAnalysis,[6 1 3 6 5],0.737118885585829,0.014549128774171579,0.532097866903601
LinearDiscriminantAnalysis,[6 1 6 4 1],0.737080335731415,0.022654725279113216,0.6507216963617518
LinearDiscriminantAnalysis,[4 1 2 1 1],0.7360926131458874,0.018612827342997063,0.6315567237419712
LinearDiscriminantAnalysis,[5 1 3 3 1],0.7358627422165306,0.01856460186946578,0.6106791102555155
LinearDiscriminantAnalysis,[6 1 6 3 1],0.7355125529250401,0.024144819810505404,0.6473380394645373
LinearDiscriminantAnalysis,[6 4 3 1 5],0.7353174213202959,0.017665693951751504,0.6199915474280039
LinearDiscriminantAnalysis,[6 1 6 3 5],0.7351270176645456,0.018809750570259656,0.5971737642417938
LinearDiscriminantAnalysis,[4 1 4 1 1],0.7339636476565937,0.02024099461669267,0.6269704605347345
LinearDiscriminantAnalysis,[6 1 3 1 1],0.7338034468364244,0.011440781747028658,0.5989884823580447
LinearDiscriminantAnalysis,[6 1 3 2 5],0.7336394123283296,0.016712453755999633,0.55615375575258
LinearDiscriminantAnalysis,[6 1 6 1 5],0.7333579030634259,0.021670266333796637,0.6098130727540875
