Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
LogisticRegression,[4 1 2 3 1],0.7091984940708819,0.02554676240943447,0.6469029870659805
LogisticRegression,[4 1 4 6 1],0.7029480261944291,0.024533810782348557,0.6301121268647211
LogisticRegression,[4 1 2 6 1],0.7022401309721453,0.01863851776953257,0.6633917430097002
LogisticRegression,[6 1 2 3 5],0.699952706188733,0.015173978952133484,0.7216548858491975
LogisticRegression,[6 1 3 3 5],0.6984773849593395,0.01714614386089016,0.666036310428161
LogisticRegression,[4 1 2 1 1],0.697458731920441,0.022283021568597215,0.7272181454525348
LogisticRegression,[6 1 3 6 5],0.6957466280126772,0.022965459745601942,0.6839446706348634
LogisticRegression,[4 5 2 3 1],0.6939687742786902,0.018133807917434845,0.7803402055858122
LogisticRegression,[6 1 3 3 1],0.6927443496928857,0.018287766687460988,0.7266489937306361
LogisticRegression,[4 1 6 1 1],0.6914159057369489,0.020379884560569442,0.7155457267379437
LogisticRegression,[4 1 1 6 1],0.6906947518907952,0.01741161977739122,0.7437533297700009
LogisticRegression,[6 1 2 6 1],0.6903016048699502,0.016706350233702667,0.8211348160002965
LogisticRegression,[6 1 1 6 5],0.689814348722374,0.022355113792689892,0.777051942709241
LogisticRegression,[6 1 3 1 5],0.6895437682726089,0.020796801477461296,0.6629703822901727
LogisticRegression,[6 1 2 3 1],0.688834158268233,0.01800725312248845,0.7365329330626232
LogisticRegression,[4 1 3 3 1],0.6885433367914742,0.024259873663946822,0.7038220202886933
LogisticRegression,[4 1 4 1 1],0.6885249437116657,0.012961490455410018,0.6725615522603577
LogisticRegression,[4 1 4 3 1],0.6865910591342074,0.013850160681813885,0.7724385994353907
LogisticRegression,[6 1 2 1 1],0.6864485334809075,0.01580954872502285,0.7620202806223243
LogisticRegression,[4 1 6 3 1],0.6860635696821515,0.011321111885369394,0.7585275820552801
LogisticRegression,[4 1 3 6 1],0.6855745721271395,0.01651769755897755,0.6981554529776507
LogisticRegression,[6 1 4 6 1],0.6834878251245158,0.009965287172609204,0.7276301060658402
LogisticRegression,[6 1 3 1 3],0.683209493708629,0.017726077701051595,0.6879447718698952
LogisticRegression,[4 1 6 6 1],0.6825176397343663,0.027543332447328275,0.8067449369058377
LogisticRegression,[6 1 2 6 5],0.6812592885564984,0.020650022273539348,0.7987848880153477
LogisticRegression,[6 1 3 6 1],0.6812535034885802,0.024597876823115563,0.6888097499570283
LogisticRegression,[4 1 3 1 1],0.6792016410449873,0.022823697882341516,0.7198747630623245
LogisticRegression,[5 1 3 3 1],0.6784104507379338,0.016467721140844042,0.7816071644976486
LogisticRegression,[6 1 1 6 1],0.6780442953329644,0.009917014462236529,0.7364651567306412
LogisticRegression,[6 1 2 2 1],0.6773156474820144,0.018792527159386896,0.8296865014910233
LogisticRegression,[4 5 4 3 1],0.676431711029044,0.00927229948748841,0.8014314121345564
LogisticRegression,[5 1 3 6 1],0.6764175859273273,0.017730122174320028,0.7078217539111673
LogisticRegression,[6 5 4 3 1],0.6760914428911874,0.018768040117159213,0.9005085163640744
LogisticRegression,[4 1 5 3 1],0.6750545439065143,0.014346668331924483,0.7752548822622145
LogisticRegression,[4 1 1 3 1],0.6748542865226823,0.015810120890238363,0.7472111238987621
LogisticRegression,[4 1 5 6 1],0.6748142288700322,0.02262312313019185,0.806217506342691
LogisticRegression,[4 5 4 6 1],0.6745823145884271,0.013483554779484678,0.9036224116110154
LogisticRegression,[6 1 1 6 6],0.6744362202545655,0.01681592519506162,0.8713098736113296
LogisticRegression,[4 1 5 1 1],0.6744041445508715,0.018655339752320463,0.7551998780683163
LogisticRegression,[6 1 4 3 5],0.6736082106970003,0.020123122755509648,0.8070610505497412
LogisticRegression,[5 1 2 1 1],0.6732584269662922,0.0212522973798416,0.7610227578932851
LogisticRegression,[6 1 3 1 1],0.6724479694674698,0.026285995919985046,0.6990028757591727
LogisticRegression,[6 1 4 1 1],0.6724307092787308,0.013936411368138137,0.7146387580394109
LogisticRegression,[6 1 2 3 4],0.6723716381418093,0.027160281813200626,0.802161533246171
LogisticRegression,[6 1 2 3 2],0.6709905182181407,0.022300487988318383,0.9190918973567395
LogisticRegression,[6 1 3 4 1],0.6709046454767726,0.017772891780328856,0.7659561663854473
LogisticRegression,[4 1 2 2 1],0.6703697831333792,0.02148476340622389,0.7699223927694203
LogisticRegression,[6 1 3 2 5],0.6702251676780582,0.013945075037630516,0.7351591197999029
LogisticRegression,[6 6 4 1 1],0.6697899372809444,0.015934597707573578,0.7952292631206395
LogisticRegression,[6 1 2 3 6],0.6692784304371162,0.028501031348494486,0.8340664077348918
LogisticRegression,[6 1 3 2 1],0.6692736597292624,0.016151640629340113,0.7734534856072864
LogisticRegression,[6 1 2 1 5],0.6687730715758187,0.033377720343006706,0.7382550644543142
LogisticRegression,[6 5 4 4 1],0.6686987631238315,0.024969475334058154,0.8910694378742253
LogisticRegression,[6 1 3 3 3],0.6685503011509333,0.020373713543707036,0.8448942422760852
LogisticRegression,[6 1 1 3 1],0.6685407597352258,0.02751272575664034,0.7454733464537137
LogisticRegression,[1 1 3 1 1],0.6685188041555142,0.023725538102925242,0.7943538104932665
LogisticRegression,[6 1 2 4 1],0.6678674368197749,0.018935314995257236,0.8150168082196517
LogisticRegression,[6 1 3 4 5],0.6671701103112792,0.022428615956991936,0.7839426616429239
LogisticRegression,[6 4 3 1 5],0.6669262707908509,0.017115086845677325,0.8294517079443522
LogisticRegression,[6 5 4 1 1],0.6665168512392732,0.02606273682006596,0.95712515566488
LogisticRegression,[6 4 2 1 5],0.6662729517234768,0.020485662462202563,0.8624219747765536
LogisticRegression,[4 1 2 6 5],0.6657671748405964,0.016821824085908304,0.805654553490655
LogisticRegression,[6 1 4 6 5],0.6650408696485929,0.014861424605570758,0.837397840853931
LogisticRegression,[4 1 6 4 1],0.66498051558753,0.021722232400844043,0.875361356746046
LogisticRegression,[6 1 1 3 5],0.6647753236862147,0.019533063323320127,0.7861924687665094
LogisticRegression,[4 1 1 6 6],0.6644962875853164,0.02042785999503877,0.8389443564250048
LogisticRegression,[4 1 6 1 6],0.6644951346615016,0.019635669366306844,0.8397236304610388
LogisticRegression,[6 1 1 6 2],0.6643429487179487,0.013874272073845957,0.8555814639093213
LogisticRegression,[6 1 6 1 6],0.6643377605607821,0.020607502300404316,0.8281574524463338
LogisticRegression,[5 1 1 6 1],0.6641419770842323,0.023255702286824595,0.8667501575721709
LogisticRegression,[6 1 6 1 5],0.6638902871662113,0.029127948689196652,0.8165662893497851
LogisticRegression,[6 5 4 6 1],0.6638195742844815,0.015853617395777623,1.008347433363696
LogisticRegression,[6 1 2 1 6],0.6636206419479801,0.013552760725603822,0.7403114622228103
LogisticRegression,[6 1 4 3 1],0.6635696821515892,0.029506454457790893,0.7810604595098339
LogisticRegression,[6 1 3 1 6],0.6631707317073172,0.020309581268506252,0.7569647635970328
LogisticRegression,[6 1 6 6 5],0.6631513974783068,0.016702676550392734,0.9045331495163127
LogisticRegression,[4 4 2 3 1],0.663093747909759,0.0156974778749312,0.7969041961168745
LogisticRegression,[6 1 6 1 1],0.662900641025641,0.016929657713845574,0.8074505473388511
LogisticRegression,[6 1 3 3 2],0.662676963444451,0.03376050663151113,0.8461260694979966
LogisticRegression,[6 6 2 1 1],0.6626504565578307,0.028001742866958088,0.8952846488407534
LogisticRegression,[4 6 2 1 1],0.6625830105146652,0.013254350646360448,0.7314047421845755
LogisticRegression,[6 1 1 4 1],0.6625818575908504,0.015970924366180375,0.8044508850067688
LogisticRegression,[4 4 2 1 1],0.6623949579831934,0.025791601739972927,0.7679743770225774
LogisticRegression,[4 1 2 5 1],0.662358276643991,0.020115053091741577,0.8627929018750374
LogisticRegression,[6 1 3 5 1],0.6622816500012284,0.02385489955259792,0.7618288257134264
LogisticRegression,[6 6 6 1 1],0.6621823694890242,0.011557692201171407,0.9009840087572611
LogisticRegression,[6 1 2 2 5],0.6621775972002493,0.02112278783240073,0.8183950537288318
LogisticRegression,[6 1 6 6 1],0.661695835639181,0.015781334516876674,0.8915257155490286
LogisticRegression,[4 6 4 1 1],0.6616185897435898,0.01436084329927293,0.7367413431392595
LogisticRegression,[5 1 3 1 1],0.6614710389855771,0.02079111061987732,0.7866407672656753
LogisticRegression,[6 6 4 3 1],0.6613691931540343,0.025059633803825556,0.8942359994345422
LogisticRegression,[6 1 3 3 6],0.6612093744409326,0.01977499152369517,0.8537892911868935
LogisticRegression,[6 6 6 1 5],0.6611984035668057,0.02369233038058225,0.784156070174153
LogisticRegression,[4 1 2 3 5],0.6609689126339652,0.016842146550822397,0.8219267736641999
LogisticRegression,[6 1 4 4 1],0.6606587806677735,0.02027170059068496,0.8498724187654358
LogisticRegression,[4 6 6 1 1],0.660415513742852,0.012697737098791113,0.7844233928318258
LogisticRegression,[4 1 2 4 1],0.6602998432077235,0.02039647301487759,0.820407704234421
LogisticRegression,[4 1 6 2 1],0.6601705174322081,0.01905202495452946,0.8675427000070974
LogisticRegression,[4 4 4 3 1],0.6600712062623785,0.018523398661541218,0.7564837471940848
LogisticRegression,[2 1 2 1 1],0.6596900562157066,0.020766467483062448,0.8161085037508394
LogisticRegression,[4 1 3 6 5],0.6592407193572954,0.017815175801455304,0.8132303281858473
LogisticRegression,[4 1 1 6 5],0.6591675056330601,0.024445899856796086,0.8441238747996367
LogisticRegression,[6 4 3 1 6],0.658924205378973,0.01615358108475202,0.8077755398086188
LogisticRegression,[1 1 3 3 1],0.6580873746767681,0.017998215601160814,0.8013521912001526
LogisticRegression,[6 4 1 3 5],0.6575086602953099,0.030276926067010376,0.8417947127000912
LogisticRegression,[4 1 3 2 1],0.6574102032430986,0.022150483514119978,0.8036862619640057
LogisticRegression,[6 1 5 3 5],0.6573293123357,0.020129149051452525,0.8112123247454269
LogisticRegression,[6 6 1 4 1],0.6572957019000185,0.01272289960832077,0.852027775387288
LogisticRegression,[6 4 6 1 5],0.6572013279639484,0.025656063889295422,0.788280071689443
LogisticRegression,[6 6 2 3 1],0.657041564792176,0.02738562035926385,0.8858827639928311
LogisticRegression,[1 1 2 1 1],0.657023176355741,0.010842434670463204,0.8613622364849113
LogisticRegression,[6 4 3 3 5],0.6568356458062341,0.02381872911120709,0.9353333978615633
LogisticRegression,[4 1 2 3 4],0.6567704700295262,0.02664800745227854,0.9114446039650721
LogisticRegression,[6 4 4 4 1],0.6565705128205127,0.02210493063956279,0.7776640072644473
LogisticRegression,[6 1 6 3 6],0.65656509034528,0.022728558002204788,0.8314664560069464
LogisticRegression,[6 1 2 1 2],0.6564114093340713,0.021607483003709745,0.7851876620316169
LogisticRegression,[6 1 6 3 5],0.656338599120458,0.021773604950802244,0.9001161113274206
LogisticRegression,[4 1 2 1 5],0.6562358276643991,0.023765210896279185,0.8270616398802249
LogisticRegression,[4 1 3 5 1],0.6561291386851992,0.010812695312108262,0.8466078191772965
LogisticRegression,[4 6 4 3 1],0.6559902200488997,0.02100556147554358,0.8317425154552017
LogisticRegression,[6 4 3 3 1],0.6557457212713936,0.028509018771928428,0.7581715351048047
LogisticRegression,[4 1 2 3 2],0.6554484821266471,0.02336741603656488,0.8981167701661696
LogisticRegression,[4 1 4 4 1],0.6553225903848311,0.016216293341366386,0.7613400910401401
LogisticRegression,[6 1 5 6 1],0.655091327484539,0.024743511663284125,0.8322312203780436
LogisticRegression,[4 5 2 6 1],0.6550062323217796,0.018592463567116926,0.9941346376775593
LogisticRegression,[6 6 6 1 6],0.6549696781036709,0.01652820668649558,0.9838087823707041
LogisticRegression,[4 4 4 4 1],0.6549067899690307,0.023903056040356613,0.7503084850815338
LogisticRegression,[6 5 4 3 6],0.6548802813508696,0.02817719350882873,0.9100569220374071
LogisticRegression,[4 4 1 3 1],0.6548575874752428,0.019194176182063254,0.7965908672759309
LogisticRegression,[6 5 1 6 5],0.6548432331367755,0.015604045844549929,1.127318109583459
LogisticRegression,[5 1 4 6 1],0.654761134282564,0.011700494276231845,0.8000247650114097
LogisticRegression,[4 3 2 3 1],0.6545603088301338,0.028482147904805685,0.8789949119881033
LogisticRegression,[6 4 3 1 3],0.6545232273838631,0.024935279476132433,0.8776952125255933
LogisticRegression,[4 4 6 3 1],0.654523227383863,0.021344337174794534,0.7868469112628486
LogisticRegression,[6 1 6 3 1],0.6543622159937981,0.021335387468600163,0.8065293433685133
LogisticRegression,[6 5 2 3 1],0.654121932044321,0.01712486606019521,1.018878652870461
LogisticRegression,[5 1 4 1 1],0.6541048949626829,0.019905902406089134,0.8462099227294783
LogisticRegression,[6 1 2 5 1],0.6540983508317753,0.02193592229512405,0.8220049102375147
LogisticRegression,[4 5 3 3 1],0.6540484882025521,0.012415241975743136,0.8011276695630286
LogisticRegression,[6 1 6 1 3],0.6538738147772676,0.019512766018390734,0.8356067270424345
LogisticRegression,[6 5 2 1 1],0.653872429167266,0.0219622967655983,0.9951860250507927
LogisticRegression,[4 5 6 3 1],0.6537878043387466,0.025221994283887043,1.0122120720226135
LogisticRegression,[6 1 2 1 4],0.6536916620549714,0.020475255829028146,0.7530419773461208
LogisticRegression,[5 1 3 6 5],0.6536305677714174,0.021049916460868217,0.762562920008716
LogisticRegression,[4 4 2 4 1],0.6535850818314748,0.02105978919960464,0.822366476747217
LogisticRegression,[6 1 1 2 1],0.653525641025641,0.016208143416355174,0.796778550827087
