Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
MLPClassifier,[4 1 4 6 1],0.6950193691200885,0.015402000507150694,0.6308226225612318
MLPClassifier,[4 1 4 1 1],0.6766927476471045,0.02206689086068729,0.6639131622256459
MLPClassifier,[4 1 6 1 1],0.6762734043534404,0.030468625596799373,0.7650822338474808
MLPClassifier,[4 1 2 6 1],0.6722024303634015,0.023625593743358056,0.729902106175464
MLPClassifier,[6 1 4 6 1],0.6717124377421141,0.02663316499538248,0.7404739186607516
MLPClassifier,[6 1 3 6 5],0.6694918065007494,0.028564198496917024,0.7083174991186264
MLPClassifier,[4 1 6 6 1],0.6678628251245158,0.02269539142657911,0.7757100312763324
MLPClassifier,[5 1 3 6 1],0.667007960101221,0.022490452754198975,0.7526611076491694
MLPClassifier,[6 5 4 6 1],0.6655316649887338,0.02274236057067545,0.990359985215096
MLPClassifier,[4 1 2 1 1],0.6642918802741222,0.026373490517153472,0.7811858293613874
MLPClassifier,[4 1 6 3 1],0.663080684596577,0.019152230833805503,0.7913948035818035
MLPClassifier,[6 1 2 6 5],0.6580109305335826,0.03141420412012219,0.859600846447912
MLPClassifier,[4 1 6 4 1],0.6579989854270429,0.030189341043416792,0.864445781484874
MLPClassifier,[6 4 4 4 1],0.6575320512820513,0.019483515385958248,0.7207713234945352
MLPClassifier,[4 5 4 6 1],0.6552537274078335,0.0229914063364821,0.8690380833764656
MLPClassifier,[6 1 4 4 1],0.654887244050913,0.022654959297387988,0.7642967810508893
MLPClassifier,[4 1 3 1 1],0.6548580590398944,0.021878633276614223,0.7617483758231144
MLPClassifier,[4 1 3 6 1],0.654034229828851,0.022680474139622108,0.8264566495202065
MLPClassifier,[4 1 5 6 1],0.6540108586221776,0.024902443091985613,0.7728849875137364
MLPClassifier,[6 1 2 3 5],0.6538737930865046,0.029423372370860082,0.6953283197994589
MLPClassifier,[6 1 6 6 1],0.6537619904076739,0.02004805762214078,0.8305756248213616
MLPClassifier,[6 1 4 1 1],0.6534553126729385,0.02677777993012524,0.8055802864446463
MLPClassifier,[4 1 2 3 1],0.6532669870906711,0.02686622732750088,0.8468648311281719
MLPClassifier,[6 6 4 1 1],0.6520135814425383,0.027623748740339796,0.8018045773769439
MLPClassifier,[5 1 4 6 1],0.6513381513974783,0.02831353120262595,0.8170202739073928
MLPClassifier,[4 1 1 6 1],0.6510382078952224,0.02019050197152824,0.8558400145315362
MLPClassifier,[6 1 4 3 1],0.6506112469437653,0.02801512187658376,0.8494572918476618
MLPClassifier,[4 1 5 1 1],0.6500605006812682,0.032300114738185726,0.7087178143884039
MLPClassifier,[6 5 4 4 1],0.6459543841986672,0.029268806916588657,0.8995305510790486
MLPClassifier,[1 1 2 1 1],0.6457299626350691,0.017221193987877755,0.8202624122996197
MLPClassifier,[6 1 2 1 5],0.6445569058919411,0.03185026762546111,0.7740983873829804
MLPClassifier,[4 6 2 1 1],0.6438364692861096,0.029228451182471235,0.7605303459084397
MLPClassifier,[6 1 6 3 1],0.6436078478144195,0.03000042528837393,0.9310108493664452
MLPClassifier,[6 1 3 1 3],0.6428791221897548,0.01954602717344634,0.7359901228525875
MLPClassifier,[6 1 1 6 5],0.6421263003979099,0.03240396597307816,0.9153413071894558
MLPClassifier,[6 1 4 6 4],0.6409593479062904,0.023329761980419184,0.715422447492126
MLPClassifier,[6 5 6 6 1],0.6409032072486696,0.025692153753175236,0.984600340821302
MLPClassifier,[6 1 5 6 1],0.6408888249676399,0.02979568706891616,1.000351119769254
MLPClassifier,[6 1 3 3 1],0.6406738624843461,0.021797807452454347,0.8014193098129732
MLPClassifier,[6 1 2 3 6],0.6394561393046694,0.03204467845633665,1.0032142542769638
MLPClassifier,[4 5 4 3 1],0.6390454550292143,0.024319168036158793,0.9653693757665551
MLPClassifier,[6 6 4 4 1],0.6390316592879544,0.028707157118053772,0.8564859845756567
MLPClassifier,[6 1 3 1 1],0.6389671417496572,0.028716839826151263,0.7224595008828467
MLPClassifier,[1 1 3 1 1],0.6389211994737558,0.021317331211534427,0.8211114249622076
MLPClassifier,[2 1 2 1 1],0.6387610664153229,0.026983505900706983,0.9695344489525082
MLPClassifier,[6 6 1 4 1],0.6385514665190924,0.01434949234192622,0.8693233609115637
MLPClassifier,[4 1 6 2 1],0.638301282051282,0.02715672426092341,0.8972733924093103
