Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
RandomForestClassifier,[6 1 3 3 5],0.8984116649878388,0.007043335469783674,0.2278899635982759
RandomForestClassifier,[6 1 3 6 5],0.8927142962435202,0.01366064100269802,0.21656267505481805
RandomForestClassifier,[6 1 2 6 1],0.8863459232613907,0.016899409601997935,0.2692801215125735
RandomForestClassifier,[6 1 3 6 1],0.8841314330013716,0.017526528996386275,0.254769900566468
RandomForestClassifier,[6 1 3 3 3],0.8834039000536704,0.012359949088143007,0.2535445674200419
RandomForestClassifier,[6 1 2 3 5],0.8827967226002997,0.01667584568748879,0.26764757165665404
RandomForestClassifier,[6 1 3 3 1],0.8824181525433836,0.009746604033932679,0.28697205404891446
RandomForestClassifier,[6 1 1 3 3],0.8809565269246825,0.014018059370112787,0.25382268966618715
RandomForestClassifier,[6 1 2 3 1],0.8804711074005604,0.011366646286058534,0.27964583936223625
RandomForestClassifier,[6 1 3 1 5],0.8803227034862295,0.010670989944942425,0.27716850927664005
RandomForestClassifier,[6 1 1 3 4],0.880195599022005,0.012175940927128353,0.2838266729736599
RandomForestClassifier,[6 1 4 3 5],0.8792988231825664,0.01434524041199887,0.30156887175741265
RandomForestClassifier,[4 1 3 6 5],0.8788154435790974,0.02012932983007353,0.3042053625407994
RandomForestClassifier,[6 1 2 1 5],0.8786626875689152,0.012110729492095245,0.29994616632129373
RandomForestClassifier,[6 1 3 4 5],0.8780685698842838,0.016495833368382673,0.25084438868857006
RandomForestClassifier,[6 1 1 3 1],0.8780195599022005,0.014561313491532736,0.2666722646198592
RandomForestClassifier,[6 1 2 6 5],0.8776882880291481,0.019081635461208456,0.2934296121250479
RandomForestClassifier,[4 1 2 6 1],0.8776724774026933,0.00903791649066216,0.25550776767376415
RandomForestClassifier,[4 1 3 6 1],0.8775061124694377,0.018634913459453527,0.282471962308544
RandomForestClassifier,[6 1 6 6 1],0.8774603394207711,0.014361900695456543,0.33812402134193537
RandomForestClassifier,[6 1 1 3 5],0.8773524064565266,0.017734270497000347,0.28205550878420094
RandomForestClassifier,[4 1 4 6 1],0.8769524764803542,0.014575761995573882,0.2782791765085266
RandomForestClassifier,[6 4 3 3 2],0.8737335151272949,0.0152480206086464,0.29014056165804775
RandomForestClassifier,[6 1 1 3 2],0.8736191782455721,0.014994310118796407,0.2852198027696234
RandomForestClassifier,[6 1 4 6 1],0.8733507424829365,0.011841060933516175,0.3349318862253471
RandomForestClassifier,[6 1 3 3 4],0.8733496332518337,0.01973636779521816,0.25940671911069924
RandomForestClassifier,[6 1 3 2 5],0.8731426430484239,0.013033955857277913,0.28628212061773806
RandomForestClassifier,[6 1 3 3 2],0.8731313733675234,0.017090551556401018,0.3003671245598756
RandomForestClassifier,[4 1 6 6 1],0.873107475558015,0.01261878882435038,0.3255837390829265
RandomForestClassifier,[4 1 3 3 1],0.8728524945770066,0.020219970100155117,0.3111128901491782
RandomForestClassifier,[6 1 6 6 5],0.8727977132173163,0.0185076538320207,0.32620730379307394
RandomForestClassifier,[6 1 6 3 1],0.8726483391973284,0.013709714358634871,0.31593198011502954
RandomForestClassifier,[4 1 2 6 5],0.8722859437173401,0.01209731750472611,0.29463381931622296
RandomForestClassifier,[6 1 2 3 4],0.871882640586797,0.013038916015621885,0.32553143622559677
RandomForestClassifier,[6 1 2 1 1],0.8716893792658181,0.015591758648044988,0.29743727862744795
RandomForestClassifier,[6 1 6 3 4],0.871638141809291,0.012237157707816334,0.32770986349234316
RandomForestClassifier,[6 1 1 6 5],0.8715812119468815,0.016149039765402027,0.3003955960547664
RandomForestClassifier,[6 3 3 3 5],0.8713175073469192,0.009253102519401252,0.3963555520165528
RandomForestClassifier,[6 1 2 1 6],0.8712166805017525,0.006170769357740782,0.3160811597756125
RandomForestClassifier,[6 1 2 3 2],0.8711867135786273,0.015558959445452807,0.32659122910916144
RandomForestClassifier,[4 1 3 3 5],0.870525005055289,0.011962667905434012,0.31500216885534826
RandomForestClassifier,[6 1 2 3 6],0.8699594489832428,0.012778032641564808,0.3014756233571634
RandomForestClassifier,[4 1 6 6 4],0.8697461261759823,0.020677961853368013,0.3161497233313815
RandomForestClassifier,[6 1 4 3 1],0.869682151589242,0.020340476220824525,0.29926427446206855
RandomForestClassifier,[4 1 6 6 5],0.8695904645476773,0.010562062704438428,0.34467244142988734
RandomForestClassifier,[3 1 3 6 1],0.8694686624127854,0.013001487716563372,0.29383664030861284
RandomForestClassifier,[6 1 4 3 4],0.8694376528117358,0.01712189867971796,0.3202490885178806
RandomForestClassifier,[6 1 6 6 4],0.8692699686404722,0.017794769556280655,0.31371581014521965
RandomForestClassifier,[6 1 2 6 6],0.8688070697288323,0.010826431327231005,0.334216047922
