Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
SVC,[6 1 6 6 1],0.8349312857406384,0.02103820027264417,0.4600226025121158
SVC,[6 6 1 3 1],0.8298705945494662,0.019037800385544812,0.5139287702027835
SVC,[6 6 3 3 5],0.8295629185335068,0.017179428101797494,0.5119659817229028
SVC,[6 1 3 6 1],0.8291382908939114,0.012082054818780127,0.46631133060574814
SVC,[6 1 2 6 1],0.8286916620549712,0.0192397394157755,0.4606997741944393
SVC,[5 1 3 6 1],0.8278044615875979,0.019018047975328498,0.4045510527875109
SVC,[6 5 3 6 1],0.8265643810038572,0.01590391582150128,0.5097472065205118
SVC,[6 1 3 6 5],0.8260797729897058,0.019963044455411978,0.46252651781393955
SVC,[6 3 3 3 5],0.8236721347015464,0.014461423697272,0.5372420986689743
SVC,[6 6 6 3 1],0.8235148190112709,0.011920362283917012,0.47300252663801423
SVC,[4 6 1 3 1],0.8232273838630808,0.014425427872860625,0.6644083345760357
SVC,[6 6 1 3 5],0.8216046728742352,0.024619372430593544,0.5267716672933281
SVC,[6 6 3 3 3],0.8211752744540304,0.016561899753037308,0.5670377416781957
SVC,[6 1 3 4 5],0.8205838635972779,0.019642760892152195,0.44751556196187786
SVC,[6 5 2 6 5],0.8193545922565175,0.016154464886200186,0.597257049419988
SVC,[6 6 4 3 1],0.8190709046454769,0.021060983342159428,0.48971661367694025
SVC,[4 6 6 3 2],0.8189473189308634,0.016987764001717327,0.5135570115469779
SVC,[6 3 2 6 1],0.8188627825153556,0.015245787309068292,0.5388916518242642
SVC,[6 6 6 3 4],0.8179893744563811,0.01603133784905503,0.529754937785375
SVC,[6 1 3 3 5],0.8171572119991156,0.01832152665678409,0.46584958430111706
SVC,[6 1 4 6 1],0.8171186128020661,0.019162054549650087,0.4625741080364357
SVC,[6 1 6 6 5],0.8170250251689918,0.011410811657851176,0.536518835427232
SVC,[6 3 3 3 1],0.8166664678871728,0.01903869620346793,0.48835003774647295
SVC,[6 6 3 6 1],0.8166652752102094,0.0178822214307483,0.6446316431521969
SVC,[6 3 3 6 5],0.8163023317435082,0.018351068637386548,0.5338406378853525
