Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico,runtime
LogisticRegression,[4 1 2 3 1],0.7670902888593732,0.02070224873129272,0.4873567753559842,9.263000011444092
LinearDiscriminantAnalysis,[6 1 3 3 5],0.7755300592093949,0.021650499247433373,0.481081310497445,0.04874207973480225
GaussianNB,[4 1 2 6 1],0.8601330474082273,0.01709675249881093,0.2889830634251303,0.019120502471923827
MLPClassifier,[4 1 4 6 1],0.7250680225050729,0.020740535295303973,0.5891224868848892,2.468155837059021
SVC,[6 1 6 6 1],0.8466962968087068,0.024405785143379124,0.39771932344099,105.60664191246033
DecisionTreeClassifier,[6 1 3 6 5],0.8639707146893351,0.014612925024473075,0.2914078314886465,0.01925034523010254
KNeighborsClassifier,[6 1 3 6 1],0.8787596159580179,0.0134319915038214,0.248959898723979,0.029319119453430176
RandomForestClassifier,[6 1 3 3 5],0.9055990958897379,0.01421393018435251,0.2012208800969078,0.0792844295501709
ExtraTreesClassifier,[6 1 3 3 5],0.910313121882908,0.014660363173986262,0.20918176942702577,0.049017834663391116
GradientBoostingClassifier,[6 1 3 3 5],0.9187289634670662,0.011251213025277828,0.17986685613921585,2.5830632925033568
AdaBoostClassifier,[6 1 3 6 5],0.9053613984227207,0.01810849057695856,0.1876273881085827,2.1242042064666746
VotingClassifier,[6 1 3 3 5],0.9212078962238655,0.009269630900383507,0.1616210137046623,2.6456285238265993
