Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico,runtime
LogisticRegression,[4 1 2 3 1],0.7670902888593732,0.02070224873129272,0.4873567753559842,10.876979231834412
LinearDiscriminantAnalysis,[6 1 3 3 5],0.7755300592093949,0.021650499247433373,0.481081310497445,0.03137884140014648
GaussianNB,[4 1 2 6 1],0.8601330474082273,0.01709675249881093,0.2889830634251303,0.01982409954071045
MLPClassifier,[4 1 4 6 1],0.7214616768123963,0.022451891988826744,0.5949146249932246,3.6597498416900636
SVC,[6 6 3 3 5],0.8295629185335068,0.017179428101797494,0.5119659817229028,0.989507508277893
DecisionTreeClassifier,[6 1 3 3 5],0.8580245927818588,0.01835769430665338,0.3263392845904934,0.019936656951904295
KNeighborsClassifier,[6 1 3 6 1],0.8787596159580179,0.0134319915038214,0.248959898723979,0.03057715892791748
RandomForestClassifier,[6 1 3 3 5],0.9055990958897379,0.01421393018435251,0.2012208800969078,0.08158597946166993
ExtraTreesClassifier,[6 1 3 3 5],0.910313121882908,0.014660363173986262,0.20918176942702577,0.04965498447418213
GradientBoostingClassifier,[6 1 3 3 5],0.9187289634670662,0.011251213025277828,0.17986685613921585,3.2693014621734617
AdaBoostClassifier,[6 1 3 3 1],0.8924443914365794,0.010044974341260829,0.2416908385647313,3.9066110849380493
VotingClassifier,[6 1 3 3 5],0.9212078962238655,0.009269630900383507,0.1616210137046623,3.3651158571243287
