Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico,runtime
LogisticRegression,[4 1 2 3 1],0.7085434722368207,0.02594466327999171,0.6472895612649432,0.23078184127807616
LinearDiscriminantAnalysis,[6 1 3 3 5],0.7718073606368082,0.020370468120466844,0.486200170607991,0.019306373596191407
GaussianNB,[4 1 2 6 1],0.8601330474082273,0.01709675249881093,0.2889830634251303,0.019702816009521486
MLPClassifier,[4 1 4 6 1],0.6818057092787309,0.028906026331198948,0.6922817817875291,1.1518884181976319
SVC,[6 6 3 3 5],0.8295629185335068,0.017179428101797494,0.5119659817229028,0.8518579721450805
DecisionTreeClassifier,[6 1 3 3 5],0.8491106306660443,0.01771434994195017,0.3012219275307472,0.02014906406402588
KNeighborsClassifier,[6 1 3 6 1],0.8777798318325483,0.015037209111276964,0.26438258420381894,0.01947147846221924
RandomForestClassifier,[6 1 3 3 5],0.894447583716188,0.01492816164080662,0.20787766184992804,0.04039235115051269
ExtraTreesClassifier,[6 1 3 3 5],0.8882631501363536,0.016706069919695095,0.2604443130905414,0.03917562961578369
GradientBoostingClassifier,[6 1 3 3 5],0.9145198142643048,0.008447463194879523,0.18531643206326417,3.0685299396514893
AdaBoostClassifier,[6 1 3 3 1],0.878271811079969,0.010330160751709038,0.2785571209905408,0.3219658136367798
VotingClassifier,[6 1 3 3 5],0.9043645431540673,0.009637674560447798,0.20653466217014113,2.835354447364807
