Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico,runtime
LogisticRegression,[6 1 2 3 5],0.6999533203940742,0.015875148338955078,0.7212166408414628,0.18950283527374268
LinearDiscriminantAnalysis,[5 1 3 3 1],0.7358627422165306,0.01856460186946578,0.6106791102555155,0.01913020610809326
GaussianNB,[6 1 3 3 1],0.8469747748822231,0.014854246653747455,0.35750057065553187,0.019575977325439455
MLPClassifier,[4 1 2 1 1],0.6686833853038071,0.02298519618247364,0.7833614836020195,1.1020505905151368
SVC,[6 6 3 3 5],0.8295629185335068,0.017179428101797494,0.5119659817229028,0.8413774728775024
DecisionTreeClassifier,[6 1 3 3 3],0.8411193273301926,0.013056778436697558,0.378207089937354,0.018808865547180177
KNeighborsClassifier,[6 1 2 3 1],0.866290178305206,0.010901447751831559,0.30628143889658394,0.018399620056152345
RandomForestClassifier,[6 1 3 3 3],0.8836472061542132,0.011318964603767174,0.2776843840638129,0.038916492462158205
ExtraTreesClassifier,[4 1 3 3 5],0.8679893785719607,0.011949785895432991,0.28773012059971675,0.039021754264831544
GradientBoostingClassifier,[6 1 3 3 5],0.9145198142643048,0.008447463194879523,0.18531643206326417,3.228279781341553
AdaBoostClassifier,[6 1 3 3 3],0.874360426978353,0.01306297139596589,0.24335402907929524,0.30953972339630126
VotingClassifier,[6 1 2 3 5],0.8897409281871115,0.005374509596691456,0.25629389940680325,3.4868784666061403
