Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico,runtime
LogisticRegression,[4 1 2 3 1],0.7085434722368207,0.02594466327999171,0.6472895612649432,0.229876708984375
LinearDiscriminantAnalysis,[6 1 3 3 5],0.7718073606368082,0.020370468120466844,0.486200170607991,0.030658435821533204
GaussianNB,[4 1 2 6 1],0.8601330474082273,0.01709675249881093,0.2889830634251303,0.019507408142089844
MLPClassifier,[4 1 4 6 1],0.6770032051282051,0.026106182411614314,0.6625425450183613,1.285120415687561
SVC,[6 6 3 3 5],0.8295629185335068,0.017179428101797494,0.5119659817229028,0.8727926969528198
DecisionTreeClassifier,[6 1 3 3 5],0.8498538191288112,0.017677711778232286,0.3154015758440207,0.019672608375549315
KNeighborsClassifier,[6 1 3 6 1],0.8777798318325483,0.015037209111276964,0.26438258420381894,0.01881418228149414
RandomForestClassifier,[6 1 3 3 5],0.8981702822887747,0.013114303675031776,0.22420527262171597,0.0510922908782959
ExtraTreesClassifier,[6 1 3 3 5],0.8899921381716336,0.01436006365825023,0.24304866367727718,0.04055440425872803
GradientBoostingClassifier,[6 1 3 3 5],0.9145198142643048,0.008447463194879523,0.18531643206326417,3.0110319375991823
AdaBoostClassifier,[6 1 3 3 1],0.8812052000715607,0.016820333839437533,0.291022297712925,0.3312577724456787
VotingClassifier,[6 1 3 3 5],0.9008893693339557,0.010002751091892144,0.23362316034433894,2.967955780029297
