Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico,runtime
LogisticRegression,[4 1 2 3 1],0.7085434722368207,0.02594466327999171,0.6472895612649432,0.33035802841186523
LinearDiscriminantAnalysis,[6 1 3 3 5],0.7718073606368082,0.020370468120466844,0.486200170607991,0.07857224941253663
GaussianNB,[4 1 2 6 1],0.8601330474082273,0.01709675249881093,0.2889830634251303,0.018756556510925292
MLPClassifier,[4 1 4 6 1],0.6899770568160856,0.026587252482670642,0.6601516218737075,1.241367244720459
SVC,[6 1 6 6 1],0.8349312857406384,0.02103820027264417,0.4600226025121158,0.8126465559005738
DecisionTreeClassifier,[6 1 3 6 5],0.859266515981623,0.023373916446532354,0.3080354228224825,0.018761610984802245
KNeighborsClassifier,[6 1 3 6 1],0.8777798318325483,0.015037209111276964,0.26438258420381894,0.018434476852416993
RandomForestClassifier,[6 1 3 3 5],0.8954468958062058,0.013566062322618888,0.22391909685881564,0.038901543617248534
ExtraTreesClassifier,[6 1 3 3 5],0.8964474363069062,0.01633404852214473,0.2249203720371167,0.038239240646362305
GradientBoostingClassifier,[6 1 3 3 5],0.9145198142643048,0.008447463194879523,0.18531643206326417,3.0839171409606934
AdaBoostClassifier,[6 1 3 6 5],0.8951993710537307,0.016391713437493603,0.2920683692532844,0.3113377332687378
VotingClassifier,[6 1 3 3 5],0.9016331720020638,0.011636059820674937,0.20868700479414645,2.970386099815369
