Model,mean_test_score,std_test_score,mean_fit_time,mean_score_time,params
DecisionTreeClassifier,0.8580277502477701,0.018362319706509447,0.012016391754150391,0.0006905794143676758,"{'class_weight': None, 'splitter': 'best', 'max_features': None, 'max_depth': 10, 'criterion': 'entropy'}"
DecisionTreeClassifier,0.8575322101090188,0.01754301274610735,0.015445327758789063,0.0005784988403320313,"{'class_weight': 'balanced', 'splitter': 'best', 'max_features': None, 'max_depth': 10, 'criterion': 'entropy'}"
DecisionTreeClassifier,0.8525768087215064,0.013543464958430606,0.009731793403625488,0.0007551193237304687,"{'class_weight': None, 'splitter': 'best', 'max_features': None, 'max_depth': 10, 'criterion': 'gini'}"
DecisionTreeClassifier,0.8525768087215064,0.015389399295915367,0.010701727867126466,0.000692439079284668,"{'class_weight': None, 'splitter': 'best', 'max_features': None, 'max_depth': 50, 'criterion': 'gini'}"
DecisionTreeClassifier,0.8525768087215064,0.015389399295915367,0.012982344627380371,0.0008095026016235352,"{'class_weight': None, 'splitter': 'best', 'max_features': None, 'max_depth': 100, 'criterion': 'gini'}"
DecisionTreeClassifier,0.8523290386521308,0.014001156173503867,0.009234166145324707,0.0006197452545166016,"{'class_weight': 'balanced', 'splitter': 'best', 'max_features': None, 'max_depth': 10, 'criterion': 'gini'}"
DecisionTreeClassifier,0.8520812685827552,0.013937505385560572,0.010751914978027344,0.0005695581436157227,"{'class_weight': 'balanced', 'splitter': 'best', 'max_features': None, 'max_depth': 100, 'criterion': 'gini'}"
DecisionTreeClassifier,0.8520812685827552,0.013937505385560572,0.010739636421203614,0.0006191730499267578,"{'class_weight': 'balanced', 'splitter': 'best', 'max_features': None, 'max_depth': 50, 'criterion': 'gini'}"
DecisionTreeClassifier,0.8510901883052527,0.01544243941308106,0.017158889770507814,0.0005605459213256836,"{'class_weight': 'balanced', 'splitter': 'best', 'max_features': None, 'max_depth': 50, 'criterion': 'entropy'}"
DecisionTreeClassifier,0.8510901883052527,0.01544243941308106,0.017566108703613283,0.0005387544631958007,"{'class_weight': 'balanced', 'splitter': 'best', 'max_features': None, 'max_depth': 100, 'criterion': 'entropy'}"
DecisionTreeClassifier,0.8498513379583746,0.01996984166416295,0.015119457244873047,0.0006912946701049805,"{'class_weight': None, 'splitter': 'best', 'max_features': None, 'max_depth': 50, 'criterion': 'entropy'}"
DecisionTreeClassifier,0.8498513379583746,0.01996984166416295,0.013722968101501466,0.0008700609207153321,"{'class_weight': None, 'splitter': 'best', 'max_features': None, 'max_depth': 100, 'criterion': 'entropy'}"
DecisionTreeClassifier,0.8431615460852329,0.02090279162936957,0.012227582931518554,0.0005423784255981446,"{'class_weight': 'balanced', 'splitter': 'best', 'max_features': 'sqrt', 'max_depth': 100, 'criterion': 'entropy'}"
DecisionTreeClassifier,0.8431615460852329,0.02090279162936957,0.011880159378051758,0.0005489349365234375,"{'class_weight': 'balanced', 'splitter': 'best', 'max_features': 'log2', 'max_depth': 100, 'criterion': 'entropy'}"
DecisionTreeClassifier,0.8431615460852329,0.02090279162936957,0.012180137634277343,0.000554347038269043,"{'class_weight': 'balanced', 'splitter': 'best', 'max_features': 'log2', 'max_depth': 50, 'criterion': 'entropy'}"
