Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
LogisticRegression,[4 1 2 3 1],0.767090288859373,0.020702248731293,0.487356775355984
LinearDiscriminantAnalysis,[6 1 3 3 5],0.775530059209395,0.021650499247433,0.481081310497445
GaussianNB,[4 1 2 6 1],0.860133047408227,0.017096752498811,0.28898306342513
MLPClassifier,[4 1 4 6 1],0.729389180962922,0.016459643908305,0.592527159017602
SVC,[6 1 6 6 1],0.846696296808707,0.024405785143379,0.39771932344099
DecisionTreeClassifier,[6 1 3 6 5],0.863970714689335,0.014612925024473,0.291407831488646
KNeighborsClassifier,[6 1 3 6 1],0.878759615958018,0.013431991503821,0.248959898723979
RandomForestClassifier,[6 1 3 3 5],0.905599095889738,0.014213930184353,0.201220880096908
ExtraTreesClassifier,[6 1 3 3 5],0.808479104734295,0.02542492329429,0.435544438828934
GradientBoostingClassifier,[6 1 3 3 5],0.918728963467066,0.011251213025278,0.179866856139216
AdaBoostClassifier,[6 1 3 6 5],0.905361398422721,0.018108490576959,0.187627388108583
VotingClassifier,[6 1 3 3 5],0.920217797213965,0.010960858114236,0.18140477778169
