Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico
GradientBoostingClassifier,[6 1 3 3 5],0.914519814264305,0.00844746319488,0.185316432063264
GradientBoostingClassifier,[6 1 3 6 5],0.90931380979289,0.015718401231952,0.192848723257174
VotingClassifier,[6 1 3 3 5],0.904359015305997,0.010358011118739,0.199939676436322
GradientBoostingClassifier,[6 1 3 1 5],0.902372061027443,0.011416312842993,0.254807636850727
GradientBoostingClassifier,[6 1 2 3 1],0.901734152304848,0.015190745368833,0.239624077020053
GradientBoostingClassifier,[6 1 1 3 3],0.901487268173415,0.013594463312833,0.217584879310905
GradientBoostingClassifier,[6 3 2 3 5],0.900295683383919,0.012720258980889,0.285473577181311
GradientBoostingClassifier,[6 1 2 3 5],0.900138196201754,0.016620654842482,0.219814416350109
GradientBoostingClassifier,[6 1 1 3 5],0.899649902955556,0.01459712376264,0.215366393567816
GradientBoostingClassifier,[6 1 1 3 4],0.899511002444988,0.013050372758027,0.213564944252055
GradientBoostingClassifier,[6 1 2 3 4],0.899266503667482,0.012695114900486,0.28209082466876
GradientBoostingClassifier,[6 1 3 3 3],0.896850140139543,0.009726451675939,0.205363000040252
GradientBoostingClassifier,[6 1 1 3 2],0.896843580416244,0.013842731086493,0.217835683661824
GradientBoostingClassifier,[6 1 3 3 1],0.895867374321665,0.009046979546093,0.221426195520325
GradientBoostingClassifier,[6 1 3 2 5],0.894691423236616,0.01303096762013,0.234800389258566
GradientBoostingClassifier,[6 1 4 3 1],0.894621026894865,0.014890356947272,0.256632418762242
GradientBoostingClassifier,[6 1 1 3 1],0.893910787763134,0.019609430212329,0.231235740446532
GradientBoostingClassifier,[6 1 4 3 4],0.893398533007335,0.015777277070809,0.247722286595451
GradientBoostingClassifier,[6 3 3 3 5],0.892923471599942,0.013625329157976,0.303146283911558
GradientBoostingClassifier,[6 3 3 3 5],0.892923471599942,0.013625329157976,0.303146283911558
RandomForestClassifier,[6 1 3 6 5],0.89271429624352,0.013660641002698,0.216562675054818
ExtraTreesClassifier,[6 1 3 3 5],0.892471685133774,0.013310557146167,0.196575073827158
GradientBoostingClassifier,[6 1 3 1 3],0.892444391436579,0.011331378977402,0.252796492885918
GradientBoostingClassifier,[6 1 4 3 5],0.892441589072059,0.013724365447991,0.27035133388788
VotingClassifier,[6 1 1 3 3],0.890490786570457,0.0178966102809,0.264053067757079
GradientBoostingClassifier,[6 4 6 3 2],0.890455817014975,0.01239169299271,0.268899611677392
GradientBoostingClassifier,[6 4 3 3 2],0.890211923176379,0.012968194849525,0.267752980679212
GradientBoostingClassifier,[4 1 3 3 1],0.889589267188531,0.019120140057164,0.292011179621168
GradientBoostingClassifier,[6 1 3 3 4],0.889486552567237,0.01390852093235,0.267946182893387
GradientBoostingClassifier,[6 1 6 3 3],0.889273063390781,0.016554119477042,0.317108706299403
GradientBoostingClassifier,[6 4 3 3 1],0.888997555012225,0.015852875381367,0.252018123359608
GradientBoostingClassifier,[3 1 3 6 5],0.888997125519003,0.015705747053956,0.251328579628975
GradientBoostingClassifier,[6 1 6 3 2],0.888537181704335,0.015029226379806,0.26383413907301
GradientBoostingClassifier,[6 1 3 3 2],0.888286719542012,0.012880585644448,0.249248105412764
VotingClassifier,[6 1 3 6 5],0.888252708645554,0.018565635310378,0.251258739724982
VotingClassifier,[6 1 3 1 5],0.888247795002825,0.011876894637026,0.31023667597456
GradientBoostingClassifier,[6 1 2 6 6],0.887308614646744,0.01411106873416,0.279733840047405
GradientBoostingClassifier,[6 4 2 3 6],0.887056583370554,0.016659049492621,0.29253021565613
AdaBoostClassifier,[6 1 3 3 5],0.886523106404933,0.021656951782178,0.303764198426141
GradientBoostingClassifier,[6 1 3 5 5],0.886511436503452,0.019176970343555,0.27900054129538
RandomForestClassifier,[6 1 2 6 1],0.886345923261391,0.016899409601998,0.269280121512573
VotingClassifier,[6 1 2 3 5],0.886268825393705,0.011046320005168,0.262776388502416
VotingClassifier,[6 1 3 3 3],0.886095771960165,0.008052378723428,0.220577534453009
VotingClassifier,[6 1 3 3 3],0.886095771960165,0.008052378723428,0.220577534453009
GradientBoostingClassifier,[6 5 2 3 2],0.886048682372212,0.019826167816506,0.289836969217669
GradientBoostingClassifier,[6 6 3 3 5],0.88604446692682,0.015896197398733,0.338879168726782
AdaBoostClassifier,[6 1 2 3 5],0.88602130064123,0.009519408243067,0.264386424660115
VotingClassifier,[6 1 1 3 5],0.885769476451367,0.015464293328917,0.251618913319496
GradientBoostingClassifier,[6 1 2 3 2],0.885605581728189,0.011985315427024,0.267600707078754
GradientBoostingClassifier,[5 1 3 6 1],0.885537921037761,0.016030785242446,0.230812460167947
GradientBoostingClassifier,[6 4 2 3 4],0.885120125061708,0.018228100573546,0.288986919452909
VotingClassifier,[6 1 3 1 3],0.88511777685014,0.012032015865524,0.29451551049328
AdaBoostClassifier,[6 1 1 3 4],0.885085574572127,0.017219380793799,0.287375887333845
GradientBoostingClassifier,[4 1 3 3 5],0.885065080192846,0.010297510789504,0.263296595646815
GradientBoostingClassifier,[6 5 3 3 3],0.884816567904803,0.012312283356897,0.327649763963236
VotingClassifier,[6 1 3 4 5],0.884765864923961,0.016744075801772,0.253987195075027
GradientBoostingClassifier,[6 6 2 3 5],0.884580502962856,0.016496861727762,0.318618551253923
GradientBoostingClassifier,[4 1 6 6 6],0.884406128942999,0.010009559815221,0.272631581513625
GradientBoostingClassifier,[6 4 3 3 3],0.884396083593879,0.014625925233063,0.287471551339361
GradientBoostingClassifier,[6 4 2 3 3],0.884391382025906,0.013751898269341,0.28356663611794
GradientBoostingClassifier,[6 1 2 3 3],0.884375335440396,0.011768678051588,0.251802819527613
RandomForestClassifier,[6 1 3 6 1],0.884131433001372,0.017526528996386,0.254769900566468
GradientBoostingClassifier,[4 1 2 1 3],0.883994247656541,0.013341463816925,0.284509201140295
GradientBoostingClassifier,[6 4 6 3 1],0.88361858190709,0.009669300700873,0.329347876652463
GradientBoostingClassifier,[6 4 3 3 5],0.883561569590981,0.023643642927286,0.330102886430406
RandomForestClassifier,[6 1 3 3 3],0.88340390005367,0.012359949088143,0.253544567420042
VotingClassifier,[6 1 2 3 4],0.883374083129584,0.013214248525058,0.320177664347717
VotingClassifier,[6 1 2 3 4],0.883374083129584,0.013214248525058,0.320177664347717
GradientBoostingClassifier,[6 1 4 5 1],0.883291385013663,0.016463298981764,0.310959440782279
ExtraTreesClassifier,[6 1 3 3 3],0.883162979307055,0.008794372922252,0.241571748262375
GradientBoostingClassifier,[4 1 1 6 5],0.883050481806414,0.01005733955465,0.24291685019879
RandomForestClassifier,[6 1 2 3 5],0.8827967226003,0.016675845687489,0.267647571656654
GradientBoostingClassifier,[4 1 6 1 4],0.882725166021029,0.015933984291446,0.289211796986029
GradientBoostingClassifier,[6 4 6 3 4],0.882690589811702,0.017961997528071,0.306604969965256
GradientBoostingClassifier,[4 6 6 3 4],0.882462563765015,0.013764892896492,0.383104581717975
ExtraTreesClassifier,[6 1 3 6 1],0.882426501282128,0.01573540000651,0.256695449436444
RandomForestClassifier,[6 1 3 3 1],0.882418152543384,0.009746604033933,0.286972054048914
VotingClassifier,[6 3 3 3 5],0.882361974273739,0.012154924480986,0.350047079320741
VotingClassifier,[6 1 6 3 1],0.882177828135249,0.019475855933987,0.310729480925597
GradientBoostingClassifier,[6 5 3 3 4],0.882088572529749,0.012122162680399,0.364432130289246
ExtraTreesClassifier,[6 1 2 6 1],0.882021882494005,0.014402712069652,0.30344096695033
VotingClassifier,[6 1 2 3 6],0.881938100065597,0.015867498618127,0.302435648574657
VotingClassifier,[6 1 1 3 1],0.881929751326853,0.020975900514444,0.268423396111143
ExtraTreesClassifier,[6 1 3 6 5],0.881562169864629,0.014419781727011,0.251078490169579
ExtraTreesClassifier,[6 1 3 6 5],0.881562169864629,0.014419781727011,0.251078490169579
AdaBoostClassifier,[6 1 1 3 1],0.88120162204067,0.012816463044693,0.258637121974857
GradientBoostingClassifier,[6 1 1 3 6],0.881199236686743,0.009134722147957,0.265250599083066
AdaBoostClassifier,[6 1 2 3 4],0.881173594132029,0.013038916015622,0.411140249289037
GradientBoostingClassifier,[6 5 2 3 5],0.88113768849063,0.015111527621488,0.2702190884469
GradientBoostingClassifier,[6 5 1 3 3],0.88107326241309,0.020588937199191,0.356706047837973
RandomForestClassifier,[6 1 1 3 3],0.880956526924683,0.014018059370113,0.253822689666187
GradientBoostingClassifier,[4 4 6 3 4],0.880757657678836,0.01821996238778,0.350440870830359
ExtraTreesClassifier,[6 1 3 3 1],0.880712624485658,0.012938225459779,0.250746281623338
GradientBoostingClassifier,[6 1 3 4 2],0.880684596577017,0.017826627025485,0.288373244114303
GradientBoostingClassifier,[4 1 1 3 1],0.880675752145619,0.019661279800654,0.275557947728497
GradientBoostingClassifier,[6 1 5 3 4],0.880554873105176,0.014957564107271,0.336431784907146
AdaBoostClassifier,[6 1 4 3 5],0.880549345257106,0.009857522718268,0.329613108211115
GradientBoostingClassifier,[6 1 3 3 6],0.880472896416006,0.012207312729601,0.263068483200916
RandomForestClassifier,[6 1 2 3 1],0.88047110740056,0.011366646286059,0.279645839362236
GradientBoostingClassifier,[6 1 3 6 6],0.880470511062079,0.01388252532601,0.286169772226462
GradientBoostingClassifier,[6 5 3 3 5],0.880398781134075,0.019272222715963,0.349654204473982
RandomForestClassifier,[6 1 3 1 5],0.880322703486229,0.010670989944943,0.27716850927664
RandomForestClassifier,[6 1 1 3 4],0.880195599022005,0.012175940927128,0.28382667297366
GradientBoostingClassifier,[6 1 6 6 5],0.879890574811832,0.013783669751326,0.239123556886919
VotingClassifier,[6 1 6 3 4],0.879706601466993,0.013648201209734,0.362260424392072
GradientBoostingClassifier,[6 1 6 6 6],0.879617459878251,0.0204484030068,0.299724171660962
VotingClassifier,[6 1 1 3 2],0.879487148905719,0.022053804017886,0.269708349433307
GradientBoostingClassifier,[6 5 3 3 2],0.879413571325336,0.014931298641609,0.299461568035136
