Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico,numEvaluaciones,GeneracionTop
GradientBoostingClassifier,[6 1 3 3 5],0.914519814264305,0.00844746319488,0.185316432063264,374,6
VotingClassifier,[6 1 3 3 5],0.904359015305997,0.010358011118739,0.199939676436322,361,4
RandomForestClassifier,[6 1 3 6 5],0.89271429624352,0.013660641002698,0.216562675054818,378,9
ExtraTreesClassifier,[6 1 3 3 5],0.892471685133774,0.013310557146167,0.196575073827158,382,3
AdaBoostClassifier,[6 1 3 3 5],0.886523106404933,0.021656951782178,0.303764198426141,425,7
KNeighborsClassifier,[6 1 3 6 1],0.877779831832548,0.015037209111277,0.264382584203819,373,10
GaussianNB,[6 1 3 3 5],0.85976525071862,0.017181903968961,0.310021292069803,368,3
DecisionTreeClassifier,[6 1 3 6 5],0.859511583912734,0.020820139610541,0.289375739005019,353,8
SVC,[6 6 1 3 1],0.829870594549466,0.019037800385545,0.513928770202783,356,6
LinearDiscriminantAnalysis,[6 1 3 3 5],0.771807360636808,0.020370468120467,0.486200170607991,438,5
LogisticRegression,[4 1 2 3 1],0.708543472236821,0.025944663279992,0.647289561264943,383,8
MLPClassifier,[4 1 4 6 1],0.697901102195167,0.019551474836014,0.729112050585917,413,5
