Configuracion,Precision,desvPrecision,errorMetrico
[4 1 2 6 1],0.930327020870469,0.004906307214928198,0.06311366311417119
[6 1 2 6 6],0.9292748904983211,0.006423178048499428,0.07888204938865948
[6 1 2 6 5],0.9260876282288961,0.008054619254729068,0.09742360096347989
[6 6 6 1 2],0.9256115973483687,0.010810952873179526,0.1059851125119425
[6 6 2 6 6],0.9233237920739394,0.005874230221360082,0.0760503860772717
[6 6 6 6 2],0.9233201223587881,0.014455967300433683,0.09587202925698614
[6 1 2 3 5],0.9228392743659368,0.010258950267908202,0.08184285838198659
[6 1 2 1 6],0.9222954854639962,0.012663378508272375,0.08211823603024553
[6 1 2 3 6],0.922046553317692,0.00885789413039787,0.07325881066347116
[6 1 2 1 4],0.9189740588375288,0.008710313814850585,0.10441025749751777
[4 1 2 1 1],0.918643662361758,0.006784214942928189,0.08337236979279405
[6 1 6 1 2],0.9185164652255171,0.011093510993008038,0.08939965597381408
[6 1 2 1 1],0.9182864527222734,0.013578789623405703,0.1031534492005547
[4 1 2 3 1],0.9179652444778246,0.008665758996023214,0.07559529733079869
[6 5 2 6 1],0.9178600914596464,0.006094800766710739,0.11195857368787003
[6 1 2 3 4],0.9178571600516108,0.011984474840279613,0.07753363828799864
[6 1 2 3 2],0.9175396365926242,0.008011639291891283,0.10789748744456891
[6 1 2 6 3],0.917538747879785,0.010688909341406018,0.08838834764831845
[6 6 6 2 6],0.9173703345469606,0.009859180851649253,0.09668107591738265
[6 1 1 6 4],0.9172330163414767,0.012724058471443506,0.09091963288196403
[4 1 2 6 6],0.9172091515331078,0.006543419461365372,0.06739915875772602
[6 6 3 6 6],0.9169289281758719,0.009096026595964188,0.1118074824953088
[6 1 2 6 4],0.9167687443233975,0.011008449079907483,0.08609950338414711
[6 1 6 6 2],0.9161135881688385,0.0064117055750151156,0.1407741189089923
[6 6 6 1 6],0.9158345221112697,0.014575794321762961,0.06808802814563761
[6 1 4 3 4],0.9157942474493431,0.009478291696278021,0.07521556773713561
[6 4 2 1 1],0.9150054155394411,0.008863946336265697,0.07480137850568437
[5 1 2 6 1],0.9146374984550738,0.012549159063023254,0.10135197197007183
[6 1 1 3 4],0.91408789238133,0.011227103253598528,0.06556223284039094
[6 6 6 1 4],0.9138425698201891,0.0118840284821851,0.06901626677858179
[4 1 2 1 3],0.9133592591522713,0.0065656716949469415,0.07792130647943864
[6 1 3 3 4],0.912834915427295,0.013058570201073608,0.08205334662232976
[6 1 4 1 6],0.9124383778761546,0.010832471977669093,0.11034337263402
[4 1 2 1 2],0.9123599366649021,0.010003752171131143,0.11492920134987963
[6 1 3 3 1],0.9122910640025556,0.0073668781907854424,0.06950194857816494
[6 5 2 1 1],0.9121936719812137,0.007431381063984204,0.12020815280171308
[6 4 6 1 2],0.9114754795059475,0.008287239689785219,0.051425947722658
[6 6 6 1 5],0.9113996483056889,0.009899315658005134,0.09116785543600141
[4 1 2 3 6],0.911383769522599,0.006165783509426098,0.08296099296815855
[6 6 4 1 2],0.9111448401808742,0.006965865968986282,0.10012476185396293
[4 1 2 5 1],0.9106776149734607,0.007474020884511776,0.10090646042780567
[6 4 2 1 5],0.9105702043353995,0.01003742225376794,0.08910230845323218
[6 1 2 1 2],0.9103919780026789,0.010946441436455758,0.09910821589857217
[6 1 3 6 3],0.9103356708491184,0.014213715444879552,0.08935964817192633
[6 1 4 3 6],0.9101020781017981,0.009546078703037093,0.09452223753062496
[6 1 2 4 6],0.9096027471113075,0.00962966092663324,0.11960428750648491
[4 1 2 4 1],0.9093817542462201,0.004173278908684262,0.09194336107990372
[6 4 6 1 6],0.9090488877958135,0.004803936795385443,0.07521533265689752
[4 1 4 1 5],0.9079795229695528,0.01098409230046109,0.10227081129025774
[6 4 3 1 5],0.9076480453816748,0.010825656114752282,0.09456866496446058
[6 1 1 4 2],0.9073954898027579,0.013709464237524388,0.09739762826260985
[6 6 6 1 1],0.9072753209700428,0.011214404568920701,0.0832187010668904
[4 1 6 1 2],0.9070660647241959,0.009015857781915658,0.09856639980176118
[3 1 3 6 1],0.9066705774529735,0.0060048499618906214,0.09324485026635793
[6 6 3 1 2],0.9066130391947753,0.006048667431906058,0.08998093048882869
[6 1 3 1 4],0.906347034448444,0.00917366102041043,0.0744111231624069
[4 4 6 1 2],0.9060745110229298,0.0088701959541355,0.08103482671449139
[6 6 2 3 6],0.9060494682958042,0.00649572478855796,0.08321245341666016
[6 5 2 6 6],0.9059688542825363,0.0072530378764742226,0.10017346066809424
[6 6 2 1 5],0.9057498455073538,0.009932912006194075,0.08485281374238571
[6 4 6 1 5],0.9057204028938823,0.005131421359373069,0.09308241808839864
[6 1 3 1 6],0.9056910896764198,0.008425279693791738,0.09410822850956493
[6 4 6 3 6],0.9054376867479871,0.007454112919680914,0.051484452782638274
[6 6 3 6 1],0.9049602801436543,0.007029940147527953,0.15238625992603866
[4 4 2 1 1],0.9047518322979858,0.00734404063493007,0.06817833978382691
[6 4 6 6 2],0.9045309608575496,0.00832638396910759,0.08648909389719754
[3 1 2 6 6],0.9044726378012738,0.00930809745302549,0.10033271895214527
[6 6 3 3 6],0.9044677001889717,0.010622586529896578,0.08461106783428772
[6 3 2 1 2],0.9042463969042324,0.008864869081278605,0.1039160303432933
[6 1 3 3 6],0.9042276794110536,0.007323583484518679,0.0915180937799439
[6 5 2 1 5],0.9041893461871215,0.007594648506591504,0.09860211226545747
[6 3 2 6 6],0.9037945499050346,0.006788443974409588,0.11864742161801305
[6 4 6 1 4],0.9037876427829697,0.009118757166663995,0.08224094065232203
[6 3 2 1 5],0.9035226134766112,0.008034941336444168,0.11326120686037953
[5 1 2 1 1],0.9035221851439873,0.010494611015863598,0.09899494936611666
[6 4 3 3 6],0.9035049665570473,0.008894938700915128,0.0752155677371356
[6 1 1 4 4],0.9032032573645953,0.0070877442513362365,0.07521533265689752
[6 1 5 1 2],0.9030792238289458,0.009787052389596531,0.11117289948655165
[4 1 2 2 1],0.9028788570540437,0.01066694906256112,0.09817680928871074
[6 4 2 1 6],0.9028777642321835,0.0129992618433534,0.07986605517534008
[6 5 2 1 6],0.902635273760969,0.008670896842458864,0.09388806705754714
[6 3 6 1 2],0.9025582233868592,0.007630934750804884,0.11426781880660988
[2 1 2 6 1],0.9024952752417426,0.008601974299930471,0.10234440254015821
[4 6 2 3 1],0.9023926618137,0.009466282795306515,0.07637063371367867
