Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 6 1],0.9016934424811469,0.011552775100768967,0.10638963584214074
[6 1 2 1 1],0.8990619945950339,0.01444507821564611,0.10760320583273551
[6 1 2 3 1],0.8986153853966707,0.00788883143001197,0.10949007028507915
[6 1 2 3 4],0.897017447570628,0.008027676867817045,0.09769238424287828
[4 1 2 6 1],0.8963737742181465,0.006473015292533038,0.09934558082786206
[6 1 2 1 4],0.8960438634409803,0.011314399373004717,0.11492920134987965
[6 1 3 6 1],0.8960420454307985,0.007193878387968156,0.11008072600889476
[6 1 2 4 1],0.8947186347983622,0.010175532959115018,0.13285036495019986
[6 1 4 6 1],0.8940842761108379,0.01211207817687293,0.11282299898534628
[6 1 4 3 1],0.8931500903128166,0.009959246527543817,0.11986224163457973
[6 1 6 6 2],0.8896760427888788,0.009925861272820814,0.15695505211692248
[4 1 4 6 1],0.8880067770672788,0.010482531299787838,0.1310069255617391
[5 1 2 6 1],0.8878524286243975,0.011578437092436842,0.1135299220905068
[4 1 2 1 1],0.8868939088537997,0.01032500466374633,0.11259165827157701
[6 1 4 1 1],0.8857792261026397,0.014158302908641085,0.12687421497619528
[6 1 2 5 1],0.8855174885675442,0.006458568350332267,0.15399214345840373
[6 1 2 6 3],0.8849839269935099,0.011331187967302305,0.12700848153069183
[4 1 6 6 1],0.8849672077389735,0.010304796097182359,0.12026187803932516
[6 5 2 6 1],0.8849621802002223,0.008177989430076157,0.14102851913665032
[4 1 2 3 1],0.8847346996745431,0.010464170724063353,0.10971009817751808
[6 1 6 1 4],0.8843811827075477,0.007538916830312488,0.11158318580968313
[6 1 2 6 4],0.8839173049555828,0.010335732840761709,0.12427937366309018
[4 1 3 6 1],0.883476641762616,0.009159670467428676,0.14761557946272066
[6 1 6 6 3],0.8833343781999037,0.011298357568427442,0.15324963816924567
[6 1 2 1 3],0.8832961343530679,0.012951457159106314,0.13258252147247768
[6 1 3 1 5],0.883025664734794,0.012231482180807976,0.12317343930346311
[6 1 6 3 4],0.8829072952542363,0.009320491632133063,0.12710224280713825
[6 1 2 2 1],0.8823537815104023,0.01406032148273034,0.16383194873029278
[6 1 4 1 2],0.8816005226116985,0.012211494649605735,0.13090241238494763
[6 1 2 6 2],0.8815512934435297,0.010448896922770791,0.13753793226740627
[6 1 3 3 3],0.8813830152460959,0.007393393433867653,0.10921734776568776
[6 1 2 1 2],0.8810937586008949,0.011799064795352204,0.13713340893720802
[6 1 6 6 4],0.8809903262829971,0.011095468510667204,0.15952262860199146
[6 5 2 1 1],0.8800718081819305,0.00846274262366788,0.14495689014324226
[6 1 3 6 6],0.8800373763698947,0.008235078579246616,0.11914619756256846
[6 1 4 5 1],0.8797172584809674,0.011302633977683387,0.16738855441647651
[6 1 3 6 2],0.879128198096631,0.009949035606520901,0.10590675889393113
[4 1 1 6 1],0.8783045034705144,0.012250469920770767,0.14175197308415302
[4 6 2 1 1],0.8779630043372885,0.008536941941182635,0.11882510648038404
[6 1 3 6 3],0.8775964187944627,0.01558108556662891,0.12044126492737897
[6 1 3 3 4],0.8771040813100411,0.008530833371741205,0.0981422381169042
[6 3 2 1 1],0.8766484353575674,0.014088466674440862,0.17637854958650934
[6 1 6 3 2],0.876422956214388,0.008204266579968563,0.1536842441092384
[4 1 5 6 1],0.8762128997622517,0.006600355956473431,0.15660217978820715
[4 5 2 1 1],0.8761994961211537,0.007535793259903728,0.1252763225688606
[6 1 6 6 1],0.8761768901569187,0.01128314974795161,0.1679504694259061
[6 1 3 1 4],0.8760781173470576,0.01115345694428756,0.11423112961147869
[6 1 4 2 1],0.875869036228259,0.006619437940664054,0.17921163600320214
[4 1 3 2 1],0.8757420272690508,0.008283615465854976,0.14847691732151738
[6 1 4 3 4],0.8753982445365281,0.011130659424976963,0.12629779823240952
[5 1 2 3 1],0.8752048548924451,0.013162739231958133,0.11132180263331823
[6 1 4 6 2],0.8747651647246817,0.010709462241512356,0.14570685188086435
[6 1 3 3 1],0.8741774661090064,0.00897895837433811,0.09453991763116844
[4 1 3 3 5],0.8741284991984216,0.012188634036185649,0.10751790124590123
[6 1 4 3 2],0.8738778718200552,0.009989800627947631,0.13374552604679765
[4 1 2 3 5],0.8733254426685967,0.012951142025700529,0.13436167500807186
[5 1 2 1 1],0.8727363737486096,0.011060904419824017,0.13985000783467275
[2 1 2 1 1],0.8722821172159444,0.010016599661744483,0.12782937234264818
