Configuracion,Precision,desvPrecision,errorMetrico
[6 6 6 6 6],0.9403523400776621,0.008863055400266086,0.08592434081609227
[6 1 2 6 1],0.9322510294861612,0.008915739004033238,0.08171371270004726
[6 6 6 6 2],0.9274417367189077,0.008221930792775946,0.09344488927579662
[4 1 2 6 1],0.9270217204415971,0.006191693403894577,0.08376196030584449
[6 1 2 6 5],0.9239740452354468,0.008430242720453176,0.0970307638628207
[6 1 3 6 1],0.9226721119141658,0.007278378705181298,0.0686385703349579
[6 1 2 3 1],0.9222717785429172,0.006383881245879497,0.0808235791558948
[6 1 2 1 1],0.9195459513867592,0.00915185420318973,0.08939965597381408
[6 6 6 4 6],0.9178153522435373,0.009034298228742167,0.09918505405305167
[6 1 3 6 5],0.9168136210777759,0.010917950682824293,0.07921254850828774
[6 1 3 3 5],0.9163446879007535,0.012270120380587739,0.09041013389951165
[5 1 2 6 1],0.9163055246570264,0.005535275633664095,0.09781643806413907
[6 1 2 5 1],0.9163042887158571,0.012170784791646343,0.10370899457402699
[6 1 6 6 1],0.9161198288159772,0.007988587731811698,0.11902796031385537
[4 1 2 6 5],0.9156330036004603,0.0056146941439253525,0.06892101636767103
[6 1 3 4 5],0.9155292884449377,0.00935465148737545,0.09849267595883654
[6 1 2 6 2],0.9146239459398535,0.008601267685283746,0.10477154252134772
[6 1 2 4 1],0.914454147623234,0.012247335527904751,0.09700803774955942
[4 1 2 1 2],0.9137921404251805,0.0067437939699379916,0.0790868741492392
[6 6 6 6 1],0.912981455064194,0.014589749130437188,0.12407151795427294
[6 1 6 3 4],0.9128358224426701,0.009761358948437009,0.07803112374868615
[6 1 4 3 1],0.9127195949010186,0.007976206652322118,0.0888911255075239
[6 1 3 3 2],0.9126970403323279,0.008467883863435801,0.07644397634449164
[6 1 3 3 1],0.9126563195022854,0.008083007758860188,0.06388998999731932
[6 1 3 6 4],0.9124941367934675,0.00807064569706483,0.0836622357717872
[6 6 3 6 1],0.9124143582578791,0.010003924778392119,0.1010152544552211
[4 1 3 3 1],0.912039074222364,0.0079009479068871,0.08326001348442283
[4 1 4 6 1],0.9117374432967154,0.007054750551319199,0.09381253029184472
[6 1 6 6 5],0.9116561316794195,0.007326209426835783,0.10673309904702605
[6 1 2 6 4],0.9114766937524588,0.00993034096516429,0.08142441722754183
[6 1 3 4 1],0.9113554437767082,0.006557866025785958,0.10618668386419146
[4 1 2 3 1],0.9112754443738325,0.008890962951619964,0.07598296552223865
[4 1 2 5 1],0.9105712482832857,0.012992772718683031,0.09709866946826583
[6 1 6 3 1],0.9104571739046067,0.008376673996114456,0.08288431134787372
[6 6 4 1 1],0.9100991965896048,0.010212029148132531,0.07397551948123438
[6 6 6 3 2],0.9099919254090618,0.006180317391682641,0.07763841347487432
[6 1 3 2 1],0.9095426175894046,0.009652259590267574,0.0959531161407421
[6 6 6 5 6],0.909518242162128,0.012032968020943868,0.12496667013422633
[4 1 2 1 3],0.9084238450131916,0.006498979720493551,0.09187736137127839
[6 1 3 6 3],0.9081350325849105,0.00956071629735046,0.09410822850956495
[4 1 2 4 1],0.9080591969459274,0.006610774175879471,0.10129353339311425
[6 6 2 6 1],0.9071875303079153,0.005145260928855596,0.10234440254015821
