Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 1 1],0.8867005591073156,0.014593698579874644,0.11731176575749358
[4 1 3 5 1],0.8807860402022444,0.010124147342324679,0.1393023903003465
[4 1 3 1 1],0.8781258989170236,0.016160351054786325,0.12308001993349461
[6 1 2 4 1],0.8759789255375467,0.012244380205937551,0.1511611190635705
[6 1 3 3 5],0.8755126892657235,0.014816874064884163,0.12980904546122546
[4 1 3 3 1],0.8745995527118463,0.011114859089592885,0.12951557653132442
[6 1 4 3 1],0.8744879898206961,0.0071784126045733474,0.14077780057752654
[4 6 1 1 1],0.8718727113734493,0.015489561510499782,0.11323627004390067
[4 1 2 5 1],0.8713511701495861,0.012332366885330551,0.1473615101341917
[4 1 2 3 1],0.8712468946790686,0.011258778308978578,0.11397444828335801
[4 1 1 5 1],0.8694304266687117,0.01332398151507912,0.15740117050141225
[6 1 2 5 1],0.8691819305401063,0.011298368233843512,0.18463343730982074
[4 1 3 2 1],0.8688320863905098,0.008521607682144754,0.1263798304094378
[6 1 3 4 5],0.8681324454310027,0.013162227621654038,0.12753035731721862
[4 1 1 1 1],0.8678827130130623,0.004957312848767184,0.13431309403017413
[4 1 3 6 5],0.8673560241706746,0.013475724372377148,0.14361880239416006
[4 1 3 4 1],0.867090372420513,0.006495477001745723,0.14560446802589885
[6 1 3 4 1],0.865270640430599,0.012714533001966394,0.14721335717535633
[4 1 1 6 4],0.8639279663332788,0.011436249581900461,0.1285272992104128
[6 1 4 3 5],0.8636918238993712,0.013825316982318632,0.14126439579753447
[4 1 1 6 1],0.8636902224408374,0.008226778754340578,0.13224673873740223
[4 1 1 3 1],0.8635638966417108,0.012141459958446503,0.15284446919845737
[4 6 1 3 1],0.8634463733638089,0.01324312421351968,0.15002891318690686
[6 1 3 3 1],0.8617160888554531,0.010236547578033545,0.09281316114475442
[4 1 3 1 6],0.8611715788027915,0.012547618146590663,0.13394002169233238
[6 1 6 3 4],0.8604917059922619,0.0123380417905915,0.1267000205197739
[6 6 1 1 2],0.8598077069260632,0.011131622513722492,0.1375379322674063
[4 1 1 3 5],0.8593644099149094,0.008660583718696692,0.1012394836548997
[6 1 6 4 6],0.8592465978029186,0.011075134062076265,0.16034917071910024
[6 1 3 5 1],0.8588535904760333,0.012071249234299341,0.14432443393133054
[4 1 1 6 2],0.8586699629411966,0.012448229733329274,0.13596708905460336
[6 6 2 1 5],0.858511679644049,0.015789137095863107,0.14574256434456065
[5 1 3 3 1],0.8584556225316982,0.011566385560116155,0.09822083599766052
[4 1 2 3 5],0.8581851624770079,0.010165907948307166,0.1320843584825113
[4 4 1 1 1],0.8578281958791057,0.006747819053629452,0.0983585119359429
[6 1 2 2 1],0.8574039124405965,0.00951648496110934,0.18405811524020543
[6 1 1 4 2],0.857346919942299,0.011552406410093521,0.14414848982866257
[4 6 2 1 1],0.8572364235097553,0.011192404143640854,0.10908534365412303
[6 1 2 1 4],0.8569082126777049,0.013237156564816369,0.15271948111577227
[2 1 2 1 1],0.854544417970071,0.00988653328568338,0.15088720216394866
[4 1 6 5 1],0.8539463660301146,0.008313881639410235,0.19055928509942552
[6 4 6 1 4],0.8536362518445646,0.008089150512341802,0.0967054277017254
[6 1 1 5 1],0.8530038179427466,0.010774850857757826,0.14097663499128027
[2 1 3 3 1],0.8528789217628001,0.008419542984326709,0.10351788463316575
[6 1 6 3 5],0.8528654734188642,0.013248938489434172,0.18123499318388345
[4 1 4 3 1],0.8526360458275997,0.012773948624081613,0.15726891435946538
[5 1 3 1 1],0.8520976927873622,0.01194443150785681,0.11403605535321602
[4 1 1 3 3],0.8520711048224712,0.012472148277796226,0.14882224632481375
[4 1 3 3 5],0.851704895794796,0.012556974837867727,0.1294923628144066
[6 3 3 1 2],0.851076231248159,0.012380129146831936,0.14572132990668718
[4 6 1 3 5],0.8510367492909113,0.0078198690251714,0.14204919799640967
[6 1 3 3 3],0.8508444014556484,0.009668153376540966,0.13857220803472636
