Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 1 5],0.9404238042269188,0.0075650284733556295,0.06521095870942606
[4 1 2 6 1],0.9398091933031877,0.005591918856869109,0.06272407260112076
[6 1 2 6 5],0.9393135582746261,0.007253460555181437,0.08917402184963683
[6 1 2 6 1],0.9383149716514504,0.007321331593332245,0.05946492953914329
[6 1 2 3 1],0.9366884782189178,0.007865551505770459,0.06808291643181286
[6 1 2 3 5],0.9357912309588461,0.009256778612843,0.054691199203128475
[6 1 2 6 6],0.9356826063365495,0.007363960254818083,0.07362324609608219
[6 1 2 1 6],0.9352271684740014,0.01260085028884616,0.07564586274707345
[4 1 2 1 5],0.9347047715378048,0.00673778253651213,0.06435166721622324
[6 1 2 3 6],0.9339874259829164,0.00885047384858405,0.0796291420255121
[6 1 2 1 1],0.9335088243543268,0.006991014651759981,0.08252275936044376
[6 1 2 6 4],0.9334154568723925,0.009083368396949882,0.08454114133194535
[6 1 3 6 5],0.9331219831690417,0.009803445324149382,0.08170090081744859
[6 1 2 6 3],0.932297348080888,0.0068174997492318375,0.07246251924321603
[4 1 2 1 6],0.9306593601406583,0.005970837829494691,0.07012629234907909
[4 1 2 3 6],0.9303586043869279,0.004846695858066903,0.04458184201559921
[6 1 2 1 2],0.9301904844286122,0.012852581505377885,0.08373632935103852
[4 1 2 1 1],0.9298881921812239,0.0077172202731106065,0.0740221974795835
[4 1 2 6 6],0.9297774528993779,0.00711479215021695,0.061165710548919
[4 1 2 1 3],0.9291512604232866,0.006341233138165312,0.059700901481758946
[5 1 2 6 1],0.929089729328884,0.009886358990954754,0.07896025723249782
[6 4 2 1 1],0.9290070134878503,0.01171260019874361,0.07129506388823043
[4 1 2 6 5],0.9287790913477598,0.007221100753735401,0.06016309716072942
[6 1 2 6 2],0.9283574617104542,0.008314964545556419,0.0910177492946071
[6 1 2 4 1],0.928342577796774,0.010108164361631103,0.09739762826260985
[6 1 3 1 2],0.9275673644332043,0.010469993196286722,0.06808291643181286
[6 1 2 3 2],0.9275658409254802,0.0091477362891439,0.0696754992723231
