Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 6 1],0.9240095045622423,0.009621178059460654,0.08171371270004726
[4 1 2 6 1],0.9163288228122923,0.0075053994322944895,0.09506008518430722
[6 1 2 3 5],0.9148274260018873,0.00894087835846846,0.08223073922739885
[6 1 2 3 1],0.9147238134414006,0.008996642848329958,0.08400874483691528
[6 1 2 1 1],0.9140542226625881,0.009396519526443428,0.1059851125119425
[6 1 4 6 1],0.9133743236596163,0.01337297655818336,0.10910355945835686
[6 1 3 6 1],0.9127811064241381,0.009673299355501522,0.10317370006323862
[6 1 2 3 6],0.912582269417106,0.008780124058193353,0.0907772219090838
[6 1 2 6 5],0.9119699666295883,0.008540128600205789,0.1131370849898476
[6 1 2 1 5],0.910859349894945,0.008891562379053036,0.10606601717798213
[6 1 2 1 4],0.9094938291992287,0.010628042011427568,0.1254481452022415
[6 1 4 3 1],0.90896701314654,0.007510403695765285,0.09251112609380314
[6 1 3 3 5],0.9082495362955381,0.01365297746467716,0.0916543100540921
[6 1 2 1 6],0.9078745534087723,0.010282527732775803,0.10962582248372676
[6 1 2 6 6],0.9074145284022848,0.007244738264645319,0.0910177492946071
[6 1 2 3 4],0.9067804321451268,0.009242067287190153,0.08412399754247853
[6 1 3 6 5],0.9056682022577041,0.01561508154718456,0.11487893160626021
[6 1 2 5 1],0.9048576195773081,0.007353888406875177,0.13356461422412566
[6 1 3 4 1],0.9047554816122068,0.007796778225297237,0.10739335072628453
[6 1 4 1 1],0.9041364704596381,0.013840177032882463,0.12150169121498831
[6 1 2 3 2],0.9035730064901429,0.011031605285936108,0.12063815016865086
[6 1 2 4 1],0.9029875321168201,0.0122575432264116,0.12622732622834237
[6 1 2 1 3],0.9024444681434535,0.009195663048780035,0.10909192457495161
[6 1 2 1 2],0.9016938356649131,0.009000547239267624,0.12378413904066567
[6 1 3 1 5],0.9015625601990214,0.008764051782466854,0.09828991621185443
[6 1 3 4 5],0.9013217412751263,0.008537047424866284,0.09456866496446058
[6 1 3 1 2],0.9006445707263069,0.009973993074479374,0.08838834764831845
