Configuracion,Precision,desvPrecision,errorMetrico
[4 1 3 1 1],0.8245297125279555,0.011069182010161294,0.19186003107280045
[4 1 2 1 1],0.8236164875248313,0.011226206047782036,0.20063911422097633
[4 1 4 1 1],0.8229860086352954,0.012867198015689226,0.20828861351140854
[6 1 3 4 1],0.8221423184867873,0.013210906446991829,0.2111667008662898
[4 1 6 1 1],0.81997103350276,0.009975930540117759,0.1760534709441667
[4 1 1 1 1],0.8130466743181941,0.005288067583035938,0.17026767612440538
[4 1 3 3 1],0.8128113330275395,0.011668893219253898,0.17858669558977652
[4 1 5 1 1],0.8123410537617917,0.012843409186483032,0.19015978974282297
[6 1 4 1 1],0.810733316937203,0.01470707673433086,0.24796263513262917
[4 1 3 4 1],0.8086007085085816,0.009822803491603789,0.22846225922295735
[4 1 3 6 1],0.8071236987568706,0.010861637198531197,0.22725559236086423
[6 1 6 1 5],0.8065676536286299,0.006491471568582338,0.21924757429243263
[6 4 3 1 1],0.8064373472650894,0.01060701692646713,0.17939114016450525
[4 1 3 5 1],0.8053068195831792,0.010915882900270495,0.2338710552648071
[4 1 1 4 1],0.8050960539979231,0.010168300192436223,0.21614076362394177
[6 1 6 1 4],0.8046522653986994,0.011131695973457766,0.1934108554034508
[4 1 2 3 1],0.8044566169815317,0.013133181480904185,0.17755203167951686
[4 1 2 4 1],0.803551671046049,0.009903751993474041,0.20921010550808597
[6 1 3 5 1],0.8031258083868588,0.015134088531466618,0.21150994627867406
[6 1 4 1 4],0.8027851560365088,0.014168655098047567,0.2016762765745384
[4 1 6 1 6],0.8019686287369515,0.019989193621216726,0.2062222582186366
[6 1 6 4 1],0.8017302016724054,0.009104463274370606,0.2632536642991413
[5 1 4 1 1],0.8016025001917326,0.012523957339199497,0.2233179043408362
[4 1 3 2 1],0.8013845157625127,0.012128069174531159,0.21825719178071618
[6 1 3 1 4],0.8005206268253685,0.011676106260500653,0.16973780526776056
[4 1 2 5 1],0.8004538853420436,0.012689171045369416,0.2524565406174911
[1 1 4 1 1],0.7998386347488659,0.011305551552278333,0.2396972139615416
[4 1 3 1 6],0.7988137534628552,0.013581266024776065,0.1862289190496994
[6 1 6 1 3],0.7984356854772503,0.014043255819946424,0.22318327586901407
[4 1 6 3 1],0.7973364845638942,0.007827542237601001,0.22001559118830577
[6 1 4 4 1],0.7960018035743565,0.01508766649993237,0.25540151418660806
[6 1 4 2 1],0.7957245166084638,0.013032296373929272,0.3069973242837462
[2 1 4 1 1],0.7955040094419807,0.011832021733476921,0.25128588091753346
[5 1 3 4 1],0.7945397706252313,0.012126394279603148,0.204833373906425
[6 1 4 1 3],0.7923327398861307,0.011709849160041131,0.23570226039551587
[4 1 6 4 1],0.7917957861944581,0.014068706878924163,0.24961571936684673
[1 1 3 4 1],0.7915309382944483,0.012241754593079718,0.21518892373993342
[3 1 4 1 1],0.7910760052969696,0.013304798002020635,0.22403781406194936
[1 4 3 1 1],0.7893675770509561,0.014693735808432714,0.16611780468148132
[5 1 3 2 1],0.78904507770524,0.019218528115960583,0.20557684806849713
[4 1 6 1 2],0.788669501527522,0.019214447058431557,0.1944056660121693
[4 1 6 1 3],0.788347055180224,0.008392720012158982,0.19708892080853718
[4 1 6 1 4],0.7875873093949829,0.009486006527077739,0.19134450011067886
[4 1 3 3 5],0.7869928474534468,0.010989258781345268,0.19031453322723396
[5 1 6 1 1],0.786430302742265,0.013578780047185875,0.23525753914948658
[4 1 4 5 1],0.7854352327632488,0.011240451756568123,0.2848401892576319
[6 1 5 4 1],0.7849836388271084,0.010801022988141415,0.2480866164501955
[5 1 2 3 1],0.7847645492710922,0.014060222503845627,0.1803645931167003
[4 4 3 1 1],0.7845882538917438,0.01408979805969029,0.1797933624518696
[4 5 3 1 1],0.7844354421013688,0.0143708793871086,0.23857986845805823
[6 1 6 1 2],0.7839326764543212,0.013635014290082665,0.22572401825062563
[6 1 1 1 2],0.7837058094212073,0.019438844256508624,0.21237474835408324
[6 1 3 4 6],0.7828860451797316,0.011764616060687932,0.24334448385543875
[4 1 4 1 4],0.7824169262720664,0.012421645366331526,0.18886487375935254
[4 1 3 1 3],0.7800424224048348,0.011304728369998426,0.21639559060202648
[6 4 3 1 6],0.7798103560424069,0.012003931010929177,0.2015133659695451
