Configuracion,Precision,desvPrecision,errorMetrico
[4 1 2 1 1],0.8103855718372521,0.006210272880554591,0.19323689447301795
[6 1 2 1 1],0.8025893772231265,0.01598310923536146,0.21277927168428146
[4 1 6 1 1],0.7914461387112641,0.014639995497729845,0.18927814481790695
[4 1 5 1 1],0.788826724953345,0.012630652567922071,0.21532799720878482
[4 1 4 1 1],0.7860381483303274,0.012317074314352496,0.23308487702467146
[4 1 3 1 1],0.7829969602027569,0.009717121351486299,0.19306669793489353
[1 1 2 1 1],0.780616040324927,0.013470167291565867,0.23502805484518544
[4 1 2 6 1],0.780508793573236,0.010012473376147059,0.26570072990039967
[6 1 4 1 1],0.7801065748483358,0.015981745272322233,0.23060525067334514
[6 1 2 6 1],0.779241863061958,0.015637809998598415,0.2811437144877864
[6 1 3 1 5],0.7781336514593619,0.01721465326091623,0.2596180909224509
[5 1 2 1 1],0.776040168087999,0.015276876791592037,0.2639865316429778
[6 1 3 3 1],0.7759615011448753,0.014785924460344959,0.1700855139117825
[2 1 2 1 1],0.7726054453330397,0.015061349800138976,0.20792499172190243
[6 1 3 1 1],0.7720529538377948,0.013388229379114942,0.18821645701912987
[4 1 1 1 1],0.7713048587200086,0.01206060167604677,0.2277123532634645
[4 1 3 6 1],0.7707100116357115,0.01689185261443728,0.23127781523450786
[4 1 1 5 1],0.768254850832119,0.013286375857316039,0.25967198179167006
[6 4 2 1 1],0.7667298884350304,0.014682278680090031,0.22479372603010356
[4 1 2 5 1],0.7652218041275379,0.01573992122933879,0.2962461366521993
[4 1 2 3 1],0.7646448379455775,0.012012904182252506,0.2326009148639959
[1 1 4 1 1],0.7644119254522599,0.014455491509194462,0.2620138511234782
[4 6 2 1 1],0.7639742774019009,0.010224913930770472,0.1893409893425136
[3 1 2 1 1],0.7607312075322221,0.011069009292280805,0.2548132544816388
[6 1 3 4 1],0.7605799456309068,0.015954955156469382,0.23771337183233765
[4 1 2 1 5],0.758754082996177,0.018452639493849846,0.2395100513550557
[4 1 2 1 6],0.7584615982398282,0.012944996889260133,0.21933945884739742
[5 1 2 6 1],0.7550312693115806,0.013635574033794945,0.30602010141351144
[6 1 4 4 1],0.7546174236213588,0.013455792171698329,0.27895796452420785
[6 1 1 3 5],0.7533725211762957,0.016634071236918457,0.23639346937028277
[6 1 2 5 1],0.7532558398220244,0.015532992998365186,0.35983878420382087
[4 4 1 1 1],0.7529522599333223,0.009096480120711172,0.20704880033574538
[4 1 3 3 1],0.752844011495772,0.013114166742839209,0.21317781230311164
[4 5 2 3 1],0.752338387354038,0.018455684432983725,0.25771632014260104
