Configuracion,Precision,desvPrecision,errorMetrico
[4 1 2 1 1],0.7764296538426045,0.014552466908791742,0.1920681229338667
[4 1 1 6 1],0.7671317702355578,0.01850418272712827,0.2244061847950294
[5 1 2 1 1],0.7644779384501298,0.0183303992782536,0.20820366334937235
[4 1 4 6 1],0.7621041700825273,0.020501454407781863,0.2711058144116746
[4 1 2 6 1],0.7618760594300813,0.023751079367118767,0.27894680734411464
[4 1 6 6 1],0.7535669781931464,0.01841045324127882,0.3231779677895268
[4 1 5 6 1],0.7518668353912621,0.014051760821792006,0.27445330998596507
[4 1 2 5 1],0.746470992168071,0.014638168093401844,0.28863055473311955
[4 1 3 6 1],0.7453280933759372,0.01971097396371597,0.28919782461497595
[4 1 3 1 1],0.7445384717050075,0.01933707390651575,0.20553558884318873
[6 1 2 3 1],0.7421446672151294,0.017661889744326077,0.27432239427788924
[4 1 1 1 1],0.7413705798764825,0.03497406558847218,0.20250281869164719
[5 1 2 6 1],0.7389184278828328,0.031234083976796886,0.2675220655489105
[6 1 2 4 1],0.7347598706098918,0.01637918809307774,0.2785572168310642
[4 1 1 4 1],0.7345932393288517,0.01709249514479328,0.29218263839794806
[4 1 6 2 1],0.7331063097105722,0.010786741569296232,0.30855568633594804
[6 1 2 6 5],0.732913484118156,0.022449148595989652,0.37515943112952943
[4 1 2 4 1],0.7317850880814419,0.01296189759152174,0.2793363978571651
[4 1 6 3 1],0.7297463466716423,0.024377650536821255,0.26104226449947066
[4 1 1 3 1],0.7276941595984254,0.01893801372706226,0.25058448502799724
[4 1 6 5 1],0.727669938901245,0.010262578871904994,0.32518922027449143
[6 1 5 1 4],0.7265402510417466,0.022567632227920773,0.2508830839464135
[6 1 3 6 5],0.725098657596222,0.019763740131557583,0.3118734894148292
[5 1 3 6 1],0.7248683189406073,0.025695230633836483,0.319753271727172
[5 1 1 6 1],0.7235069625968347,0.020247524010657554,0.3233123458632831
[4 1 5 3 1],0.7232784560365026,0.014643212782659478,0.2530987091372493
[6 1 3 3 5],0.7223912840072872,0.023674028710075103,0.32431525096063357
[6 1 6 1 4],0.7214177187517079,0.01817397887792166,0.2504422614839555
[3 1 2 6 1],0.7198401332561424,0.02391097878761023,0.33722941647804383
[4 1 4 2 1],0.7197681760560302,0.018956830351720626,0.34634596610184065
[6 1 1 4 1],0.7184926490681532,0.01714058346707433,0.2793712355827622
[4 1 6 4 1],0.7184882767666831,0.018685839105343584,0.3099532939157865
[4 1 2 2 1],0.7177813044893122,0.01425145634430481,0.43049751692073557
[6 1 2 5 5],0.7176885428253615,0.015685569025006396,0.339804092070202
[4 1 2 1 5],0.7165187353847295,0.01755228570071217,0.24446017960245747
[5 1 6 6 1],0.7160805094814885,0.023511871011784098,0.39446774522796707
[2 1 1 6 1],0.7158443883502271,0.020569930052576645,0.30743773095067284
[6 1 2 2 5],0.7152412557162279,0.022579341858892904,0.33430437266097335
[4 1 3 5 1],0.714503144654088,0.017512659130664587,0.3617938136814633
[4 1 5 4 1],0.714446532198277,0.012923213555057855,0.319995780638658
[6 1 2 4 5],0.7112398389072417,0.019800339541750773,0.30728873043486477
[4 1 3 3 1],0.7105171024227677,0.013073765595860615,0.2743155999824946
[5 1 2 4 1],0.7104854125682045,0.019129723418646258,0.28482276377357973
[5 1 3 6 5],0.7086800796966245,0.02825334951686329,0.30772623556622775
[1 1 4 6 1],0.708328961031863,0.0313819242610361,0.34962731553700716
[5 1 5 1 1],0.7082404875993376,0.014543073266195439,0.2597996160909041
[5 1 5 6 1],0.7066446461670072,0.01705025301745525,0.3255359520934295
[6 6 2 1 4],0.7063190602703397,0.01820624352295793,0.23297512680416277
[5 1 1 4 1],0.706309788582969,0.023153753691956935,0.3695332048573766
[5 1 3 4 1],0.7055191762239488,0.01621757037384271,0.30332604986526157
[2 1 2 6 1],0.7048470384088116,0.022211848969418274,0.3094603476016642
[6 6 4 1 5],0.7047242886724442,0.014617288220597805,0.22251891362763104
[6 1 6 1 5],0.7039991762115234,0.016141983674821857,0.2904029736571167
[4 1 2 3 1],0.7037727242089857,0.024891687807899632,0.227561228375276
[5 1 2 5 1],0.703465331850204,0.022729548380507246,0.3786949650354621
[6 1 4 1 5],0.7006515070174093,0.02006380149992869,0.2608704678614778
[3 1 3 6 1],0.6977799570709106,0.01201028102226596,0.3021823851224562
[5 1 2 3 1],0.6976198557590464,0.028187543473533087,0.32116534000135016
[6 3 2 1 1],0.6962973683943245,0.03007533385543195,0.33722941647804383
[4 1 2 1 4],0.6960687554944655,0.018940718487186748,0.2279104501345071
[4 1 4 4 1],0.6950800677706728,0.018038517234937747,0.280197777699871
[5 1 4 5 1],0.6922909476698111,0.017741102447690928,0.4014928333855821
[4 5 2 6 1],0.691947681971716,0.02379961105005548,0.2813957519099939
[5 1 3 3 1],0.6919437400401856,0.024121228624692237,0.27510157879005764
[5 2 2 1 1],0.6909028550241009,0.018066751079522936,0.33901841786888365
[4 1 2 6 6],0.6907734264579457,0.012947754460119802,0.34712514712794157
[6 1 2 6 4],0.6907729407593413,0.03114084127471932,0.31595790608390634
[5 1 2 6 5],0.6905668026201953,0.02296945186579504,0.31466251762801367
[1 1 6 1 1],0.689586305278174,0.015590386410629663,0.2738651798746757
[5 1 5 2 1],0.6893440860215054,0.01462510042774142,0.37908780213612137
[5 5 2 6 1],0.6891265603757261,0.026366783733086697,0.3020917304069195
[5 6 6 1 1],0.6890227017093611,0.01895395918925459,0.27439300880006284
[6 2 6 1 1],0.6876891541568698,0.015112072904440742,0.2888296577615532
[4 1 3 4 1],0.6876368621414375,0.01706615784391163,0.3016667155232712
[5 1 2 4 5],0.687103763780112,0.020474970601513147,0.3845868869135235
[6 1 5 6 5],0.6866421114332335,0.021036665937944853,0.3766788953867961
[5 2 3 1 1],0.6848832254896297,0.02127918333973439,0.32426838676464825
[5 4 6 1 1],0.6843768693918245,0.01860744732989517,0.27365431927275996
[4 1 3 6 5],0.6833169318041682,0.016442467802868555,0.29233881908100884
[4 1 1 6 2],0.6827251577306218,0.018780569838134264,0.41958898255532323
[5 1 2 2 1],0.6826795204548263,0.021572898761579203,0.30130605620560114
[2 1 2 1 4],0.6819541111958386,0.013068806446832353,0.23141676475196102
[3 1 2 3 1],0.6816464294057305,0.015448751370343709,0.3137388195805178
[6 4 5 1 5],0.68041938287701,0.018219054325787635,0.2700588610633369
[2 1 2 4 1],0.6800773717877109,0.017374856015309616,0.2769988547788625
[1 1 6 2 1],0.6789887837777621,0.01873905971287178,0.349103633961093
[5 1 6 2 1],0.6786701273019405,0.014907944997055523,0.43408499622840835
[5 1 6 3 1],0.6780438001199852,0.02271079871848477,0.3686908671406691
[5 5 2 1 6],0.6763362995921395,0.023043927383697628,0.32016223703724234
[4 1 6 1 4],0.6760578236869432,0.01606427606617781,0.25416170101094493
[4 1 3 2 1],0.675585437248445,0.027912171754143733,0.3128482304920745
[2 1 2 5 1],0.6752292670868867,0.024306003900028832,0.435263507530386
[5 1 6 1 4],0.6739755093693279,0.013506754548373242,0.25008409323320835
[4 6 5 6 1],0.6736390827517449,0.021893282503830748,0.4534272297439161
[6 1 5 4 2],0.6736360240896774,0.02146174072488851,0.3887754569690173
[1 5 4 6 1],0.6734077255413248,0.018601558310145195,0.38671150519128705
[2 1 2 3 1],0.6726457996892043,0.026425004570522555,0.3013963025665634
[5 1 3 4 5],0.6721091379948205,0.02638996683818216,0.4088819456139748
[5 1 2 6 4],0.6707236414758174,0.016820141881477978,0.27796874004640804
[4 3 3 1 1],0.6692056618491193,0.019812885938070963,0.32177782989148923
[1 1 1 6 1],0.6689015691868759,0.0311000667030371,0.39743234206490685
[6 1 2 6 3],0.6679116263952791,0.03581961047142662,0.31732213097166584
[5 4 5 1 1],0.6677539177339776,0.022602357238136413,0.24129519538795183
[4 1 1 5 6],0.6674105887465809,0.02993985219873722,0.30920940601038854
[4 1 3 1 4],0.6673854115647052,0.01783628323981867,0.2437467061428031
[4 1 5 1 3],0.6668877790109754,0.014814737755100124,0.2719339619102539
[6 1 6 2 4],0.6628841268839035,0.02099226825614949,0.3568649099542025
[6 1 1 1 5],0.6625996863266954,0.020038184629590235,0.2935160223793216
[1 1 4 4 1],0.6621045799857901,0.030972049556376623,0.3202850703796461
[5 1 1 6 6],0.6613389731159799,0.01995921320952349,0.3548875543313616
[5 1 2 3 3],0.660740679222755,0.014806747277295643,0.3064258678756843
[5 1 4 6 2],0.6606016387661928,0.0273348367030239,0.348793651893849
[5 1 3 4 6],0.659786533481317,0.02026726647327687,0.2966552311748224
[6 4 5 3 1],0.6595623381428043,0.01474002036551754,0.2425038794524342
[4 1 6 4 2],0.6592446658150751,0.01445749320493287,0.39387600869399425
