Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 3 5],0.9247059574017371,0.007255735742901929,0.08494590514528466
[6 1 3 1 5],0.922798573386391,0.007889006262155874,0.07962727389314789
[6 1 2 3 6],0.9219329250332631,0.012286673741388622,0.09674940756099723
[6 1 2 1 2],0.921492866335868,0.010308789474276433,0.09991726255896868
[6 1 2 1 4],0.9212893840855996,0.011338670803954332,0.09311213261905503
[6 1 2 1 6],0.9208079402150977,0.01053383569978073,0.09061322596440885
[6 1 3 3 5],0.9206874109054484,0.009841305259655871,0.08792178159035079
[6 1 6 1 2],0.919891822039785,0.009988669352017133,0.09870369256837391
[4 1 2 1 2],0.9195238696579224,0.006705040478730274,0.08220359825364272
[6 1 2 1 5],0.9191945371400321,0.00867827508338711,0.08642416214502248
[6 1 2 1 1],0.9187459534837392,0.012079411392225915,0.09061322596440885
[6 1 4 1 2],0.9168783907833833,0.007747465093668903,0.10518943852361864
[6 1 2 1 3],0.9167510943863819,0.01010383857695418,0.08560132767742554
[6 1 2 3 2],0.9151757873995756,0.011329103214154864,0.10471232176354843
[6 1 3 3 4],0.9138603610957784,0.01094417429268902,0.07762890146132179
[6 1 3 4 5],0.912755333579973,0.007900256283060424,0.09456866496446058
[6 1 3 3 3],0.9122885264694556,0.008538320002346163,0.0777040418886316
[6 1 2 3 3],0.9122440507023372,0.01168651968865066,0.08998093048882869
[6 1 1 3 4],0.9121525807178898,0.006596151373100686,0.07360667858767816
[6 1 1 3 2],0.9121314380897244,0.009256121609273636,0.09157351332933893
[6 1 6 3 2],0.9116830189829063,0.009265508332249792,0.12143444158890598
[6 1 2 6 3],0.911456905044842,0.01116008751916108,0.0939623875901043
[6 1 3 1 2],0.9113469585707467,0.012299113340726444,0.08520318196729795
[6 1 2 6 2],0.9110761177559168,0.009441796897738745,0.1076032058327355
[6 1 3 3 2],0.9107831337538215,0.010886492332098315,0.08400874483691528
[6 1 3 2 5],0.9101090232441698,0.004788893834362598,0.0845580242998724
