Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 6 5],0.8996832499490889,0.0068836261111299875,0.1422508070070298
[6 1 2 6 5],0.8991887282165368,0.008346804678474524,0.15084944665313016
[6 1 2 6 6],0.8959709148861995,0.01429265579647151,0.12216604571987263
[6 1 2 3 5],0.8907917605484623,0.01093141439242369,0.13187948744016795
[6 1 3 6 4],0.8896229666658891,0.00904956766329185,0.11222001817465686
[6 4 6 6 6],0.8878937804011586,0.010956890311245677,0.11116991475112875
[6 1 3 6 6],0.8873681602287959,0.006581962434542646,0.13900389715632988
[6 1 6 1 4],0.8856671858774663,0.008965872253769278,0.13596617826439167
[6 1 3 4 6],0.8856406508742334,0.00909146197975801,0.11181779588729251
[6 1 6 6 1],0.8847360912981455,0.007183839265058036,0.16492433484165553
[6 1 2 3 6],0.8828406055435367,0.009751346653751441,0.09714755327112477
[6 1 6 6 5],0.8824567907102008,0.009810067893443712,0.16765990975303674
[6 1 6 6 3],0.8813840601126663,0.011607161222203127,0.1709488921549895
[6 1 2 6 4],0.8811607225252442,0.01353705480564285,0.14142135623730953
[6 1 4 6 5],0.8794934427486771,0.012121645486270097,0.15939864728442513
[6 6 2 6 1],0.8790349173396663,0.011626816892797409,0.14765101552236262
[6 1 2 6 3],0.8787879480382299,0.008028855576724057,0.1361658328636257
[5 1 2 6 5],0.8787381040662465,0.006204689603229724,0.11235141078852924
[6 4 6 6 5],0.878587570621469,0.009454499307278324,0.14062236552410437
[6 1 6 6 6],0.8784593437945792,0.014794741412227306,0.13516734476319167
[6 4 6 6 1],0.8781893206536591,0.013384536674205898,0.1376192624986092
[6 1 3 6 2],0.8779999136678956,0.00568845228223762,0.13497139573324302
[6 1 1 3 5],0.8777450753760547,0.010964103183842102,0.15261894162853343
[6 3 4 6 1],0.877217199084692,0.011715091433252948,0.16410669324465949
[6 4 6 6 2],0.877190136432738,0.009624998648473902,0.11726674442818227
[6 1 6 3 5],0.8765695776849451,0.011470096387057146,0.13768882777356822
[6 1 3 6 3],0.876132112929179,0.009454430530060575,0.12907504735944916
