Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 6 1],0.9335077758642836,0.010349731517458627,0.06351016284112584
[6 1 2 6 6],0.9317923150922278,0.007148601159960291,0.0691734894639014
[6 1 2 1 5],0.9293084909158325,0.008167514238130036,0.09035253315161441
[6 1 2 3 1],0.9274531013538905,0.0070384988094602235,0.09037907619895624
[6 1 2 1 6],0.9274451443115483,0.010798353287300807,0.08778156265302108
[6 1 2 1 4],0.9272419847587778,0.009574562561379608,0.09739762826260985
[4 1 2 6 1],0.9269114668583555,0.007024260035918181,0.06038652952281811
[6 1 2 6 5],0.926531825485107,0.005776836686651796,0.1029233203727086
[6 1 2 3 5],0.9259126995589962,0.00907577617537011,0.06632762456549623
[6 1 2 3 6],0.9257628964928852,0.007780054151057488,0.08759205622806332
[4 1 2 1 5],0.9256542073419695,0.00869065631408428,0.09176776212491006
[6 1 6 6 4],0.9255331475105208,0.008534764734050395,0.07728168794966941
[6 1 2 1 1],0.924354326725225,0.011286855728378821,0.09546750592678789
[6 1 3 6 1],0.9241407465123845,0.008920110113482824,0.07122870506457897
[6 1 2 3 4],0.9239976312900804,0.006073176704474376,0.06474058797047887
[6 5 2 6 1],0.9237508342602891,0.008724757960587012,0.08799551054765925
[4 1 3 6 1],0.9234160272208273,0.007758819247729203,0.09572890439271806
[6 1 2 6 3],0.923172044648933,0.008471658433940269,0.09515682472048698
[4 1 2 1 1],0.9223925270412698,0.00991228133472241,0.08103482671449139
[4 1 2 3 1],0.9216954811562384,0.008593879446116334,0.06357758339615889
[6 1 2 4 1],0.9210679055219074,0.011336873051913048,0.09311213261905503
[6 1 2 6 4],0.9210674198233029,0.00855453273993941,0.08454114133194536
[6 1 2 1 3],0.9205804310511188,0.008588199060464057,0.07524953921410894
[4 1 2 1 6],0.9204066268717609,0.007130198510467617,0.0740221974795835
[5 1 2 6 1],0.9200872574465455,0.01027123475817755,0.09899494936611666
[6 1 2 5 1],0.9200836732171549,0.008652671278673207,0.10410183167468619
[4 1 2 1 4],0.9194145874718902,0.0069494736738893986,0.08025564568839053
[6 1 4 1 4],0.9179320380390228,0.01090166775431355,0.0847205670036483
[6 1 3 6 2],0.9166396244045625,0.007130513795858437,0.09037907619895624
[6 1 3 6 3],0.9165690462756476,0.013348312288355962,0.09972018709041056
[6 3 2 1 1],0.9163011517718394,0.008086051939980486,0.12860106437120206
[4 1 3 3 1],0.916249828314947,0.006354601862869476,0.07883556832341486
[4 1 2 5 1],0.9144491666975985,0.008415858755638226,0.09786022766017377
[6 5 2 3 1],0.9143883480655536,0.008237067028968927,0.06516398202925947
[6 1 2 2 1],0.9142809586344466,0.012791859350486368,0.10072630921936518
[6 1 2 6 2],0.9141664110972186,0.010626167955319692,0.09304036594559836
[4 1 2 3 4],0.9134696304427369,0.007587480121621517,0.061251574247518925
[6 1 4 5 1],0.9134059360380397,0.006088057499796371,0.12384356054679646
[6 1 4 6 4],0.9132562715199214,0.008348661093641652,0.096292156643171
[6 4 2 3 1],0.91314188668708,0.009433313625565959,0.05659955595023901
[6 6 2 1 5],0.9128619453714004,0.008269563445180978,0.09506657835952473
[6 1 3 6 6],0.9125310847804735,0.010478754467455513,0.08633782432070178
[5 1 3 6 1],0.9124725492462394,0.008812839587290698,0.09621628928755369
[4 1 4 1 4],0.9119616603814833,0.004944929275963376,0.08306748276943078
[6 3 2 6 1],0.9119098946748329,0.010114647378507787,0.10949007028507916
[6 4 2 6 1],0.9115873116096538,0.008723954091030876,0.07480137850568437
[6 6 2 3 1],0.9113474664066548,0.01013480358675269,0.06887920785206798
[6 3 2 1 6],0.9113404836629186,0.012476565074441743,0.0979438446913799
[6 1 2 5 6],0.9111931776047459,0.006832832857862291,0.09035253315161441
[6 3 2 3 1],0.9107812293691662,0.0061382638749459635,0.11267523596609964
[4 1 6 1 5],0.9103538103637805,0.006723431168899012,0.09627838094121918
[6 6 1 3 1],0.9103359693824242,0.00688019636388576,0.07425052891580353
[6 1 5 6 1],0.910139568778417,0.009607587097321567,0.11696168770569938
[4 1 6 3 1],0.9098753242579967,0.008487929635463276,0.1110133513125638
[4 1 2 3 6],0.9098498854160649,0.006065603920039647,0.06512825616191886
[6 6 2 6 1],0.9097066586981424,0.008365265548749437,0.1076032058327355
[6 6 1 3 2],0.9087533136293,0.006920302693843099,0.09077722190908381
[4 1 3 2 1],0.9087524312977834,0.004202587874984142,0.09497870690279833
[4 1 4 1 1],0.9086892659998906,0.008811662373020186,0.08926654864774651
[4 1 3 5 1],0.9085358243926501,0.009342234222774781,0.11811273093071632
[1 1 2 6 1],0.9083322193126623,0.01090429955411533,0.08333180602084027
[6 4 2 1 6],0.9082807969342704,0.009963543865442402,0.077138921583987
[6 5 2 6 6],0.9080791002348289,0.0074889679506771785,0.09349522995688796
[4 1 1 6 4],0.9079987156364432,0.008240495136400171,0.07728168794966943
[4 1 4 1 5],0.9077534064473246,0.008297366435115507,0.09867535308083461
[6 4 2 3 6],0.907656782598648,0.009930696142063444,0.060863906056078936
[2 1 2 6 1],0.9074154458310726,0.009555798344716081,0.0918267959550036
[4 1 4 1 2],0.9071770468553446,0.006401088883560829,0.10402066698446731
[4 1 2 3 5],0.9070329102953583,0.013144700929990826,0.09185176653094176
[1 1 3 6 1],0.9067923790417678,0.006799038105452038,0.08417937871268424
[4 4 2 6 1],0.90673724676889,0.009470012225087188,0.07441178799263393
[6 3 2 1 5],0.9063761386176749,0.01051267455580956,0.10666723248837114
[4 1 3 1 1],0.9056661250489142,0.006536531917898378,0.09331557066853188
[6 1 2 4 6],0.9056338609639175,0.0074577123979015225,0.09350172313210546
[6 3 3 6 1],0.9054488298987075,0.004759490420768789,0.08288431134787372
[4 1 3 4 1],0.9054376867479869,0.007227480636731198,0.09854446040426859
[6 1 1 6 3],0.905323445910243,0.010856332446884677,0.11396592810332636
[6 1 5 4 1],0.9049286755119258,0.00626509832420125,0.1078637462826937
[6 3 2 6 6],0.9046943081751424,0.010357805784791766,0.10710119602431378
[4 6 6 3 6],0.9046428821320565,0.006970267162297598,0.09572890439271803
[4 1 2 6 4],0.9046417001393955,0.013751265439790428,0.07480137850568437
[6 4 6 6 1],0.9043727113734492,0.0101033507283798,0.10083813828726922
[6 1 3 2 6],0.9043626913271783,0.009743857424708633,0.07445324779385383
[4 1 5 1 4],0.9043622977222178,0.0048532402540053966,0.09148443666198836
[6 5 2 3 5],0.9039607285227339,0.007625321977273619,0.10666723248837114
[4 1 2 6 3],0.9037094141775954,0.00866270024770059,0.08063498381951857
[6 3 3 1 4],0.9033895164571462,0.00896684124976232,0.08446668034651592
[6 1 2 4 4],0.9033191428391026,0.008472916632465825,0.10557902903666909
[6 4 2 6 6],0.9033174428939864,0.006700139704279751,0.08142441722754183
[6 1 2 2 6],0.9032965837573166,0.010234549324768319,0.13025651232383773
[6 1 3 2 3],0.9032336451445808,0.01037152561693534,0.07047179069257822
[4 1 6 3 5],0.903096929337773,0.004549828190116126,0.09496106606389818
[6 6 1 1 4],0.9029709788489917,0.010509244320038557,0.07769495900822382
[6 3 2 3 6],0.9028925063733405,0.009065804202477368,0.10869377886482404
[1 1 2 6 6],0.9028385246696601,0.008641551364755468,0.09223131928520187
[6 3 2 4 1],0.9027207666531861,0.012086040901633418,0.12909350774951775
[6 1 2 4 2],0.902547003482459,0.009797566198045535,0.10518943852361864
[6 4 1 3 5],0.9025403872240721,0.006550369521319449,0.07534101109201839
[6 3 2 3 4],0.9025020702139542,0.007008937023609805,0.10815942541175809
[6 3 3 3 1],0.9022740774574516,0.008299738120281085,0.0677751920917509
[6 5 3 1 5],0.9022626576182378,0.0074819886430384135,0.09455738774811312
[4 1 5 1 2],0.9020586652314316,0.0074004049208328225,0.10547580957925347
[5 1 6 6 1],0.9019623592034598,0.012967910975972094,0.10584365655496751
[5 1 2 1 2],0.9014136695093313,0.008924224208298184,0.0923167186549104
[6 1 5 3 1],0.901207833165464,0.01077166003874354,0.10243717006045587
[1 6 2 1 4],0.9010038175910321,0.005034639623148126,0.07090547337517998
[6 3 2 3 2],0.9009787267538114,0.006955724637625791,0.12262887871928867
[3 1 2 1 6],0.9006419045877895,0.00942170641693867,0.09674940756099723
[6 4 3 4 1],0.9000882396386451,0.0097896480686623,0.09733779354217549
[6 3 2 3 5],0.8999003408631348,0.008132829526838813,0.12179458545944924
[6 3 2 3 3],0.899852092791777,0.010282064890689491,0.13895285283451864
[4 1 3 4 4],0.8996335657884167,0.00999314000852938,0.09412001524326061
[5 1 2 6 6],0.8995220615498702,0.007154387718380031,0.08956685895029602
[6 3 2 6 5],0.8991338802549734,0.0063735768230281445,0.1163642536236776
[4 1 2 2 1],0.8991290209773227,0.005881894437694754,0.08960581800160107
[1 1 2 6 4],0.8990191316680347,0.011318660613531801,0.08064523620144097
[3 1 2 4 1],0.8986621844127333,0.0047808573819444426,0.11087310275183807
[3 6 2 1 1],0.8985022649481499,0.007158326033048908,0.08400874483691528
[6 1 3 2 2],0.8983924454330318,0.007710429749698246,0.09754569898125236
[6 3 3 4 1],0.8982695442377313,0.010791273174783471,0.1267000205197739
[4 1 5 1 6],0.8981467137050387,0.005958532257304348,0.09068544594878322
[6 5 1 3 1],0.8978088932186319,0.008576558560958965,0.10948750160307832
[4 1 3 2 5],0.8976919229403982,0.006148488141895488,0.10058147987892385
[4 6 1 3 4],0.897587468675576,0.011935282277691235,0.08527112492124465
[4 1 5 6 6],0.8971274637625584,0.012440899028752114,0.08708998773936008
[4 6 2 6 5],0.8971014206970788,0.006472811677220452,0.09557555308444989
[5 1 6 6 2],0.8969634161413916,0.008507873201243823,0.13827865943203596
[6 1 5 5 1],0.8968013243983968,0.007193417180362368,0.13563998003892894
[4 1 3 4 5],0.8967711185102971,0.009765432296793225,0.09535346716333576
[6 1 5 6 5],0.8966787066520918,0.007420319624582878,0.13475053754687039
[6 2 2 6 1],0.8965457495524258,0.011451218029188168,0.08373632935103853
[4 4 6 1 6],0.8965390501175057,0.007874351995727117,0.10827701734124809
[6 1 2 5 2],0.896524162649858,0.009337413084354118,0.12727922061357858
[6 4 2 6 2],0.8962620635390917,0.012590606005250896,0.0759701500448357
[6 1 2 2 2],0.8960863798522153,0.010227865731642596,0.13591983894661328
[3 1 3 6 2],0.8957975309018149,0.0062464114231590775,0.07604583063436407
[4 1 1 1 6],0.8957236158933158,0.008364591899208818,0.1078637462826937
[1 1 3 4 1],0.8953117670991834,0.006845082424499278,0.09532668210535368
[4 5 2 2 1],0.895271032070079,0.00794316604406926,0.10319113500352955
[4 5 2 3 6],0.8949000336524942,0.009887925259358001,0.09640639958206286
[4 6 4 3 1],0.8948511328622036,0.014198069851004576,0.08406445805915155
[3 6 2 1 2],0.8947840173883016,0.004196989883887574,0.07763841347487431
[4 1 4 4 2],0.8943887240211958,0.005871122562525895,0.10246230493226557
[6 5 3 3 5],0.8941687443928912,0.009573284120402934,0.10243717006045587
[6 3 2 4 6],0.8933980636277852,0.006910697598411019,0.11203610732615803
[5 1 6 6 3],0.8933479737353391,0.010795490127260044,0.12607651699748415
[6 1 4 4 5],0.8932848889229748,0.009200770760797007,0.12064759769397591
[6 3 4 1 6],0.8931490537238165,0.009802834815246094,0.11302446274938559
[6 3 1 3 5],0.8931152959177495,0.01024997253545142,0.12897959469150516
[4 6 1 3 5],0.8931074115180664,0.005715928292263438,0.09496106606389818
[3 1 6 6 6],0.8929861092452779,0.009341496028445015,0.1303701147242597
[1 1 2 5 1],0.8929636633296255,0.008800590281604135,0.10763736558061891
[6 2 2 1 1],0.8928812768511747,0.009045754418793465,0.11205296246491629
[4 1 2 5 4],0.892685173156156,0.010402752668379648,0.1069989259630694
[6 1 2 2 5],0.8925207020145842,0.012824020776462332,0.13945717073401354
[6 2 2 3 1],0.8924201681952526,0.007505499603081685,0.10033271895214527
[6 2 2 1 6],0.8920782645392805,0.009548483413566296,0.10072630921936518
[6 2 3 3 1],0.8918553277065113,0.00981933463539579,0.07644397634449164
[6 3 2 6 4],0.8916435573015965,0.007986399951520706,0.1256044940265578
[1 1 3 2 1],0.8916308642351483,0.009949524950223155,0.09316609616984918
[1 1 3 6 6],0.8915207585134233,0.010906461981479166,0.10533214567125618
[6 6 5 6 6],0.8915176718470288,0.012069256828036093,0.1289691613484898
[5 1 1 6 1],0.8915151371132553,0.012263151206955083,0.10584365655496751
[4 4 4 1 4],0.8913834235120511,0.005989005476667643,0.08678692229642021
[6 4 2 4 5],0.8909606872424929,0.009017509477780641,0.10204879771566762
[6 3 2 2 1],0.8906165889677726,0.010949626846424402,0.16523046970293764
[5 1 6 3 2],0.8904606466770659,0.010366596442060286,0.11326120686037953
[4 4 1 3 6],0.8904155685301944,0.011986846183231937,0.07722667917395742
[1 1 4 1 4],0.8902141061376183,0.005416589250367471,0.09918505405305167
[3 6 2 1 6],0.8900530180688015,0.010663566119453804,0.08998093048882869
[4 6 1 5 1],0.8887625584784109,0.013477589041774969,0.1182506255543605
[1 4 3 1 1],0.88859402250953,0.012173716351451275,0.09532668210535368
[4 1 2 2 5],0.8883749443227794,0.01011235567223671,0.11194905421047117
[3 3 2 6 1],0.8883637019206354,0.011128508581176788,0.13895285283451864
[6 4 1 6 6],0.8877738153795705,0.008450224476741087,0.09091963288196403
[6 1 1 5 3],0.8874817682963746,0.009643787624004974,0.10699914929391745
[4 1 4 2 1],0.8872238196309661,0.0050824914306396496,0.10635821006276998
[5 6 4 3 1],0.8872232087803674,0.008347703974708173,0.08868264847289664
[5 1 3 6 4],0.8872222222222221,0.010850946290993185,0.08593584077683347
[6 5 2 4 6],0.8868649317026094,0.010230198551616257,0.11956463612955084
[1 6 5 4 1],0.8867267428483778,0.0058139323681188305,0.12544154197320675
[6 4 5 6 1],0.8866143876064114,0.009250090914585563,0.1234440651901939
[4 1 3 2 4],0.886489807807114,0.009782956660257462,0.09110202498839841
[4 3 2 1 3],0.8862701484776707,0.009673179696635089,0.12715516679231775
[4 2 2 3 1],0.8859421639994608,0.008799881993335118,0.10118139796583824
[6 3 2 5 6],0.8858529762936429,0.004866710568634805,0.12334610884109826
[5 6 4 6 1],0.8855960324155738,0.014561919963271197,0.11225819520532196
[6 1 4 2 6],0.8855702587316466,0.0071098867520063384,0.15427784316797402
[4 4 4 1 2],0.8855695301837396,0.010719769998120712,0.086878684410248
[4 1 5 3 6],0.8853372795659145,0.007538822976095149,0.09339146166614778
[2 6 2 6 1],0.8853287409469439,0.008783800297539415,0.14036959557879405
[4 1 5 3 2],0.8852424593058366,0.011817035660322472,0.11804090657488797
[5 1 6 1 3],0.8850178051505596,0.010501837259470256,0.12275871391860298
[6 2 1 1 2],0.8849832634776842,0.016490348891616862,0.10922129915352852
[2 1 6 6 5],0.8849641577060933,0.013170522648689613,0.14809958694851577
[4 1 5 6 3],0.8845607349858184,0.00934212375615356,0.11458112103577797
[6 6 3 2 5],0.8845339370654959,0.010330788458959208,0.11791577700532664
[1 3 2 3 1],0.8844221335202169,0.008021542642091923,0.12899921008132964
[5 6 1 3 5],0.8843126166141044,0.006107323531380606,0.11404948083653994
[4 1 3 2 2],0.8839653503957479,0.007818621805799782,0.09148969317983839
[4 4 3 2 1],0.8838577474146397,0.00833592333808003,0.10234440254015821
[4 2 3 1 1],0.883854858744006,0.011285945995601987,0.11707579381487794
[4 4 2 4 5],0.8835263863627928,0.011015340885072859,0.10128723952375965
[6 2 3 3 6],0.8835152655473962,0.014845291309027642,0.0959531161407421
[5 1 3 6 3],0.8829036155188261,0.010256609912563525,0.09497211313297324
[4 1 6 2 2],0.8828125834794476,0.008291029737446765,0.12194183058478755
[1 6 1 3 5],0.882669836919131,0.010977298982948207,0.1119758539122392
[4 1 1 5 4],0.882432062786001,0.00974480839415224,0.11185869984871939
[2 6 2 4 1],0.8821506977060455,0.006929553654235174,0.11298124878462745
[6 2 1 1 3],0.8817167646789968,0.009422895380990032,0.11347152738635476
[4 4 1 4 5],0.8815273410537617,0.00962703754408778,0.11465516734493737
[1 5 4 1 1],0.8805098806145665,0.01127812347742687,0.12464255126000161
[4 5 2 6 4],0.8801844771908988,0.012488956064148144,0.08986386664514014
[5 1 6 4 4],0.8801703862770662,0.00661915912918161,0.1258410373298093
[5 5 1 3 1],0.8801244370539736,0.009300313550272788,0.11736557521754351
