Configuracion,Precision,desvPrecision,errorMetrico
[6 6 6 6 6],0.9273351726956879,0.007934120435625426,0.11978863984361099
[6 6 6 3 6],0.8680355268948242,0.018402262265323942,0.12547931244328556
[6 6 6 6 3],0.8622124758809789,0.011901720944103253,0.17587674121149038
[6 4 6 6 6],0.8602288984263232,0.010839683398863858,0.13251929661722137
[6 6 6 6 5],0.8572052401746724,0.015189282583081444,0.20122179872193602
[6 6 6 4 6],0.8570815450643776,0.01335079014652841,0.1719716062971575
[6 6 3 6 6],0.8566860465116279,0.012666785144473721,0.14862098891848163
[6 3 3 3 3],0.8549382637689991,0.014286333033440455,0.12959338826109817
[6 6 6 6 4],0.8542203147353362,0.014341158885273542,0.16691361787665285
[6 5 6 6 6],0.8519650655021833,0.014902002208764104,0.17960718095640837
[6 6 6 3 2],0.8499915371856064,0.009549733722590393,0.13730728041949689
[6 1 3 6 5],0.8432909996700229,0.020391478474584,0.18936560739900524
[6 6 6 5 6],0.8426491994177583,0.01225563310613784,0.18887058857020597
[6 6 3 3 6],0.8416996716428017,0.014100843083111771,0.13062190721555134
[6 1 2 6 6],0.8398793571077899,0.015461664065813438,0.20355029709181457
[6 1 2 6 5],0.8388849989134896,0.019337496281781576,0.21135187642285977
[6 6 3 3 2],0.8386388832470126,0.014092800165785114,0.14296413466898925
[6 6 5 6 6],0.8377001455604075,0.009941893051836502,0.17291694212422126
[6 4 6 3 6],0.8354202633627839,0.014281381402022047,0.12445079348883238
[2 6 6 6 6],0.835071939505416,0.011288799767909188,0.2047021060618669
[6 1 6 6 5],0.8338681378821902,0.01265883932143452,0.19574871776076946
[6 6 3 3 3],0.8338383517822686,0.018693715186999506,0.14142135623730953
[6 6 6 3 4],0.8333830523678953,0.009811890130559994,0.1547921026452006
[6 6 6 3 5],0.8307494971348633,0.013297637367192866,0.1641404834736643
[6 4 3 3 2],0.8306165583426424,0.012814577963118634,0.1367930209422703
[4 6 6 6 4],0.8304721030042919,0.012210616803073325,0.20434273218838714
[6 4 4 3 6],0.8298862174604785,0.018773377354947975,0.09102392746910468
[6 6 6 3 3],0.8293340188212992,0.018245035948726986,0.14039283728285637
[6 3 3 3 2],0.8286053705020141,0.012951153177324625,0.17073414643922458
[6 1 2 3 5],0.8280512832894706,0.012497574152362665,0.19716718673005035
[6 4 3 3 3],0.8279977404285569,0.009687331665392563,0.1316504261700045
[6 6 3 6 5],0.8272135840925184,0.01179779892381202,0.18758912396990207
[6 6 4 3 6],0.8271224738499035,0.014359269075083222,0.1599346974174664
[6 4 3 3 6],0.826542771063945,0.01088383819364213,0.13010764773832476
[6 4 3 6 5],0.8263056029820011,0.013440584699079019,0.1688302115729119
[6 3 3 3 6],0.8259827443214516,0.011617476223776534,0.13473598303336398
[6 4 3 3 5],0.8255650987700983,0.014997719748669697,0.12297509238026916
[6 3 3 3 5],0.8248613047992667,0.015318580185887457,0.16153507897408237
[6 6 6 4 4],0.8237482117310442,0.010701919433055809,0.20889492176684132
[6 3 3 6 6],0.8235124487999729,0.014342066889047423,0.17330544382535748
[6 3 3 6 5],0.8230861800061691,0.014038672392534268,0.18967344756956767
[6 5 3 3 2],0.8227903258739862,0.016636717545102948,0.18237831497073811
[6 4 6 6 4],0.8226037195994277,0.009702904124642713,0.17804119240176305
[6 1 3 3 3],0.8222340262855028,0.01454177083974422,0.15603158662090316
[6 5 6 6 5],0.8218340611353712,0.012457113767298198,0.22386568400010787
[6 3 3 3 4],0.8217382197623643,0.013432178540573773,0.17587674121149036
[6 1 6 3 6],0.8214296062003525,0.015033644487522117,0.18936560739900524
[6 1 6 6 4],0.8212348391562241,0.014028204014316748,0.2531967110166475
[6 1 4 3 1],0.8210288045971461,0.009546331746448552,0.19078407636828615
[6 5 3 3 3],0.82013719638024,0.016474595451318984,0.1703934542726611
[4 6 6 6 3],0.8199969957008901,0.016435314612656998,0.21444620200348385
[6 6 3 6 3],0.8192920432619072,0.023399403197954086,0.19387582291442065
[6 4 6 3 5],0.8189305372728418,0.009497394244191068,0.12193293058043636
[6 1 6 3 1],0.8188151403208023,0.013586709224442066,0.2120611109075002
[6 6 6 6 1],0.8184175580075814,0.021054094605735103,0.19716718673005035
[6 4 3 6 6],0.8181013252767342,0.014698397788881223,0.19901841768668652
[6 3 3 6 3],0.8171071561558513,0.012028749785917836,0.18924748761938148
[4 1 2 3 6],0.8170280319675495,0.018769369940730325,0.1858194349758029
[6 3 3 6 2],0.8168200551775499,0.009496162855437555,0.2093036072312181
[6 6 6 4 3],0.8167965708676078,0.01653072972342143,0.22267435363910917
[6 3 6 3 6],0.8162418333841103,0.015428071459601263,0.221645834684656
[6 5 6 3 6],0.8160087061920838,0.01472883794117342,0.1766464250716578
[6 6 6 4 5],0.8156942128067696,0.015875359283295042,0.23518762663919376
[6 3 6 6 5],0.8154267728439792,0.012396428227103117,0.24542910386062192
[6 6 5 6 2],0.8142649199417757,0.01972544933506252,0.1996778974529698
[6 6 5 3 6],0.8140910848419287,0.010383830409183907,0.18550480037023648
[4 6 2 6 6],0.8137339055793991,0.012000124163382421,0.18663977271662097
[4 4 4 4 3],0.8133522949409648,0.011298899554974672,0.1489120853807024
[6 1 2 6 3],0.8131974792959413,0.013561133778903292,0.18369173152188145
[6 6 6 3 1],0.8127974825152313,0.015338507622762104,0.22340886266174775
[6 5 4 3 5],0.8127386708720529,0.011438754393852378,0.20686911726680868
[6 5 2 1 5],0.8124019122582515,0.014867118964232592,0.19149331085292662
[6 3 6 6 3],0.8121652956907349,0.015842030182082446,0.27718585822512665
[6 3 6 6 4],0.8121382146846756,0.012978553260774853,0.21444620200348385
[6 6 4 3 4],0.8119907501438679,0.01715219908642541,0.17124840591645116
[6 5 6 3 2],0.8117348955821722,0.01075841840442653,0.2167696543652202
[6 4 6 3 3],0.8114093547950306,0.012811623434688071,0.1265078313977387
[6 3 3 4 3],0.8112610439727836,0.014124200272193462,0.2211315752074294
[6 1 1 6 6],0.8109938753008024,0.01682590687382644,0.20425953157645504
[6 4 3 3 4],0.8109699231576453,0.011050179891682596,0.1398785778056298
[4 1 2 3 5],0.8099125748502993,0.017124852504605347,0.1638848883469321
[6 1 1 6 1],0.8093838278967574,0.023592677787620874,0.21135187642285974
[6 6 3 6 4],0.8090801767035645,0.009318191617033619,0.20673230984508517
[6 4 3 4 3],0.8087873633255475,0.01553894269453167,0.1753624817342638
[6 6 5 3 2],0.8084922300276739,0.013419414810014352,0.19801074196822996
[6 4 6 6 3],0.8074819742053417,0.013031503592783681,0.1594204379402398
[6 3 3 4 6],0.8067543837378558,0.009926681527555808,0.2015897150728194
[6 6 3 4 2],0.8061729883890185,0.015510608474464326,0.20210397455004597
[6 5 5 6 6],0.806113537117904,0.017741658206920047,0.26091931445529815
[6 5 3 3 4],0.8058045624964703,0.015127328829936887,0.12245401148035275
[6 6 5 3 4],0.805664455363388,0.023062344793526222,0.17508318237190862
[6 6 6 1 3],0.8055850657137569,0.019883583573365473,0.1787270901293982
[6 1 5 6 1],0.8055830536575159,0.01954195144977393,0.22979197302351195
[6 1 6 1 1],0.8055717861425663,0.0164380853301416,0.19149331085292662
[4 6 2 6 5],0.8050646958721105,0.019342873398418337,0.2254095852690741
