Configuracion,Precision,desvPrecision,errorMetrico
[6 6 6 6 6],0.9403523400776621,0.008863055400266086,0.08592434081609227
[3 3 3 3 3],0.9282372602015247,0.0077890925156729055,0.0665924601860937
[2 2 2 2 2],0.9265275844624261,0.009422656850144531,0.09425393593619312
[6 6 6 3 6],0.9058640956636538,0.011039449255004042,0.07816744053844017
[6 6 3 6 6],0.9010658914728682,0.013946267910072602,0.1002805980591831
[6 6 6 2 6],0.900301451052524,0.013228159870910436,0.12838107392522022
[6 6 6 5 6],0.8922852983988354,0.007591502073016198,0.1188803977104021
[6 6 3 3 6],0.8895695812599438,0.01213101579451803,0.08331003531070598
[4 3 3 3 3],0.885102757578127,0.015105611277106652,0.10243346479218016
[2 3 3 3 3],0.8844751104997005,0.009733900673139718,0.09407284415533515
[6 6 6 1 6],0.8810263096474074,0.014435660381451531,0.1078036416653513
[6 6 5 6 6],0.8799126637554586,0.010256587499244723,0.10652918755867202
[6 6 3 6 2],0.8786527622626181,0.012259109459677547,0.13010764773832473
[6 6 6 3 5],0.8776352088139333,0.00679034730197596,0.12453833508001833
[6 6 2 6 2],0.8766973227059065,0.012899587280962506,0.14253331829492955
[6 1 2 3 6],0.8740006116650972,0.015812307815628448,0.1581592900748246
[4 6 6 3 6],0.8733977776649402,0.009248372506683051,0.10850874969480839
[6 4 4 3 6],0.8731041180054839,0.015070386966411501,0.07508188367508069
[6 1 2 3 2],0.8717869473887534,0.01611102870144218,0.1645424004365888
[6 6 6 1 2],0.867784162702916,0.020413841233096707,0.11702368996567737
[6 5 3 3 6],0.867757764541817,0.008129798083261005,0.12297509238026914
[6 3 6 3 6],0.8676030770793135,0.012494276334798009,0.14553543205512215
[6 6 6 1 5],0.8675829570788162,0.014511404848781322,0.1333360831124082
[4 2 2 2 2],0.8670316301703161,0.016927470863545915,0.15484090098975495
[6 1 6 3 6],0.8669749136827871,0.012718722487452835,0.1347545520816891
[4 4 6 3 6],0.866704326190718,0.011928521963437242,0.10388041439976918
[6 4 6 3 2],0.8667043261907178,0.016009983270491683,0.08485281374238572
[6 1 2 3 4],0.8659700927960337,0.013796909997601973,0.1141867520271155
[4 6 2 6 6],0.8656652360515021,0.009982577982500447,0.13454249198542323
[2 2 2 3 2],0.8642972919612262,0.010473546623573011,0.14846567347737727
[6 6 6 1 4],0.8635608566530651,0.0162201853355197,0.13546378656632957
[6 6 6 4 4],0.8628040057224606,0.009012875536480678,0.158315037561795
[6 1 6 1 6],0.8627620703253897,0.010648313138161109,0.14326536589737474
[6 1 6 3 4],0.8623620735446795,0.022167222457042907,0.16170546249802695
[4 3 3 3 2],0.8622912394765357,0.009054202483492917,0.13329579090153124
[6 4 6 1 6],0.8621608679205801,0.009029981095027138,0.11347751754247504
[6 4 6 2 6],0.8615164520743921,0.011671575424532846,0.10571195798854681
[6 6 2 3 5],0.8609770137413602,0.011371736224489806,0.12089076878060356
[6 4 3 4 6],0.8601545309908263,0.013293309974955802,0.10593745230867549
[6 6 5 3 6],0.8600877135819202,0.011165049112156216,0.1479869755762561
[6 1 6 1 4],0.8599423747092579,0.014376017141761567,0.13333608311240816
[3 4 3 3 3],0.859694366252248,0.01223175721107149,0.07761478389539642
[6 6 3 1 2],0.8593464036506748,0.01687120616558591,0.11064057960391316
[6 6 2 3 3],0.8590090890626586,0.013341824731408556,0.11210856603539444
[6 3 2 6 5],0.8587637554793837,0.011870430289646143,0.17508318237190862
[4 3 3 3 4],0.8586742838898012,0.012902258945881375,0.12454465322749657
[6 6 2 6 3],0.8585772739582275,0.007577356332055408,0.15530636212242718
[6 5 6 2 6],0.8579330422125182,0.008366875029519605,0.1384364804506414
[6 6 2 1 6],0.8575500398387137,0.013774981804782881,0.1489392417744985
[6 6 3 2 6],0.8572655377272266,0.010611620124390667,0.1290791287838716
[6 1 2 3 3],0.8567444125198186,0.012173170401827381,0.14681153832057706
[6 6 2 6 1],0.856143210115009,0.011658347807243083,0.18652866946044336
[4 6 6 2 6],0.855937052932761,0.014715878092628731,0.16438462366640055
[2 4 2 2 2],0.8558394160583942,0.012241248052006153,0.1187113574254788
[6 4 6 4 5],0.8551476610606812,0.012237070065619823,0.1394657479632856
[4 6 6 1 6],0.8547387948587939,0.011761139252636572,0.1524854141977008
[6 6 6 2 4],0.8546494992846924,0.010300429184549355,0.14617586535258387
[6 1 6 3 5],0.8543383956668356,0.01490361171859985,0.17092551079835303
[6 6 6 2 2],0.8539558553034947,0.010911566377786367,0.17134324433326634
[6 5 6 1 6],0.8539331675398991,0.009806428633405665,0.13262684862776772
[6 6 6 2 5],0.8532751091703057,0.011081727109562902,0.18423888476330713
[6 4 2 3 3],0.8530235520124572,0.010517735486730382,0.09873781962750337
[6 6 6 4 1],0.8529319683543795,0.013640754248919095,0.14468383486665568
[6 2 6 3 6],0.8527597237737382,0.01496762183805514,0.15839191898578667
[6 2 2 2 2],0.8526680972818312,0.008950441724303766,0.15314750157221152
[6 6 2 4 6],0.8523605150214593,0.008767698681570577,0.1456700665105334
[6 6 6 3 1],0.851527150686916,0.010504190814340487,0.14113766244345333
[6 4 2 1 6],0.8513343956990285,0.015193500611382344,0.12056986238887972
[6 5 3 3 4],0.8512227334141393,0.01838807493149106,0.11203239348202487
[4 4 3 3 3],0.8510119373419865,0.009963134512332316,0.11281218589447153
[4 3 3 3 5],0.8510038094812099,0.009314391272402594,0.14180722624068554
[6 5 4 6 4],0.8507774538386783,0.006420984874653903,0.16416816826674574
[6 1 4 6 2],0.8501142847944886,0.012575605756739543,0.15886852455946507
[6 1 4 1 5],0.849715092836275,0.013806959037848532,0.1858194349758029
[4 6 4 3 4],0.8493904657933042,0.009655670290281106,0.12547931244328556
[6 6 3 1 5],0.8489263667898046,0.01469608715243774,0.1446838348666557
[4 1 6 1 4],0.8483167137487827,0.0131695113560649,0.17021627631371256
[4 1 2 6 2],0.8473022349920724,0.021386970036925437,0.137591490020251
[6 6 5 4 6],0.8465553532704411,0.017809172865330247,0.19247302486446055
[4 5 3 3 5],0.8458181438656917,0.01052968343178357,0.13505450118160525
[6 6 1 1 2],0.8457106985054447,0.012516107954745457,0.14681153832057708
[6 6 4 1 1],0.8457098936829484,0.01661537635517708,0.13688225553561054
