Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 3 5],0.8414922213905724,0.016772775525333645,0.1801455590986791
[6 1 2 3 5],0.8384805756090495,0.016690242501634506,0.182982497037241
[6 1 2 6 5],0.8318605081649242,0.020235561775102443,0.2489413041088046
[6 1 3 6 5],0.8306556888878157,0.012315658315543302,0.2156072833307026
[6 1 3 4 5],0.8280500760557258,0.015018648042974377,0.22269962817710728
[6 1 3 3 3],0.8242432656477614,0.024152337427261618,0.19078407636828615
[4 1 2 3 5],0.8241077844311379,0.013017172744793064,0.19991130776802496
[6 1 3 1 5],0.8228364359240571,0.008862106818410227,0.1922025453375671
[4 1 3 6 5],0.8224271836846384,0.015550154319842241,0.21347957987678115
[6 6 3 3 5],0.8210191110473932,0.013739368878012054,0.15423994637525282
[4 1 2 1 5],0.8209081836327344,0.017477668794732882,0.19496650510238478
[6 1 4 3 2],0.8206239788814578,0.019892722283824705,0.2113518764228598
[6 1 6 1 6],0.8196159387047187,0.014329411255049142,0.2120611109075002
[6 4 3 3 6],0.8191225754036763,0.012498791173714266,0.1414213562373095
[4 1 3 3 5],0.819100998003992,0.01535651967352239,0.18366409900949288
[6 1 6 3 5],0.8188187620220362,0.014153430080230482,0.22269962817710728
[6 1 3 3 6],0.818218364439723,0.013472714100252543,0.16099622801338648
[6 6 3 1 5],0.8180252070405872,0.022310822599565874,0.1900748418836457
[4 1 3 2 1],0.8179161676646707,0.016681847294208563,0.19002170243674454
[6 1 2 4 5],0.8148067218774899,0.00885521481070927,0.26170752483233306
[6 4 3 4 5],0.8146604194090736,0.013951457793943132,0.15945075537441677
[6 1 4 6 5],0.8144018961618016,0.022009190439572585,0.2560336489552093
[4 1 2 4 1],0.8141117764471059,0.00866260750362597,0.22534172147703166
[4 1 2 1 4],0.8139093812375251,0.011004942846589627,0.20273690929124788
[6 5 3 3 5],0.8135045898662355,0.018111274758844977,0.1573664317747512
[6 1 3 5 5],0.8132047226984088,0.01804446928981589,0.20709646951501695
[6 1 4 1 5],0.8111978978036394,0.017329565848005084,0.21773498678462397
[6 1 6 6 5],0.8107930720879508,0.010833163583692776,0.251069007562726
[4 4 2 4 1],0.8097097804391217,0.013551264389227526,0.19143450319835603
[6 1 3 1 6],0.8095866431658498,0.015762850838840152,0.17943632461403866
[4 6 1 1 1],0.8089894648735221,0.027071891382143925,0.1808547935833196
[4 1 3 4 5],0.8087181636726546,0.022502086208384016,0.18013209710546416
[6 6 3 1 2],0.8077870600639029,0.014997968503077523,0.160286993528746
[4 1 3 1 5],0.8077141716566866,0.023073966267874245,0.17094889215498954
[6 1 3 2 5],0.807593097842271,0.01963122863701423,0.2085149384842979
[6 1 4 1 2],0.8075786110373357,0.01998454078386453,0.2326289109620738
[4 1 3 3 6],0.8073826367594628,0.013891884863571522,0.18227326255260057
[6 1 2 6 4],0.8071774070228811,0.012176045120004274,0.21347957987678115
[6 1 3 1 1],0.80637540140522,0.013332199174878837,0.19078407636828615
[4 1 1 6 4],0.8063689628252488,0.020658572656630812,0.1900748418836457
[4 4 6 6 1],0.8057758086454033,0.010887076901240631,0.23191967647743336
[6 5 3 6 1],0.8053665564059846,0.020150572930235533,0.2730552765865806
[4 1 1 4 1],0.8053073852295409,0.01727799070588987,0.22322252033461445
[6 1 3 1 3],0.8051790327643239,0.013905008455568085,0.22057192472318585
[4 4 1 4 1],0.805109381237525,0.02503744948746064,0.19214090357916178
[6 1 4 1 6],0.8049738030277422,0.01633049432011295,0.2170257522999835
[6 3 3 1 5],0.8047798408061102,0.012999712751452118,0.21135187642285977
[6 1 3 3 4],0.8047661588236714,0.021563204838536593,0.1758901521908363
[4 1 2 5 1],0.8045205588822355,0.016244968949776964,0.2910369568919656
[6 1 3 6 2],0.8043709909779398,0.015902392759889705,0.21277034539214068
[6 6 3 6 5],0.8040670168258892,0.014892559205139032,0.20843235996655787
[6 1 3 4 2],0.803163354822094,0.018868020172303834,0.18723790394508383
[6 5 2 6 5],0.8029112081513828,0.010358338791649036,0.24084859795873675
[4 4 6 3 6],0.802821502318811,0.012547237839065839,0.14862098891848163
[5 1 3 3 1],0.8027217564870259,0.016018476688248785,0.16105928682370912
[6 1 6 6 2],0.8025601403610434,0.01751704518532197,0.2595798213784117
[4 5 2 1 1],0.8017273453093813,0.01845698617229767,0.23240572528508904
[6 6 6 6 4],0.8017167381974248,0.015687267710297905,0.2200224962919515
[6 1 2 6 3],0.8003633773571238,0.01610898473012901,0.25106900756272604
[4 1 4 1 2],0.8003229540918164,0.017972134757410822,0.2112137138609168
[6 4 3 4 3],0.7996234047594868,0.011485397997547204,0.19181878500551436
[4 1 4 1 6],0.7995617741507111,0.016694149438713782,0.19645795224540988
[6 1 3 1 2],0.7995509090470098,0.013434031198364844,0.18014555909867913
[4 4 2 6 1],0.7991569484350227,0.009308532676160348,0.19716718673005038
[6 3 3 1 6],0.7989609741571497,0.017692915455576334,0.19858565569933131
[6 4 3 1 6],0.798557758086454,0.015822513974016267,0.14752077280521755
[4 6 3 6 1],0.7977561548800411,0.012467353948207706,0.2602890558630521
[4 6 3 4 6],0.7975821739277614,0.010957951454221323,0.21856027782129653
[6 1 3 2 6],0.7971505259515015,0.012521878892039798,0.19362101430684803
[6 4 3 6 5],0.796963693788801,0.015397120103787526,0.17091453517257743
[4 1 4 1 5],0.7969281437125748,0.015140956270284184,0.22746092261944886
[4 1 1 1 1],0.7965213572854293,0.021911526414669442,0.2196905184305857
[6 5 1 3 5],0.7963497275675849,0.01578472842729935,0.22057192472318585
[6 1 1 6 3],0.7959473163193858,0.01838432320669765,0.21489804884606212
[6 5 3 1 5],0.7953509428495545,0.015918233687996677,0.20284106260717413
[6 3 3 1 4],0.7949449099001216,0.013138684017533238,0.18723790394508377
[4 5 3 4 1],0.7947253493013973,0.013075971981568927,0.21545211614575127
[6 1 3 5 1],0.7943384761490853,0.0209841377395896,0.23121044199279292
[4 1 3 3 3],0.7937233532934131,0.017443431139177037,0.2048561104336651
[6 1 5 4 1],0.7935376777651689,0.01307522750282054,0.2829845593715471
[4 1 2 3 3],0.7931293413173653,0.01392198114915023,0.22604812185783738
[6 4 2 6 2],0.7928469241773962,0.014974379522895006,0.1755121981915107
[4 4 4 6 1],0.7925300399996781,0.01803154710321917,0.19787642121469085
[6 1 6 4 3],0.7921368842101874,0.01697332303780757,0.30142465597219936
[4 1 3 1 3],0.7915345309381239,0.01997719323849696,0.21050731348011104
[5 1 2 1 5],0.7913253493013972,0.015647044089065015,0.216158516526557
[5 1 3 3 5],0.7909225548902196,0.017810732600545772,0.18648970053271585
[6 1 2 5 5],0.7907268351964974,0.017483362766743043,0.30000618700291837
[4 4 3 4 6],0.7901617666971328,0.008803351609714386,0.1830763738926625
[6 1 5 1 1],0.7899288536913185,0.012413496119958376,0.24255819374704043
[6 1 1 1 5],0.789928048868822,0.018161977523099327,0.2191534557539049
[6 1 6 5 5],0.7891268480736573,0.013168862839041251,0.3163185801496492
[6 4 2 6 1],0.7891143733249633,0.019983813833953593,0.23404737993135483
[4 1 2 1 3],0.7889301397205589,0.010207316610803152,0.2196905184305857
[4 1 3 6 3],0.7889292641507917,0.011699916456765408,0.19929489018397178
[6 2 3 3 6],0.788449316204597,0.017661759064323292,0.14090709676008295
[4 5 6 6 4],0.7877419464354676,0.014050356585543357,0.31701439389440556
[4 4 1 1 1],0.7865285429141716,0.02669052497441493,0.20626891119527663
[6 4 1 6 5],0.7865067484366323,0.019578472838683535,0.23830278683919762
[6 1 4 1 3],0.7863212368512125,0.016789416468502644,0.26809063519409726
[6 1 3 4 4],0.7855019275498789,0.021667951856291504,0.2106426419382193
[6 1 2 2 5],0.785310379795736,0.016822654718033857,0.2787291524637044
[6 1 3 1 4],0.7853075629169985,0.010145995407344389,0.20567800054573598
[3 1 3 3 5],0.7849265469061877,0.0218495548977749,0.194260104721579
[6 1 3 5 6],0.7847055556896926,0.015331291486743743,0.20284106260717416
[5 4 2 4 1],0.7843265469061876,0.02240004649948189,0.19708570624480198
[6 1 3 2 2],0.7843087781989682,0.01789636491748733,0.16808857285979117
[5 1 3 3 6],0.7843071685539754,0.013420700908784902,0.18156402806796007
[6 1 5 1 5],0.7839095862407546,0.00947488430670866,0.26383522828625444
[6 4 3 5 5],0.7838355468088156,0.013866060120889185,0.16987237337274466
[2 1 3 6 5],0.7831039589218597,0.018030033658366414,0.2617075248323331
[6 1 1 5 1],0.7830971179306404,0.02229203634105092,0.24681360065488323
[4 6 2 6 2],0.7826895565092991,0.016429666895281258,0.19372095650532742
[6 2 3 3 3],0.7821857757015673,0.017734493225982494,0.19079026605106125
[5 1 3 1 5],0.7821361277445111,0.020603865401544963,0.2006177081488307
[6 1 3 2 4],0.7819055782247226,0.02202463128839612,0.19149331085292662
[3 1 4 3 1],0.7817373253493014,0.02025133039981864,0.1787192963438527
[4 1 6 5 6],0.781702360544382,0.012382029087298789,0.30426159391076124
[4 1 1 1 4],0.7813237524950101,0.016800516438496442,0.20838811233769386
[4 1 4 6 3],0.7813011565299273,0.016085432206663555,0.22411809714638822
[5 1 3 6 6],0.7810963292045938,0.01615821102364967,0.22908273853887148
[6 2 2 3 6],0.7798644257134153,0.014074724261088136,0.22164583468465596
[4 1 4 1 3],0.7791389221556887,0.015173766231909313,0.23946972909314646
[4 2 2 6 1],0.7776858938761056,0.009551706872462283,0.22908273853887148
[4 4 3 3 5],0.777461625627148,0.011015441581455334,0.1644770889390264
[4 5 6 6 2],0.7774035503159468,0.02070721771619795,0.28665100227140244
[4 1 1 1 3],0.7769329341317365,0.014422213284201442,0.25077213518603836
[6 1 2 2 6],0.7766802681668559,0.013521185873287541,0.29220460767187323
[6 1 5 1 6],0.7762798689748975,0.015694092587306512,0.2248273316310287
[5 1 3 6 4],0.7760830898745282,0.01335070984421168,0.19078407636828615
[5 1 4 6 4],0.7754794730022294,0.02389568491241952,0.22057192472318585
[4 2 3 4 5],0.7754550619332752,0.015368492821899631,0.20092651705847256
[4 1 3 4 4],0.7753341317365269,0.022939763352275388,0.21827771766897422
[4 1 5 1 2],0.7751441117764472,0.01830975009817379,0.2535977367092613
[4 1 4 4 4],0.774725748502994,0.01677745365731349,0.21827771766897422
[6 3 1 3 2],0.7746782722070646,0.016540888034229387,0.2553244144705688
[4 1 3 4 3],0.7737377245508983,0.02220895332917916,0.216158516526557
[6 6 5 1 6],0.7736798899002825,0.016863686908615186,0.20496876606109551
[5 1 3 6 3],0.7734798915099275,0.01785697391047074,0.22908273853887148
[4 3 3 6 6],0.7732828949595477,0.01575470451490398,0.2447875111598521
[6 1 4 5 2],0.7732710400721121,0.021837244078499574,0.2929138421565137
[3 1 3 3 6],0.7732690280158712,0.01030633381783628,0.21277034539214068
[3 1 3 1 5],0.7727389221556886,0.024122968642045592,0.194260104721579
[2 1 3 3 6],0.7724617910519835,0.022255897593968538,0.21418881436142165
[6 1 5 4 5],0.7722650119516141,0.013863782384010433,0.30780776633396356
[5 6 1 6 1],0.7716718577717684,0.019301440805663646,0.28723996627938997
[4 5 2 1 4],0.7715309381237525,0.01703605601870608,0.24088252985475797
[4 3 1 3 1],0.7713365269461078,0.025525136701203478,0.34048498354836754
[6 5 2 4 5],0.7710035605009316,0.015551393820770028,0.2892241710530129
[4 6 2 4 5],0.7708582122805454,0.016399532447417306,0.29591440988520007
[4 5 4 1 2],0.7707385229540917,0.016355336775733042,0.238056928331535
[6 6 5 6 2],0.7703056768558951,0.013589449801436747,0.26091931445529815
[4 2 6 6 4],0.7698140200286123,0.014749219122265738,0.2984213168097733
[1 4 2 1 1],0.7697317365269462,0.016128882570861803,0.19991130776802496
[4 5 6 3 4],0.7693912616593028,0.009812543075969753,0.2146853307655546
[3 6 1 1 1],0.769063025649693,0.028350760870921997,0.2021318281225337
[2 1 3 1 1],0.768748502994012,0.02179204355214621,0.20132410852963642
[4 6 3 3 3],0.7683357452354356,0.012985371032036393,0.2144462020034839
[5 1 6 3 2],0.7676557935147403,0.015707377277969514,0.2687998696787377
[6 3 5 1 6],0.7670549935211788,0.018416759625809333,0.23404737993135474
[6 1 1 5 2],0.7668473493171081,0.021829607654483357,0.2531967110166474
[5 6 2 3 5],0.7660330348725568,0.010252826517791988,0.1651826452734971
