Configuracion,Precision,desvPrecision,errorMetrico
[6 6 6 6 6],0.9163204577968527,0.014763128921147303,0.11827232794685644
[6 4 3 3 2],0.9035239159134761,0.012736213206714406,0.07353910524340096
[6 6 6 6 5],0.9030567685589521,0.01447136945750985,0.1348340441563868
[4 6 6 6 6],0.9012875536480687,0.008042042530789797,0.1193685267239093
[6 6 3 3 2],0.901201508073525,0.015347830804961542,0.08176725687902622
[6 6 6 3 4],0.9010466385701228,0.008718097257453735,0.08948114903742493
[6 6 3 3 6],0.8996028824345824,0.014794351105087738,0.0719963268117212
[6 6 3 3 4],0.8991532954199247,0.012957073285902308,0.0925667059007844
[6 6 3 6 6],0.8987352323888832,0.01124956955535398,0.11982245819379315
[6 6 6 3 2],0.8984426305812262,0.009365548393890985,0.10182337649086286
[6 5 2 3 6],0.8984214596339403,0.007689165630656589,0.07555673048787723
[6 1 3 3 5],0.8982804967364448,0.011881233945600096,0.10425746924214893
[6 6 6 6 3],0.8981517213364476,0.011103134910961826,0.13782153989672344
[6 6 3 3 3],0.8971281439355472,0.01444459224963183,0.08742411112851861
[6 6 6 3 3],0.8955337497038016,0.010003439907947166,0.07662466210676042
[6 4 3 3 3],0.8955189397786129,0.008593971307684509,0.08896688956019834
[6 3 3 3 5],0.8951781424183578,0.009486749672123698,0.09535780468470023
[6 6 2 3 6],0.8949500270810061,0.011902922618707793,0.06788225099390856
[6 4 3 3 5],0.8948683861830473,0.00847840490104678,0.05679781809088701
[6 5 2 3 2],0.8947369678644197,0.009874098852617502,0.09796320918428218
[6 5 2 3 4],0.8947208935576786,0.01082381162362921,0.09223131928520187
[6 6 2 3 2],0.8940764530652313,0.009172399000446571,0.0802244784473465
[6 6 3 6 2],0.8937849091093735,0.010757822165425687,0.11673690133043366
[6 6 3 3 5],0.893554637437495,0.011290291072831837,0.08389402488653953
[6 6 2 3 4],0.8927524457533599,0.014341991776588734,0.09102392746910468
[6 6 6 3 5],0.8920831867095895,0.006554436051537268,0.09952645188403138
[6 6 3 6 5],0.892078842302362,0.0133634645584385,0.10577942268302813
[6 6 6 1 2],0.8918576108039373,0.014639407418265922,0.10142053130358708
[6 5 2 3 5],0.8911982309573772,0.006220790962794955,0.1281859013794331
[6 6 2 3 3],0.8911650333434888,0.01133597124252673,0.08588133269683887
[6 5 3 6 5],0.8895810253669938,0.01716867380094105,0.11307455528185766
[6 5 3 3 2],0.8895760292986823,0.013187062961346672,0.08858375298578709
[6 5 3 3 3],0.889574508756153,0.010768850703400449,0.07607781138779363
[6 5 3 4 5],0.8888237951872657,0.012803799511149032,0.1078637462826937
[6 6 2 6 5],0.8887918486171762,0.010877171290986568,0.13895111420696352
[6 3 2 6 5],0.8886923768686381,0.014729468695407167,0.1443394092768413
[6 6 4 6 5],0.8886305863580617,0.01461393953717099,0.1626242669977795
[6 6 4 3 6],0.8883843641041265,0.009173761934088157,0.10130911701363628
[6 6 3 6 3],0.8876777191022646,0.009631871200247777,0.11262282551262102
[6 4 6 3 3],0.8876618513252768,0.008176669053208008,0.08073873792457308
[6 6 4 3 2],0.8875137520733896,0.00964301252772128,0.11622264185320709
[6 6 3 4 5],0.8873516927982761,0.010707696856703324,0.11463779798160682
[4 6 3 3 2],0.8872264395247283,0.013615224714402166,0.1131370849898476
[6 6 6 4 5],0.8870292096876181,0.017073697514477803,0.15850719694720278
[4 6 3 3 6],0.8866414474797738,0.01154126126175812,0.09668078171859704
[6 1 6 3 4],0.8864363264681974,0.014782891980474881,0.11560522099639645
[6 5 4 3 2],0.8861704484731581,0.008899694535314402,0.1177642833811052
[6 3 3 6 2],0.885926974374598,0.008969869181277571,0.11776542028488682
[6 5 3 3 4],0.8857277533766904,0.013121980061325929,0.08233078218679035
[6 1 3 3 3],0.8856391497855147,0.01481209122122572,0.10993134511927269
[6 1 3 6 3],0.885437541750167,0.016137988751795836,0.12766220723528443
[6 5 2 3 3],0.884859306371942,0.008085306552652627,0.11932752608085437
[6 1 3 6 2],0.8840363457839373,0.014517892031942356,0.11347751754247504
[6 6 3 3 1],0.8840319192602072,0.01754299613222901,0.10709440718071082
[6 3 2 6 3],0.8838914559425882,0.014573921990163972,0.11725116080766024
[6 6 3 4 2],0.8837338360245083,0.010431645623639022,0.1496495078729348
[6 5 3 3 6],0.8832368874928859,0.011172296223046805,0.09639996648453301
[6 6 5 3 2],0.8829416850217872,0.01249120167527303,0.12036968788068717
[6 3 3 4 5],0.8829236557317935,0.010596307366956041,0.12349617328018551
[6 6 2 6 4],0.8828326180257511,0.008053486663826936,0.1335308943013223
[6 5 6 3 2],0.8826458308896044,0.015688060877064477,0.118806445180938
[6 5 3 6 6],0.8822037874542208,0.013246324452860744,0.1354810339782626
[6 1 6 3 3],0.8820258991879341,0.009395612368477387,0.16808857285979115
[4 4 4 3 4],0.8819081176531915,0.00957496645619358,0.08528601253622048
[6 5 6 3 5],0.8817641334428122,0.013721840214434152,0.15997183627433317
[6 1 3 3 2],0.8816267072297205,0.01012267762455152,0.10638517269607034
