Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 6 1],0.8697809273164804,0.018642062766017913,0.17730862116011725
[6 6 6 3 6],0.8690576233032058,0.017471405147390952,0.13525024251059056
[6 1 2 3 5],0.8683853651077256,0.019913695010180327,0.14823000728985802
[6 5 2 3 6],0.86731354890282,0.012193779662565506,0.11046915078227568
[6 1 2 6 6],0.8663725040442329,0.01657947450684645,0.15390388316698178
[6 6 3 3 4],0.8659803324193494,0.007802929696718891,0.1234222745343792
[6 1 2 6 5],0.8651596365421605,0.02364644205211811,0.16383316595194833
[6 1 3 6 1],0.864764468696429,0.019253343528399948,0.1737624487369149
[6 6 3 3 2],0.8635180765715447,0.015212802944246522,0.12805060982941843
[6 6 3 3 3],0.8624991537185606,0.016960812051607512,0.12959338826109817
[6 3 3 3 3],0.8623533817406317,0.013633953339345523,0.14707821048680192
[6 6 3 3 5],0.8608243078273186,0.011010698956728352,0.12401725418010193
[6 1 2 3 6],0.8597548510675971,0.013075250507670751,0.16596086940586977
[6 6 3 3 6],0.8595928116854541,0.014895558980681173,0.1270220908749653
[6 3 3 3 6],0.8593031718628346,0.010733506291370022,0.1213652366254729
[6 3 3 3 5],0.8589103792233068,0.007965741005261012,0.1344388721784298
[6 6 2 3 6],0.8588715683287635,0.01314873459112781,0.10850874969480839
[6 4 2 3 6],0.8587006194780138,0.011969221446943054,0.08433855426515913
[6 4 3 3 2],0.8576859280322264,0.012468969660613241,0.11159430655816788
[6 1 2 3 1],0.8567419980523295,0.018648840709294744,0.17092551079835303
[6 1 4 6 1],0.8563428060941158,0.016219418207391725,0.19645795224540988
[6 5 3 3 5],0.8559603094955708,0.010995769796700442,0.12974914407918225
[6 5 2 3 5],0.8547829751369574,0.013802228364126173,0.16309832167383154
[6 4 2 3 4],0.8544823296435462,0.008893514923245366,0.09616652224137046
[6 4 4 3 6],0.8543348651027385,0.01247670745841801,0.093080965378011
[6 3 2 3 4],0.8533148843979553,0.014487781505664443,0.1671343300986385
[6 4 3 3 3],0.8531720744050642,0.01103859241616051,0.11622264185320709
[6 4 6 3 6],0.8527372973155953,0.012327381440567931,0.10182337649086284
[6 3 3 3 2],0.852610355099692,0.0068509359498677485,0.1599346974174664
[6 5 2 6 6],0.85254730713246,0.009765573867667845,0.17600474466215377
[6 3 3 3 4],0.851278942825226,0.00971789211019621,0.12547931244328553
[6 3 2 3 2],0.8511600402829966,0.010666362336792728,0.1645630327125056
[6 6 2 3 4],0.8508433194543177,0.0077478940418537695,0.14604969153234873
[6 5 3 3 3],0.850800891472363,0.008659709236563387,0.12505941597993472
[6 1 3 3 3],0.8505287683801337,0.016898566897599932,0.13971919347417236
[6 5 4 3 6],0.8504857047280184,0.010568913818896483,0.15007129917592166
[6 3 2 3 5],0.8502172203613677,0.01102874662160786,0.19748966106831356
[6 6 4 3 6],0.8501153058461123,0.012651399613708108,0.13267894512445766
[6 3 2 3 3],0.8496985122372296,0.010296434448435397,0.18616193075602197
[6 4 6 3 4],0.8495349683490743,0.0074710541258748734,0.10439467387699576
[6 4 3 3 4],0.8493887732304255,0.010848668898837678,0.1110800470809413
[6 6 4 3 2],0.8490976524152872,0.01161071335252918,0.14604969153234873
[6 6 4 3 4],0.8479316881622152,0.007494973687885423,0.15273506473629428
[6 1 2 6 2],0.8477086703527539,0.01390439830175846,0.17305321425227446
[6 6 2 3 5],0.8477068046450402,0.011969071153525987,0.12193293058043636
[6 4 4 3 2],0.8474979689245454,0.008156390365590413,0.10233763596808942
[6 5 6 3 6],0.8471163997028427,0.013891374302461765,0.1459026519765905
[6 1 4 3 4],0.8467086784009787,0.013043340064123426,0.20284106260717413
[6 6 6 3 3],0.8463552774110559,0.012605777483318174,0.170219886961998
[6 4 4 3 5],0.8462084185923253,0.017040529064275608,0.10213185638361334
[6 6 3 3 1],0.8461082808186655,0.011382570479778061,0.11205904857319411
[6 6 6 4 4],0.8459227467811159,0.008632431955104766,0.17500639934946027
[4 1 6 6 5],0.8457090888604517,0.01588387922387378,0.18440096600652192
[6 6 6 4 6],0.8453505007153076,0.00973344131225984,0.16843101440280425
[6 3 2 6 1],0.8453038607335153,0.00891909632917822,0.21489804884606212
[6 6 2 6 2],0.8449411404046596,0.017577229278685776,0.18499005140405744
[6 5 4 3 5],0.8448859810323182,0.013991213900679998,0.1573664317747512
[6 6 3 4 3],0.8445909921803596,0.014414564371997717,0.1856476712787954
[6 6 2 3 1],0.8441042728026333,0.011224741406037238,0.15461311765162222
[6 5 6 3 5],0.8434303873907923,0.013989152805186124,0.16361940257374794
[6 1 3 3 4],0.842897843880532,0.018601219548717598,0.14255613141273427
[6 4 2 3 1],0.842893417356802,0.01119015732708147,0.09574665542646331
[4 1 4 6 1],0.8426966382564325,0.013008714978545945,0.1581592900748246
[6 5 2 3 1],0.8424946278098366,0.018085602371740676,0.1872379039450838
[6 6 3 4 6],0.8422611793778139,0.011479721232571643,0.16610581114418538
[6 5 2 6 2],0.8420669577874819,0.015353000807663018,0.17857791344376422
[6 4 6 3 5],0.8419333046602457,0.013893200944062701,0.09796320918428221
[6 6 3 6 3],0.8418452320503705,0.01227699078901972,0.16970562748477144
[6 3 3 6 3],0.8418429047764124,0.0127576398038298,0.18616193075602197
[6 6 3 1 2],0.8416982559496503,0.01464537699817072,0.12695297275064396
[6 1 3 3 2],0.8410898101423729,0.013266140111604841,0.13617302105097004
[6 4 2 1 5],0.8406914230066558,0.009138404561189696,0.14042842795881283
[6 6 2 3 3],0.8406786330862192,0.008509739596746474,0.1522208052590677
[6 5 6 4 6],0.8405871643729231,0.014614297404683145,0.17137304085525498
[4 1 2 1 1],0.8404998003992017,0.017331643383334476,0.20203050891044216
[6 1 2 6 4],0.8404942414950384,0.013831851645662672,0.17092551079835303
[4 1 2 3 1],0.8402962075848303,0.018160248656239508,0.17942569672465844
[4 6 2 3 6],0.8399303087234691,0.013659905708314586,0.13010764773832476
[6 5 6 3 2],0.8398896955004975,0.017587678493106572,0.1578875126746676
[4 1 2 3 2],0.8396966067864273,0.020457680025973896,0.16741689025096082
[6 3 3 4 6],0.8393459513895941,0.012363569702237977,0.15942043794023983
[6 1 3 4 1],0.8390841924813482,0.020102233037567602,0.15390388316698178
[6 3 2 1 6],0.8388825844460005,0.008919176024436402,0.17021627631371256
[6 4 3 3 1],0.8386866101681274,0.011457372051836116,0.10709440718071082
[6 3 6 6 4],0.8378905588842624,0.010753187285424974,0.2129034235718041
[6 6 4 3 5],0.8375139564082179,0.01806859124045089,0.14381832837692493
[6 6 3 4 1],0.8370805868765643,0.014601983937173697,0.1666701038905102
[6 4 4 3 1],0.8370749531190895,0.01803544641177622,0.10283900027286799
[6 1 2 5 1],0.8364709338355425,0.014352575052469136,0.20922417296893836
[6 3 3 4 3],0.8362915101046005,0.01761342572282542,0.17484822225703722
[6 6 1 3 1],0.8352842230646031,0.023338250799340023,0.15603158662090316
[6 5 3 3 4],0.8350007168271926,0.015427066106572627,0.12974914407918225
[6 3 3 3 1],0.8338713571721759,0.0110082703507068,0.1326268486277677
[6 6 4 1 6],0.8332693499448697,0.012848196699051528,0.17092551079835303
[6 4 3 6 1],0.833264118598643,0.013135076796449926,0.1858194349758029
[4 4 6 3 2],0.832513075048238,0.011891166502302751,0.09770930067305021
[6 1 3 2 5],0.8324725756734352,0.018298542796568902,0.19787642121469087
[6 5 2 4 6],0.8321448729210961,0.00860367532771431,0.1821803497380188
[6 5 6 4 5],0.831999949075076,0.014705861881639455,0.23158519034493918
[4 6 4 6 6],0.8316165951359084,0.01632469190862889,0.18461657734841908
[6 2 3 3 5],0.8313416398399521,0.011159221497925972,0.13339671037859704
[6 1 3 5 1],0.831260110582611,0.013430739164778098,0.1900748418836457
[6 1 6 1 5],0.8312572937038736,0.011651526417549901,0.19929489018397178
[4 3 3 3 3],0.8305866695337139,0.015339343919606773,0.17688950748253138
[6 6 6 4 1],0.8302597162195878,0.018947224881445512,0.20496876606109551
[6 4 2 4 1],0.8302564969296021,0.010929154973100454,0.17730862116011725
[6 3 6 3 5],0.8300144234319948,0.016557943126470322,0.2157274925653874
[6 6 5 3 6],0.8298649758233738,0.014230750757029911,0.15059238007583808
[6 4 6 4 3],0.8290158170001016,0.009862160281580046,0.15530636212242718
[4 5 6 3 6],0.8289598185775542,0.008032105709578427,0.17925182957123978
[6 4 6 6 3],0.8288736417182898,0.009670970453101422,0.17844803859762332
[6 3 2 4 3],0.8288698334518128,0.015361137625159291,0.21701749938961679
[6 2 2 3 5],0.8288338307679608,0.018378737020760566,0.17039345427266106
