Configuracion,Precision,desvPrecision,errorMetrico
[6 6 6 6 6],0.9366319231555282,0.010557458837985255,0.09198958840311056
[6 6 6 6 2],0.9048765583486613,0.013416282819369161,0.13697350800682945
[6 6 6 3 6],0.9009173690802614,0.008287663722567257,0.10182337649086286
[6 6 6 6 4],0.8965665236051501,0.011935995355431262,0.12948450356491858
[6 6 6 6 3],0.8959733929115468,0.01380959143936472,0.13267894512445763
[6 6 6 6 5],0.8933042212518195,0.01255621996402016,0.1265999040552334
[6 6 3 6 6],0.8929157780711552,0.016899793121495938,0.13113616669277792
[6 6 4 6 6],0.8886981402002861,0.009463711249522873,0.12038012440801026
[6 6 2 6 6],0.8878546903740036,0.011600657806669952,0.11372339225659271
[6 6 6 2 6],0.88556734109953,0.011371191537035433,0.13545719611007487
[6 1 3 3 5],0.8820267040104305,0.013047350702771139,0.14752077280521755
[6 6 3 6 2],0.8812730611692224,0.012638644374317765,0.14296413466898927
[6 5 6 6 2],0.8804949053857352,0.013332093787528828,0.1543901268966261
[6 1 2 6 6],0.8802090124023147,0.012510045012910163,0.12695297275064396
[6 6 5 6 6],0.8799126637554584,0.010681595230833955,0.1389511142069635
[6 5 2 3 6],0.8789622080015291,0.010154267166104382,0.10369509908336254
[6 3 3 3 5],0.878816887579774,0.009054979859401777,0.11620104068135602
[6 6 2 3 6],0.8779262296469315,0.014503950829725592,0.0925667059007844
[6 6 3 6 5],0.8767482980784689,0.009970416205286228,0.1349599530783462
[6 3 2 3 6],0.8764750685487966,0.006320273254646463,0.12805060982941843
[6 4 2 3 6],0.8761613097051557,0.017283209201727386,0.07765318106121359
[6 2 6 6 6],0.8761224197833639,0.010952947457597643,0.13747894530574764
[6 5 2 6 6],0.8758369723435224,0.009787246273079623,0.15747792943455866
[6 4 3 6 6],0.8752906976744186,0.008467789076866376,0.13627876146504372
[6 4 3 3 6],0.8747065519109034,0.012719192870240289,0.08948114903742492
[6 4 2 3 2],0.8735446074946684,0.014149197851534305,0.09102392746910468
[6 5 4 6 6],0.8733439851299222,0.010676778753593791,0.15387549314030402
[6 1 3 1 5],0.873000217302074,0.014829485460278315,0.1489392417744985
[2 6 6 6 6],0.872978745146127,0.01076803923000135,0.15971818645814798
[6 3 3 3 6],0.8725457838258691,0.014513342799946915,0.10439467387699576
[6 4 4 3 6],0.8725229342270066,0.0136385070837394,0.06736799151668199
[6 6 2 6 2],0.8721195585530349,0.012925954781071435,0.13242457231656574
[6 6 3 3 5],0.8720320095924512,0.0102233638293318,0.12453833508001833
[6 4 6 3 2],0.8719421735892489,0.01164660729537728,0.07508188367508069
[6 3 2 6 6],0.8712353170170273,0.010557625021297368,0.15582062159965376
[6 5 3 3 5],0.8711466193995161,0.012531502432655032,0.11984860698077077
[6 4 3 3 5],0.8711290245502454,0.010824751665968212,0.07138808328854608
[6 3 3 6 6],0.8707965200907214,0.007895207706422118,0.11622264185320709
[6 5 6 6 3],0.870704793184494,0.009387323631209919,0.17039345427266106
[6 6 4 6 2],0.8703862660944205,0.00837123824797013,0.14314107230028109
[6 5 2 3 5],0.8689385744262126,0.009385504886641308,0.15684535087483478
[6 3 2 3 5],0.8687884751565071,0.012578155211715698,0.1688302115729119
[6 5 4 6 5],0.8685409160545067,0.010504585498561602,0.18115108222537463
[6 1 6 6 3],0.8683749024152725,0.01589776304081663,0.1730532142522744
[6 5 4 3 6],0.8677395180314622,0.008293426462385308,0.1068215844828609
[6 5 3 6 5],0.86717061790504,0.014140600373121733,0.136002114878179
[6 6 3 4 5],0.8670037926675095,0.011629049962149697,0.136002114878179
[6 1 3 3 4],0.8667745128811839,0.009787968794557988,0.12056986238887972
[6 5 2 3 4],0.8661175335931288,0.01132770979112973,0.1177642833811052
[6 1 6 1 2],0.8657753257519054,0.01578843293198636,0.14468383486665568
[6 1 6 1 4],0.8657640582369558,0.010134121725558918,0.15177617971306034
[6 4 2 3 5],0.8656696252079886,0.01780609306158366,0.08545726758628872
[6 4 3 6 5],0.8655264769898471,0.011775374070741227,0.10525834178311173
[6 1 3 6 4],0.8653757313824435,0.02202704648814154,0.1120590485731941
