Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 3 5],0.90054889131225,0.013223104684951399,0.09226059906910192
[6 1 2 3 5],0.8966905116741183,0.016154203008164784,0.09963777371264988
[6 1 2 3 6],0.8963377478063048,0.021213138889229374,0.12554885811315886
[6 1 4 3 5],0.8944852941176471,0.01166084671114243,0.11243517752322862
[6 1 4 3 4],0.8940896078267879,0.012828389758885249,0.11796096349710347
[6 1 2 3 1],0.8930255389448597,0.018042736157697498,0.11904373593112992
[6 4 2 3 6],0.8923747981691775,0.016206749077098008,0.07749115410263535
[6 5 2 3 6],0.8906529789527962,0.013312048598424876,0.09759883360070264
[6 1 2 3 4],0.8897765635671773,0.01876206545200859,0.12114543591113078
[6 1 2 3 2],0.8895203661575127,0.021583429458804693,0.14116115135002835
[6 1 6 3 4],0.8884991939742628,0.010923139356491541,0.11202996533244462
[6 6 2 3 5],0.888276379318427,0.010584312022673254,0.08337913599000424
[6 1 6 3 5],0.8879825517993456,0.016861489093229338,0.12997296073238446
[6 1 6 3 6],0.8875728155339806,0.018016446022157084,0.10572276145895955
[6 1 4 3 1],0.8871911392756886,0.006660564226227951,0.12257396206961589
[6 1 3 3 4],0.8864476500180661,0.012658285552314108,0.07776197593663803
[6 5 2 3 4],0.885169626884743,0.008264212984081315,0.1162713563345172
[6 6 2 3 2],0.8845931667818702,0.01608338377296359,0.10613234989666755
[6 5 2 3 1],0.884507699950323,0.016689156720449714,0.12985051799971148
[6 6 6 3 2],0.8838441083948144,0.010212099646247695,0.10347904114925087
[6 4 2 3 5],0.8835644007155636,0.011753675997452343,0.0872035172508879
[6 6 2 3 6],0.8832805512844025,0.012235992195678036,0.10812233145723009
[4 1 2 3 6],0.883091358506521,0.014457901350636921,0.10201720918832068
[6 6 2 3 4],0.8830618903374745,0.011001499349135607,0.10913337536121145
[6 5 2 1 6],0.8829488859764089,0.010212934424450652,0.13403947225788948
[6 1 3 3 2],0.8828932401689957,0.013942966387817822,0.11383963818550674
[6 1 4 3 6],0.882716306734484,0.012814069135132772,0.13707195758322638
