Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 6 1],0.8634863934982313,0.01537311394052263,0.2214637409478314
[6 1 2 6 5],0.8629794670161642,0.016854553117344285,0.19555517208638953
[6 1 3 6 5],0.8624478371501272,0.021324374475826625,0.1622978421580552
[6 1 2 3 5],0.862134790528233,0.014236998711634797,0.15042089708877465
[6 1 3 3 5],0.8603529625590693,0.016354428565744292,0.12593235055417562
[6 1 2 6 6],0.859029234422269,0.008870575671131746,0.16363344657569734
[4 1 2 6 1],0.8567028985507248,0.014228801062216594,0.13258252147247768
[6 1 3 6 1],0.8566990291262135,0.007901743669660507,0.17162785951129794
[6 1 6 6 2],0.8547472188185777,0.010566254628611067,0.1682335836280262
[6 1 4 3 5],0.854595588235294,0.01401044045021415,0.18067618122229798
[6 1 2 3 1],0.8539821660708482,0.021954276342072695,0.15677344458689785
[4 1 2 6 5],0.8536298875543062,0.01979856988334249,0.1459711049634428
[6 1 2 3 6],0.8526960784313724,0.020400761547245298,0.149617810186666
[6 1 3 6 2],0.8519580760480988,0.016478535845148454,0.17173522560556448
[6 1 3 1 5],0.8504482006543075,0.0100804670782074,0.142094791267011
[6 1 6 6 1],0.850366452081164,0.016081357791448703,0.19291107621656806
[4 1 2 6 6],0.8499999999999999,0.015788955485145605,0.1056817200142938
[6 1 2 3 4],0.8493602627898656,0.013908289764391022,0.14920016843791897
[6 1 4 6 1],0.8480672019030628,0.01834635119055636,0.21864485997215616
[6 1 2 6 4],0.8472826086956522,0.015918337138560654,0.18510313384321764
[6 1 4 3 6],0.8463600294616305,0.011813801462730289,0.1555239518732761
[6 1 2 6 2],0.846193917744872,0.01619351950877294,0.15837614708732153
[6 1 2 6 3],0.8460713221752789,0.02050700136659366,0.1632785667689268
[6 1 3 3 4],0.8457996331193197,0.011123481476734722,0.11598396410888386
[6 1 1 3 5],0.8456873864049437,0.018604764706981858,0.13199326582148888
[4 1 3 6 5],0.8444852941176471,0.013158478064833312,0.15272986542172673
[6 6 2 3 5],0.8442074987778827,0.01753004068305077,0.12603822882209945
[4 1 3 6 1],0.8441101058951054,0.014232581674758068,0.16540894881437412
[6 1 3 6 3],0.8440776699029126,0.009150968285784992,0.15377856212212299
[6 1 3 3 2],0.8433075371032391,0.01569505226567017,0.1645795912053326
[6 1 1 6 5],0.8427678991508778,0.014093230010788165,0.19247501186738072
[6 1 6 3 2],0.8418274699382515,0.019779804287194575,0.22182466640718743
[6 5 2 6 2],0.8404008352159924,0.018837103125236745,0.16810956777515515
[6 1 3 6 4],0.8402001862197392,0.008482355841750928,0.16211394983400812
[6 1 4 6 5],0.8400917368385021,0.01872880085595238,0.2165146573290909
[6 1 4 3 4],0.8398287890158148,0.02199539836027806,0.16474994901830092
[6 1 4 3 1],0.8396453486756164,0.010159520389081479,0.18649694228871663
[6 6 2 3 2],0.839555149600079,0.016187444081930777,0.14991194422904291
[5 1 2 6 1],0.8395328830191214,0.01584789164995325,0.15994081955410006
[6 1 2 1 3],0.8392583414581303,0.015449994474982517,0.18669700662423103
[6 4 6 3 1],0.8390818255093249,0.015154886234363939,0.15420595228112968
[6 5 2 3 5],0.8385405575533547,0.011035990927623458,0.15318492426070546
[6 1 3 4 5],0.8382352941176471,0.015597943702644435,0.16832780912437115
[6 4 3 6 5],0.8381717669610461,0.013758249472743195,0.1673006802067987
[6 1 3 3 6],0.8372815533980582,0.013806903949228112,0.12769112747640568
[6 4 6 3 5],0.8372468679400289,0.013553490066126777,0.11044458966776945
[6 1 4 6 2],0.8369565217391305,0.0171097376132139,0.19086759129854275
[6 1 3 3 1],0.8368932038834952,0.01617605095119111,0.12219903597204412
[6 6 3 1 3],0.8363106796116504,0.012343468019660435,0.12494508172422492
[6 1 4 6 6],0.836217308808745,0.013081102600087458,0.18408700976379103
