Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 6 5],0.9052952246530228,0.01249528937674482,0.1236789333394053
[6 1 2 6 1],0.9040352225291273,0.015846133741404863,0.1307753247733485
[6 1 3 6 5],0.8986434023991275,0.01199019393336179,0.1138105200195491
[6 1 3 6 1],0.8986407766990292,0.01287424035281612,0.11602043302963741
[4 1 2 6 1],0.8983695652173912,0.012029040073213067,0.11785113019775792
[6 1 3 3 5],0.8973129770992367,0.01506279083352574,0.09226059906910192
[6 1 2 3 1],0.8972575425197704,0.012637818380548204,0.11514066262191253
[6 1 2 3 6],0.897256188386957,0.02147499404421786,0.11774271149472411
[6 1 2 3 5],0.8963235635038913,0.008978769237247733,0.09256670590078442
[6 1 2 3 4],0.8951813185026183,0.017311934897000614,0.1268839039279738
[6 1 6 6 2],0.8932476307172574,0.007232892707406983,0.16100479683150942
[6 1 2 1 6],0.8924996365599881,0.012544719678371891,0.12486086284892568
[4 1 2 6 6],0.891485507246377,0.01029425553998213,0.08966933819394625
[6 1 2 6 6],0.8906381314337535,0.012646177829763818,0.12354653797683174
[6 1 6 6 1],0.8904505506642684,0.01203872758822788,0.15011989203762025
[6 1 3 1 5],0.8893129770992367,0.013036998446468344,0.12054487031656383
[6 1 6 6 5],0.8891268306161922,0.007101587515858595,0.17814176630278852
[6 1 2 1 2],0.888413532429233,0.01556583085761197,0.1478615481105699
[6 1 3 4 5],0.8882352941176469,0.01089997579439235,0.11308509184417215
[6 1 1 6 5],0.8881619530555701,0.01235059485896368,0.13855470712439108
[6 1 2 6 3],0.8880504549886254,0.019256503092174602,0.12880141920417332
[6 1 2 6 4],0.8878623188405796,0.010068618283761054,0.13450400729091938
[4 1 3 6 1],0.8877463242446982,0.009199864242784232,0.1436619555439584
[6 1 2 1 5],0.8877060859629667,0.01377632665048787,0.10813812496167899
[6 1 3 6 3],0.8871844660194175,0.008959434559269392,0.12288554741008934
[6 1 2 3 2],0.8867592893510995,0.013503511543583088,0.13270449251339073
[6 1 2 1 4],0.8864130434782608,0.014807497164434394,0.11144617746961892
[6 1 4 3 6],0.8860703465910669,0.004546890921452093,0.11796096349710349
[6 1 3 3 4],0.8858855165513215,0.009818770525946015,0.08369297410129686
[6 1 3 3 3],0.885631067961165,0.008874869811282675,0.11327438727745665
[6 5 6 1 2],0.8855113082636018,0.01560276984075761,0.14634261222358952
[6 1 1 3 5],0.8853126135950564,0.021675106394385923,0.1131370849898476
[6 6 3 1 2],0.8852856543169754,0.01699472921286769,0.11318912596730385
[6 3 2 6 5],0.8851675137781172,0.012103751234506282,0.15059952469512394
[6 1 4 3 5],0.8847426470588236,0.012167118193656547,0.13713192171908228
[6 1 3 3 2],0.8847358763947568,0.013760732066336077,0.10603349156707201
[4 1 3 6 5],0.884375,0.007687692524384738,0.1345322644353082
[6 1 6 1 2],0.8839529120198266,0.01426540521782064,0.14983303541871082
[4 6 6 6 2],0.8839260658391798,0.010234579869596,0.12466896417614062
[6 1 6 3 5],0.8835965103598692,0.014242800011214113,0.14007448617790655
[6 1 6 1 4],0.883226781643374,0.008509516398346637,0.14288341913074037
[6 1 3 3 6],0.8829126213592232,0.017039872178204917,0.09542508988828166
[6 1 3 6 2],0.8825262701765789,0.01146496328839487,0.15742395680510074
[6 1 2 1 1],0.8820841380933592,0.013596481185939856,0.1570618222152276
[6 1 4 6 2],0.8818840579710144,0.0077200274466168554,0.15884282765784763
[6 1 4 1 5],0.8815458341890874,0.010291269152980842,0.1236292152120791
[6 1 6 3 2],0.8814172354024483,0.019092364561281654,0.1340055169497965
[5 1 3 6 1],0.8805485278080697,0.007282698334184367,0.15691036192044341
[6 5 2 6 6],0.8803909084685426,0.01235937916553101,0.10596789875321065
[6 1 2 3 3],0.8801331789621927,0.015500775825850955,0.1209952725857386
[6 1 3 2 5],0.8799552906110282,0.015775359704645494,0.09385235459385086
[6 1 2 4 5],0.8797096217735753,0.012580384238047282,0.18894095404359046
[4 6 6 1 1],0.8794624272545771,0.011794949538348419,0.14221884508827182
[6 4 4 3 6],0.8794304525329194,0.012621156290396425,0.0904828582560985
[6 5 1 6 5],0.8792775367243454,0.010958447298391478,0.13855470712439108
