Configuracion,Precision,desvPrecision,errorMetrico
[4 1 2 6 1],0.8771739130434784,0.013551887108163085,0.12169410183464134
[4 1 6 6 1],0.8644262492389165,0.02221573929963386,0.19206189827341374
[6 1 2 6 1],0.8633022505590053,0.01575927706181815,0.2142349541513146
[6 1 2 3 1],0.8578563400498321,0.01597533935684636,0.15807446902330366
[4 1 2 6 5],0.8577325581395348,0.01327881167301308,0.1339648236028133
[5 1 2 6 1],0.8560241287764224,0.020754777854877386,0.15152288168283165
[4 1 6 6 4],0.8516389844668169,0.020307213896289956,0.20070136082550505
[4 1 6 6 5],0.8504559457794209,0.017237344967283946,0.1968909723747926
[6 1 4 6 1],0.849570253316908,0.012410731311583005,0.18807445401860243
[4 1 4 6 1],0.8473135522421874,0.01672989879151375,0.1369022527485233
[4 1 2 3 1],0.8443194457995903,0.019299925197076524,0.18108054630926917
[6 1 6 6 4],0.8443014315449642,0.01854791392472894,0.20335965699537928
[6 1 6 6 1],0.8436180535832623,0.012782007041746278,0.1844931383452996
[4 1 2 1 1],0.8434782608695652,0.01481082133041282,0.1806196669335203
[4 1 2 3 5],0.8420677361853833,0.01360341107189942,0.16259674647605105
[4 1 6 6 2],0.8405797101449275,0.008985215049012488,0.1786981811150786
[6 1 2 3 4],0.8388951767652127,0.008893329506264433,0.158764281799324
[4 1 3 6 5],0.8373161764705882,0.01115886044910013,0.18977498171550725
[5 1 4 6 1],0.8369470117067159,0.019358353884399354,0.15960597096162593
[4 1 1 6 1],0.836597142573949,0.022586814411388302,0.21731571188721904
[4 1 2 3 4],0.8358340651120434,0.012240205785288064,0.15366342133990799
[6 1 4 3 1],0.835727785652742,0.009995097814148696,0.19045094106515587
[4 1 6 4 1],0.8354650751171715,0.014182265824561674,0.23127176677905878
[4 6 6 3 2],0.8353694338061624,0.013641298393906697,0.16466870246810011
[4 1 6 1 2],0.834963768115942,0.018393703946881595,0.16076431347628936
[6 1 4 3 2],0.8347507073860865,0.011203572554553502,0.17789250852213415
[6 1 3 6 1],0.8339805825242719,0.013626862958852605,0.16270321081671046
[4 1 1 6 5],0.832688437050729,0.01249622465739292,0.18969562122488326
[6 1 4 6 6],0.8313297367713067,0.017912056651140297,0.2126636935899391
[6 1 6 3 1],0.8312621359223302,0.010999618670499846,0.17917948532979505
[6 1 6 1 2],0.8307570628508927,0.01749404637353786,0.1715193958082611
[4 1 6 3 1],0.8303253286639428,0.018602222383445895,0.1739759461633258
[6 1 6 3 2],0.8300465144621384,0.018461811106681717,0.16848266451455
[4 5 2 6 1],0.829312867365193,0.019355789300113717,0.17567085359236836
[4 1 6 6 6],0.8292620675983745,0.026230155398890672,0.21199911954747055
[4 1 6 3 2],0.8291534133411389,0.008621452657553035,0.19319508990038226
[6 6 6 4 1],0.8290755136428641,0.016422277558626686,0.19139732423094521
[6 6 6 4 5],0.8286252354048964,0.00985781719646132,0.19775020151827177
[4 6 2 1 1],0.8286231884057971,0.01321843213547442,0.16909075202287008
[4 1 2 3 2],0.8262689042833445,0.01786903288474704,0.19128226722810127
[4 1 6 1 5],0.825837954405422,0.02181205358697601,0.22632649980623998
[4 1 4 6 5],0.8258365851988773,0.015299197071926278,0.16222246228886567
[4 1 4 3 1],0.8256594124350315,0.012145105924185502,0.18320194330835063
[5 1 3 6 1],0.8251126862958925,0.011907958342288433,0.19260241849462154
[4 1 6 4 2],0.8244565217391304,0.016273118239344114,0.20687997311889028
[4 1 6 6 3],0.8243569165346452,0.015363145780359001,0.17199894677510616
[4 1 4 3 2],0.8239239600611441,0.014070385812488609,0.16641557248844807
[6 4 6 1 1],0.822682766237628,0.01703234977350851,0.1269336421114949
[4 1 6 4 5],0.8225059902786336,0.011244863253086778,0.2256723769744301
[4 1 6 4 4],0.8223015165031222,0.014871318135257746,0.23193634082152736
[5 1 2 3 1],0.821752939228349,0.010483452807392178,0.1510637214353079
[6 6 6 3 5],0.821348688233855,0.011441275008624662,0.1878252387526767
[4 1 2 6 2],0.8206521739130436,0.010438304558614435,0.15435936074815032
[6 6 6 4 2],0.8201898947652456,0.01748280773080926,0.18895139882946313
[6 6 2 6 1],0.8201549985116268,0.018977388895955752,0.2431501013373816
[5 6 3 6 1],0.8197778989458377,0.010806920523985679,0.21078516429656133
[4 1 6 3 4],0.8187661552572335,0.014930417823596883,0.177929944939765
[4 1 6 1 3],0.8185775035437338,0.01731569551703033,0.2161519331120108
[4 6 2 4 1],0.8184782608695652,0.01320849719823057,0.21008244948295976
[5 6 2 6 1],0.8184702759014686,0.02001301939068485,0.19685023945120006
[6 1 6 6 2],0.818296262452147,0.009188353697343053,0.22343522825597228
[4 1 6 5 1],0.8182556308619156,0.016208136657357337,0.28388930900551496
[6 1 3 3 1],0.8174757281553398,0.01811141563706566,0.17711995101565947
[6 1 6 4 2],0.8173913043478261,0.014144363257929825,0.2158469069382849
[4 1 6 3 5],0.8172794117647058,0.01197536579036936,0.21512164023230446
[5 1 2 3 4],0.8167557932263814,0.014432999985737705,0.1178511301977579
[4 1 1 3 1],0.8165165791155953,0.021038233920161457,0.1594779506497153
[4 6 6 4 5],0.816195856873823,0.009000228358077976,0.18976029438622039
[5 5 2 6 1],0.8159034848943106,0.01587556748166441,0.2104484467817106
[4 5 6 6 2],0.8158323841882075,0.017442549347893983,0.22069341690844715
[5 4 6 1 1],0.8156541384267817,0.02081615076135166,0.14914000565266683
[5 1 6 1 1],0.8155332591502804,0.01840061820362929,0.1849671213335467
[4 1 4 3 4],0.8154117679757636,0.016585309711126494,0.1614549500379349
[6 1 4 1 4],0.815151579513756,0.011294544151333814,0.23060719273659025
[5 4 6 1 2],0.8148370815231282,0.010717704919485356,0.1390200999651836
[6 1 2 3 3],0.8144042492687683,0.019391078060339278,0.1645795912053326
[6 1 3 1 2],0.8140311856786914,0.014398539959390732,0.1788908600057963
[4 1 2 4 5],0.81394166879632,0.013748605157992989,0.1807261299547387
[6 1 3 3 2],0.813846685082873,0.014693710834779274,0.18799803106063684
[4 1 5 6 1],0.8136260012322859,0.01270610330478975,0.20801106051556165
[4 3 2 6 1],0.8132835723810453,0.017421585466834227,0.19893355791722528
[4 1 4 6 2],0.8126811594202898,0.01286614558301791,0.15884282765784766
[5 4 6 1 4],0.8123269665228999,0.01360225954927394,0.17072605910239494
[4 6 1 3 4],0.8109289446621641,0.016738000083655072,0.14300295574788519
[4 1 2 6 3],0.8105714378638567,0.02209046327138749,0.1995711654746523
[6 1 3 6 3],0.8104854368932038,0.01474194399697268,0.1922232026526537
