Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 3 5],0.9234230832919359,0.015654405246370278,0.06492525899985574
[6 1 2 6 5],0.9179312430688578,0.009569174468889819,0.10101525445522108
[6 1 2 6 1],0.9164922154610842,0.010333258096711527,0.11368910143612708
[4 1 2 6 1],0.9155797101449276,0.012712177386122337,0.08582636655706283
[6 1 3 3 5],0.9152217375499818,0.010649518790727994,0.07811846344537098
[6 1 2 3 4],0.9144866165804796,0.01628130529955673,0.10839328476259069
[6 1 3 6 5],0.9142668120683387,0.010387471541421507,0.09966838439581813
[6 1 2 3 1],0.9136449192936844,0.01400525243079674,0.11058707709449225
[6 1 2 1 5],0.913169674362335,0.01314454002887774,0.09389238394876319
[6 1 3 4 5],0.9101102941176471,0.006650754601149073,0.10333637703001937
[6 1 3 1 5],0.9091283169756453,0.013747706261692975,0.07879189847507245
[4 1 2 3 6],0.9088893225355319,0.010722963707619652,0.08416419758036456
[4 1 2 6 5],0.9083117173524149,0.010568297305171722,0.08657160770559161
[6 1 3 2 5],0.9079658883921178,0.01371459240898737,0.08870975982158505
[6 1 2 6 2],0.9079337223872125,0.013975567222779274,0.1077746395117043
[6 1 1 6 5],0.9074740670485351,0.011319138376492061,0.11261835800750998
[6 3 2 3 5],0.9072921898333233,0.010944712754568209,0.10858678175442414
[6 1 2 6 4],0.9072463768115944,0.015000175032235115,0.11080568219680499
[6 1 3 3 4],0.9069585730565052,0.010725707951308712,0.06787697899553999
[6 3 2 6 5],0.9067467572037957,0.010344807529133438,0.1234528292565179
[6 1 3 6 3],0.9064077669902912,0.0067151908605011905,0.08512741831760379
[4 1 3 6 1],0.906206745601601,0.00758421462246256,0.09884996941098055
[6 1 4 6 1],0.9061676082862522,0.011327279661909394,0.11762960551693506
[6 6 3 3 2],0.9059847084879177,0.01260951312284403,0.10148905958868835
[6 1 2 6 3],0.9057262891344383,0.015382167673503887,0.09952836938504303
[4 1 3 6 5],0.9056985294117649,0.007670090457729776,0.1117852632022851
[6 1 3 6 1],0.905631067961165,0.01228682875305349,0.11052834152527588
[6 1 3 6 2],0.9053576264760046,0.013314101439095961,0.10928605265808647
[4 6 2 6 1],0.9048913043478259,0.01205084664461056,0.11208667274243281
[6 3 2 6 1],0.9046223323583578,0.01524403743675162,0.1027809304760575
[6 3 2 3 4],0.9046210918213481,0.015637230660884318,0.12269432732917264
[6 1 3 6 4],0.9043424636593569,0.00992309644048696,0.09028297206202891
[6 4 2 3 1],0.9042026864409536,0.009837442330971363,0.06567357841498143
[4 1 2 1 5],0.9034854970610786,0.00868138552463719,0.09541834133973966
[6 1 4 6 5],0.9028335729444787,0.012019870734159614,0.1066220215850206
[6 1 3 3 3],0.9027184466019417,0.010651330603419402,0.08787346406978457
[6 1 1 6 4],0.9025954717301727,0.010522543552469798,0.12294619785668355
[6 6 3 3 5],0.9024641481164384,0.010563527950757644,0.08700727971631347
[5 1 2 6 1],0.9019981853009377,0.01487578778604296,0.09583498499597898
[4 3 2 6 1],0.9018619702735226,0.009651020611683981,0.13517280217452485
[6 1 3 4 6],0.9009929403263015,0.014634463095398316,0.09225997145024852
[6 1 3 3 1],0.9009708737864077,0.015870148925594206,0.0762027696230163
[4 1 4 6 1],0.9003391246477775,0.014096210884077863,0.11497130934706082
[4 6 2 6 2],0.9002694954128441,0.010668015340606813,0.0941510406538562
[6 1 3 3 6],0.9,0.014249040628316358,0.09542508988828165
[4 1 2 3 1],0.899878036881647,0.009088443445671762,0.11476936033686075
[4 1 2 6 2],0.8996376811594203,0.01250393762807058,0.08070240437455163
[6 1 5 6 1],0.8995556484918188,0.011257912902932762,0.11603103552288907
[4 1 3 3 5],0.8992647058823529,0.0068682138574519816,0.11633466344888971
[6 1 3 4 3],0.8987558714805859,0.013642632131604547,0.09225997145024852
[6 3 2 1 2],0.8987271151554544,0.01600454470062488,0.11449015040370963
[6 3 3 6 5],0.8985487249266144,0.014993302074814172,0.113247570424408
[6 1 3 6 6],0.8984466019417475,0.006558969224875548,0.0926790441361009
[4 6 2 6 5],0.8984012535150544,0.01771013018942978,0.10717582602737806
[6 3 2 6 2],0.8981051361988461,0.011001635407846044,0.1406253636130845
[6 1 4 6 2],0.8980072463768117,0.011109962395986928,0.11977261601619961
[6 3 3 3 5],0.8979681384540118,0.01158529899886626,0.10081795903636323
[4 1 2 1 4],0.8978260869565219,0.007072181628964911,0.09223131928520185
[3 1 3 6 5],0.8975067248273355,0.015075169394053822,0.1057292996631314
[4 6 1 3 6],0.8974495539064454,0.01111779278298848,0.07776197593663804
[6 3 3 1 2],0.8972555113205504,0.019210796784025295,0.10798502822168068
[6 6 3 3 6],0.8972500952097098,0.010882455682448368,0.07193354844217167
[6 1 2 5 5],0.8968676277850589,0.010098998932218016,0.13144933752826848
[6 2 2 3 5],0.8966858857169644,0.013004024366071955,0.11052583142861028
[6 4 3 6 5],0.8966163483261449,0.014331144385214135,0.11240514451394287
[6 5 2 6 4],0.8966059213786093,0.008368673694579951,0.11922517924939097
[5 1 3 6 1],0.8963627771719374,0.008761252559495409,0.12458548049477267
[6 1 3 5 5],0.8961690294438387,0.017052936321423552,0.12727922061357855
[6 3 3 6 1],0.8961165048543688,0.011914484626518406,0.11258787583941147
[6 1 2 5 1],0.89558423228148,0.014750941886649193,0.12238386597459479
[6 3 3 6 2],0.8954791998758624,0.011674666176448254,0.1293488014365636
[6 1 3 4 2],0.8953618239177805,0.01497244435714955,0.09946677895861264
[6 3 6 1 2],0.8952304056981909,0.016319849205773968,0.13725807804081097
[6 5 3 6 5],0.8950327177103719,0.008908723667796976,0.11670024025442045
[6 2 3 6 5],0.8944981283189695,0.01006352374261663,0.09113533468674882
[4 6 3 3 1],0.8944634370049196,0.015423703445236617,0.09160097165417531
[4 1 6 1 4],0.8943226710844907,0.012522344194998817,0.10766099487990667
[6 5 3 3 4],0.8938447319778188,0.011614743020669475,0.06404479164166513
[5 1 2 6 5],0.8935705884329737,0.011359442603135332,0.11072825969130004
[6 4 3 6 1],0.8935333805831179,0.013935347612086053,0.1252099612539087
[4 1 4 6 5],0.893390497706579,0.01575967710255866,0.10269728459416094
[6 1 5 3 1],0.8933115230825154,0.008789353084029497,0.11179021493044466
[6 1 2 5 6],0.8932022717343818,0.012757545944267933,0.11526099546813687
