Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 6 1],0.8949208393041335,0.015819861208160535,0.15443317247103966
[6 1 2 3 6],0.8856570252410357,0.014599596601548907,0.13855910247721678
[6 1 3 3 5],0.8822599054889132,0.01870268297112476,0.11515739007895204
[6 1 2 6 6],0.8815258250088263,0.014492604242322321,0.13077532477334847
[6 1 2 3 5],0.8808676933267098,0.012587574768629541,0.12342227453437922
[6 1 2 3 4],0.8787647575373206,0.014620183926786517,0.1364480172893789
[6 1 2 3 1],0.8770068248293793,0.014427509290821585,0.12359732145855017
[6 6 6 1 5],0.8767641501684056,0.011532239344318348,0.14538006215514926
[6 1 6 6 1],0.8767600744737922,0.010641739479367305,0.16344829366712857
[6 6 6 1 2],0.8739095068984375,0.013887077184406241,0.10711747707565729
[4 1 6 6 5],0.8737752447456698,0.013057453402128254,0.1641848307842955
[6 6 6 1 4],0.8730742817495717,0.010588354532954123,0.14088969700333467
[4 1 2 6 5],0.8725674035267058,0.012233603516723469,0.13333291405751702
[6 4 2 3 6],0.8720969722040592,0.01316754289582991,0.08201147142528908
[6 1 2 6 2],0.8720365793718372,0.021607062624500743,0.1623191217036034
[6 1 2 1 1],0.8709272220030044,0.0125565355454355,0.18991994401757642
[4 5 2 6 1],0.8702415026833632,0.01578903017217648,0.1630326626864426
[6 1 2 3 2],0.8694548261293468,0.014680992191255212,0.1340055169497965
[6 1 3 3 2],0.8692706640667318,0.012279902405361316,0.11058707709449225
[6 1 3 3 6],0.8691262135922331,0.013680710643734781,0.09679811276437204
[6 1 2 1 4],0.868840579710145,0.012608487421235727,0.12489657819871088
[6 1 2 3 3],0.8676138825696025,0.01855536043942334,0.13660756582260808
[6 1 4 3 1],0.8668633091525612,0.014618748517776718,0.14234395595181204
[4 6 2 6 1],0.8668478260869564,0.013802635977391621,0.12938004510840817
[6 1 2 6 3],0.8655867457480231,0.01719470788043376,0.1509188346230718
[6 1 3 1 5],0.8654987277353691,0.013168976550603137,0.11650426013835498
[6 3 2 3 1],0.8654032607518145,0.018063916579995863,0.20100827542469474
[6 1 6 1 5],0.8653652270673546,0.012762663660342979,0.14469752665207342
[6 1 2 1 2],0.8651634095518957,0.012593099851316542,0.20634900491875088
[6 1 3 3 1],0.8650485436893204,0.017307714462710178,0.1352427532949028
[6 1 6 3 1],0.8648543689320387,0.012132426681020032,0.14554042486558066
[6 6 6 3 2],0.8645177672135309,0.014135439694702632,0.13996203642623034
[6 4 2 3 5],0.8644240352670586,0.009705473770498558,0.10616080360977657
[6 4 6 1 2],0.8641304347826086,0.013915119108457639,0.09351230983082966
[6 1 3 1 3],0.8636893203883493,0.01413080030963902,0.10366322714482397
[6 4 2 3 4],0.8635103217283391,0.0137413993030289,0.10461305803855774
[6 6 2 3 2],0.8628253325621745,0.014694799039518598,0.12404218394173021
[6 4 6 3 2],0.8627807283257048,0.011969368493056274,0.10138425995094792
[6 1 4 3 6],0.8625795602990634,0.011002204445693848,0.14893395391254405
[6 1 6 3 5],0.8622591784805523,0.016954654801627375,0.18250089304909942
[6 1 4 3 2],0.8616291020262139,0.010313366668234021,0.18618140676868522
[6 1 2 6 4],0.861413043478261,0.011968867144318078,0.15435936074815032
[6 4 6 6 2],0.8609670129519698,0.014656786328538906,0.1162278363933811
[6 1 2 4 1],0.8605072463768118,0.010053939801095374,0.20047502039075127
[6 1 3 4 1],0.8597834848105841,0.011896317266662201,0.13641295778715318
[6 1 1 3 2],0.8593242200194997,0.011760804588168814,0.13725807804081097
[4 5 6 6 2],0.8592675173580947,0.012297050242414977,0.19532635749368307
[3 1 2 6 1],0.8591461515545445,0.009647596710402268,0.1509188346230718
[4 1 2 3 1],0.8589250983835821,0.01149678576434257,0.17534207829242612
[6 6 6 3 5],0.8586828063845401,0.009359413890239886,0.1470837347585299
[6 1 6 4 5],0.8585951940850277,0.016930457275652084,0.15568123397076628
[4 4 6 6 2],0.8584076497571506,0.013454330935979688,0.1162278363933811
[4 6 6 1 5],0.8576740603820087,0.015596798352981592,0.15175649697990662
[6 5 2 1 1],0.8572981147293074,0.013085619414968944,0.16317848796612636
[6 4 6 1 1],0.8572794981804795,0.015834362899975345,0.12427534594162065
[4 1 3 3 1],0.8566076739208983,0.016976790974787187,0.11993796288532307
[6 3 3 1 2],0.8563776270176578,0.0160320721758533,0.13140346807698494
[6 1 2 4 5],0.8561206235624839,0.008291410618916233,0.19020477313418305
