Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 3 5],0.7828175209014903,0.02535522713546398,0.22021325471238196
[6 1 2 3 5],0.7791958933598278,0.015576382501145809,0.2224172239004959
[6 1 4 3 5],0.7733455882352941,0.008098673077908354,0.27101427183344695
[6 1 3 1 5],0.7698644129407488,0.022581580816247206,0.2559053112865601
[6 4 3 1 5],0.7612132352941176,0.016512428801687427,0.22487035504645725
[6 1 4 3 2],0.7562780108628484,0.017594279061841165,0.2582310607579366
[6 1 4 3 6],0.7559208149198143,0.016036521138889336,0.2537149214881834
[6 1 2 3 4],0.7530259862750837,0.023691222678997596,0.24101565670740754
[6 1 3 1 1],0.7524271844660195,0.015947174554894885,0.2636203922093537
[6 1 2 3 6],0.7523511130971726,0.015615449939054178,0.2523987406627235
[6 1 6 3 5],0.7515721555797892,0.019197176971002084,0.28755675768252936
[6 1 3 3 6],0.7514563106796117,0.018985485920901428,0.1935962255287441
[6 4 2 1 6],0.748550724637681,0.00971528092593617,0.20175601093637907
[6 1 2 1 5],0.7483042645427966,0.01395218564383931,0.3011031623184474
[6 1 6 3 6],0.7473786407766991,0.017506983915395926,0.28970782685507096
[6 4 2 1 5],0.7471061206235625,0.018470606565912602,0.2224321599442938
[6 1 3 4 5],0.746875,0.01518186499261469,0.33600570392779877
[6 5 4 3 5],0.7468070103375094,0.017141581237938738,0.23395954497669505
[4 1 4 1 1],0.746715305212183,0.03195518079660621,0.3203246884698458
[6 1 3 6 5],0.7460447110141768,0.025747332386286043,0.27139431696969396
[6 4 3 3 5],0.7458807421099473,0.017750535594292793,0.21762158792524985
[6 1 4 3 4],0.7456676116623587,0.011309284811995552,0.23921692597457295
[6 1 3 2 5],0.7453598277860574,0.01765849977141086,0.3014846185240826
[6 1 3 1 6],0.7448543689320389,0.01314664922703747,0.21693761442228063
[4 1 3 3 5],0.7448529411764706,0.011879040015737887,0.23331924121872297
[6 4 3 1 6],0.7437995080463603,0.011483489186959659,0.1891329414730095
[6 4 3 1 1],0.7437970760721531,0.012576606629671066,0.1976999388219611
[4 1 2 3 5],0.7418894830659537,0.021711786065718514,0.24326489976649499
[6 1 4 1 5],0.741619771342507,0.015356523901028546,0.3650005401499478
[4 6 3 1 6],0.7404465104644375,0.012698253643230174,0.2332859278099141
[6 1 2 1 6],0.7392553287228373,0.01327949343487374,0.29178012160485794
[6 1 2 6 5],0.738964949423665,0.017565159927186727,0.31923410542579483
[6 1 3 3 3],0.7376699029126214,0.011033842831204165,0.2286083088690489
[6 3 3 1 5],0.7374758269720101,0.016525771527835915,0.31651446395969274
