Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 6 1],0.7295847092133774,0.019370334754535975,0.3673538017502603
[4 1 2 1 1],0.7237318840579711,0.01301955333973256,0.3215286269525787
[4 1 4 6 1],0.7211379437293799,0.01972239203664892,0.2704816352847038
[6 5 2 3 6],0.7132909442781472,0.023507112287279804,0.2572472567753619
[6 6 2 1 1],0.7130395353505985,0.015403633404166448,0.26155064954669693
[6 1 4 6 1],0.7106077340243264,0.0226969711230487,0.3867820927167018
[4 1 6 1 1],0.7100558599889555,0.028920519913416657,0.3050394854930689
[6 1 4 6 5],0.7084942151023482,0.01838887688220649,0.3669629086453776
[4 1 2 1 5],0.7049268464094045,0.018199236389229427,0.3020527626516262
[6 1 2 2 1],0.7046676081493636,0.015844933751879463,0.4258412585584413
[4 1 3 6 1],0.70259248450485,0.015983849576470956,0.3532238906952372
[6 1 3 6 1],0.7013592233009709,0.0234429332392801,0.3446287418986863
[4 5 2 1 1],0.7008181063122924,0.024094878852470573,0.334280149461737
[5 1 3 6 1],0.7007051981097783,0.013660274679053886,0.35153308550416934
[6 1 6 6 1],0.7001384549843794,0.023986824325967153,0.37319524562623346
[6 1 4 1 1],0.6993316624895572,0.02377709564984383,0.3555471127206794
[4 5 4 6 1],0.6970236872732251,0.01608640668586288,0.33556501271850037
[6 1 4 6 6],0.6938695609079195,0.01780533253388196,0.35554711272067946
[5 1 2 6 1],0.6931696743623349,0.025206774796213145,0.3257094422498475
[6 4 2 1 1],0.6931159420289855,0.013682034484419733,0.2658055382177692
[6 5 4 6 1],0.6896159375641816,0.014433236892732544,0.3977066817404449
[6 5 4 1 2],0.6893671735241502,0.017934857185982332,0.2748806522038858
[4 1 4 3 1],0.6891718085549905,0.013055383250339767,0.2741439151664527
[5 1 4 6 1],0.6885185185185185,0.01945732679266044,0.3656546629817577
[6 5 4 4 1],0.6875823235435066,0.019857930459324814,0.3643464173181378
[4 1 2 4 1],0.6856884057971013,0.01856773591624033,0.3618798291398545
[4 1 2 5 1],0.6852619473549707,0.017855699579641164,0.386728641721329
[4 4 6 1 1],0.684860456225309,0.026549615903476584,0.25519643230792693
[4 1 2 2 1],0.6846014492753623,0.01912841035621421,0.3625203244126684
[6 5 2 6 1],0.6843730886850153,0.017496197936776568,0.3561435253228949
[5 1 2 1 1],0.6840074604294788,0.01246968355879486,0.3677991316061896
[6 4 3 1 1],0.6822702131799105,0.017820822435687122,0.3031399061936737
[6 4 4 1 2],0.6809782608695654,0.020582931213529675,0.29270633967595316
[4 4 2 1 1],0.6802536231884058,0.016979770077726615,0.26388405239932755
[6 5 4 2 1],0.6802494888832098,0.010637725162332695,0.3993668326272548
[6 1 4 4 1],0.6799633263950838,0.01526313211596362,0.37747805612214197
[6 4 6 1 1],0.6799619104257819,0.01393365207235138,0.3050394854930689
[6 1 4 3 1],0.6777929486644987,0.01668771114753263,0.30709390497011296
[6 1 1 6 1],0.6777174256050996,0.022905839718013753,0.36618029740017644
[6 4 3 6 1],0.6770466800077823,0.017917261985969143,0.3189559012994306
[6 5 6 6 2],0.6763510645580886,0.017939397290081597,0.41209738404026364
[6 1 3 1 4],0.6761086328135858,0.013980279193505536,0.22076493168452324
[6 1 4 1 2],0.6759057971014493,0.022000989313456953,0.30359475931378943
[6 1 5 6 1],0.6754930808122298,0.01417103167939137,0.4190767988885523
[6 1 4 3 4],0.6748155173851413,0.018174040186730623,0.2945729088447221
[4 1 5 3 1],0.6744485294117647,0.008115345608325062,0.3444545901000645
[6 4 4 1 1],0.67338225507271,0.021108218727435343,0.3289641510219371
[6 6 3 1 5],0.6732693565976008,0.022144644542774546,0.282842712474619
[6 1 2 6 2],0.6726772721923394,0.018391813039029713,0.33186703020372355
[6 5 4 6 2],0.6715066633205279,0.022877360166802085,0.3728957733970314
[4 1 3 1 5],0.6713235294117647,0.012048507064833788,0.35875270516082197
[4 4 3 6 1],0.6707099974985409,0.018117072251466335,0.36113188824811565
[5 4 2 1 1],0.6700699591106568,0.019020920740998884,0.2811997476568487
[4 4 4 6 1],0.6688582331535052,0.021686386315008677,0.37149688973992495
[5 1 3 3 1],0.6686972010178118,0.021157346810132458,0.2996785882171559
[5 1 5 6 1],0.6679596424277274,0.016496336629645454,0.40883876634241506
[4 1 4 5 1],0.6668563017731224,0.01752454927732378,0.4631189649214391
[6 5 4 4 6],0.6668549905838042,0.020220938043133647,0.3528875649989362
[6 4 4 4 1],0.666608965917619,0.014768325295845467,0.3522242425083367
[4 1 4 1 5],0.6655569247621004,0.017387003684717642,0.3754665054589068
[5 1 1 6 1],0.6654526037504761,0.018518710999475427,0.3651564941455627
[6 1 3 6 4],0.6649316267822897,0.018543831315709327,0.3024809063976005
[6 3 3 1 4],0.6636194029850746,0.012928718295706005,0.2570099204685494
[5 5 4 6 1],0.6627880468268639,0.016735188288122337,0.4062102785539741
[6 4 2 3 1],0.6624564998211208,0.017593447421512896,0.2799097177104548
[6 3 3 3 2],0.6624123629900267,0.010882483230792874,0.3177337225031485
[6 3 2 1 1],0.6621242281442964,0.01756412219175912,0.37794759877588235
[4 1 4 4 1],0.6620962717528284,0.022019947729120783,0.38744666675917033
[6 1 4 4 5],0.6620442253713973,0.016436178810833358,0.4127515068720736
[4 1 4 1 3],0.6610158008838489,0.022182748363670145,0.33806689538555346
[5 1 2 3 1],0.6600483523762212,0.024483788918540885,0.3175552271874132
[5 1 4 6 5],0.659447182857534,0.015148743553086607,0.42190922651741275
[4 3 6 6 6],0.6591466131907308,0.023485962604762167,0.47587281008762916
[4 4 3 1 1],0.6591442230189833,0.014184620353937824,0.30907090435833257
[4 3 2 1 1],0.6588535466874818,0.013636739330704471,0.35323458681456027
[4 6 6 4 2],0.658767539125742,0.01977037269413538,0.32271080831011395
[4 3 3 1 5],0.6586397058823529,0.013307858674807565,0.3977475644174331
[4 6 4 6 1],0.6579524375911531,0.015225224077958453,0.40339644377841577
[6 5 4 4 2],0.6578666435010907,0.021053042608238714,0.3811400677068297
[4 5 3 1 1],0.6577205882352941,0.017415763650480896,0.33795544689062934
[4 4 4 3 1],0.6576586342032853,0.02023890742293157,0.3044579057858201
[4 3 2 6 1],0.6574072267213061,0.020857212556600103,0.38128931934134846
[6 1 4 6 2],0.6572463768115944,0.02284046016300652,0.3638013149582962
[4 6 1 4 1],0.6570168358749982,0.01201833045939625,0.445264608453935
[2 1 4 6 1],0.6567028985507246,0.013921014096694292,0.3221691222253926
[6 4 3 1 4],0.6563450207065233,0.014251136483181263,0.2846879119036241
[2 5 4 1 1],0.6559439688218758,0.012085225273046812,0.3254334158275889
[3 1 2 1 4],0.6554236185644128,0.020386071015639873,0.28564818572729783
[5 1 2 4 1],0.655239266547406,0.020791219240625842,0.34628643082236643
[6 4 2 6 1],0.655072463768116,0.02522218012167697,0.35291289532045994
[1 1 3 6 1],0.6539805825242718,0.026888822327167005,0.33021200169973725
[6 5 5 1 4],0.6527835969055932,0.017597137104665712,0.2766939578556056
[6 4 4 6 1],0.6521239539526784,0.014385755853273119,0.4027318697359472
[4 1 1 1 1],0.6519434178667006,0.029844080206568806,0.35886998293302225
[6 1 4 5 1],0.6513072499486547,0.012977342453197737,0.4748931758940181
[6 3 3 6 1],0.6504854368932038,0.015941262719824306,0.3590454820976353
[4 1 1 6 3],0.6503884210233748,0.019191129230303618,0.32488689946408944
[6 5 3 6 1],0.6492740821519447,0.02291943882307108,0.37981735675163125
[3 1 2 3 1],0.6486854755714442,0.017828824155894703,0.3759960621212737
[4 5 1 6 6],0.6479752858218661,0.023981674435330676,0.5291853709342433
[6 4 3 5 1],0.6476102941176471,0.013781861873328366,0.3282067320764766
[4 2 3 6 1],0.6467671642761896,0.02018068919470805,0.36726195307795434
[4 1 5 5 1],0.6464951735469295,0.013123335863142377,0.4598483507623894
[1 1 2 3 1],0.6446366184595385,0.019271868583201728,0.37859811099408525
[5 1 3 6 2],0.6445987746315616,0.018066453846675674,0.3156267541478135
[6 6 2 2 1],0.6444120232878514,0.017568181753378133,0.38969732457585754
[4 3 3 1 2],0.6442456174586139,0.018906518286154913,0.3672619530779544
[6 5 4 1 3],0.6441176470588236,0.01973343661811712,0.38214962071478853
[4 5 4 6 2],0.6435065603624126,0.024626282699899225,0.34689453749689825
[5 1 3 6 4],0.643014705882353,0.022435509268224074,0.3542033049142173
[4 5 6 6 5],0.6427495291902072,0.018452861145399537,0.4234650779987234
[4 1 4 3 3],0.6423736763111816,0.030171669660169716,0.3387258951816267
[2 5 4 3 2],0.6422834142601583,0.01615182679893153,0.3083718581045891
[4 6 6 6 5],0.6421845574387948,0.013761827424817406,0.3488926114329105
[4 2 3 1 5],0.6415329768270944,0.018532324546698873,0.38821548771026143
[5 1 6 4 6],0.6414934620387486,0.018793495339883115,0.4212551036856028
[6 5 5 4 6],0.6414312617702448,0.027500450977433977,0.38684467031015457
[6 2 3 6 1],0.6411280603401581,0.018199865938147854,0.3343632801562883
[6 4 4 1 3],0.6405041829956362,0.01723645846699002,0.30643490517403976
[6 6 6 4 4],0.6401221926411358,0.013483098689298074,0.37730722111998843
[4 5 2 4 2],0.6397408672934242,0.024056291752369077,0.34879706695300555
[3 6 2 3 1],0.6396639042357275,0.014961414403596704,0.29793459593692617
[5 1 4 3 1],0.6393382352941177,0.017780591601976103,0.33535578960685525
[6 6 2 5 1],0.6382091608697114,0.01679652217444758,0.3846350073487264
[6 3 4 6 1],0.6380795047110814,0.021499470571883134,0.3868328802949706
[4 5 2 4 4],0.6379461786451999,0.018455464931078514,0.326600889965087
[1 4 3 6 1],0.6378898107229217,0.011592440502864778,0.3552008900834568
[2 6 4 6 1],0.6378623188405796,0.02274903604643059,0.3766112204145743
[4 1 1 3 3],0.6375145918452431,0.016795296468999094,0.3749708839656529
[5 1 3 1 3],0.6374561977462742,0.014890813206550857,0.3286362944943193
[4 1 2 5 5],0.6373629568106314,0.016131197988814468,0.38925627990251416
[5 4 4 3 1],0.6367647058823529,0.01905390958801462,0.23201941257683592
[4 1 1 3 2],0.6366582105571276,0.01817056673031401,0.32900549963233416
[6 5 4 4 4],0.6361581920903955,0.01692402405925498,0.3395710531121839
[4 1 1 1 3],0.6358448678395732,0.01952796482637226,0.3479518923266516
[1 1 2 6 1],0.6356700795414426,0.021370345254556024,0.376554075854918
[6 5 4 6 4],0.6355932203389831,0.017285837806672137,0.4214676012157106
[6 1 1 1 3],0.6355339805825243,0.017017730962800362,0.35080734484109305
[4 5 5 6 6],0.6352165725047081,0.010820024423520314,0.41347769408365914
[4 3 5 6 6],0.6351129595399466,0.027910276638338748,0.3836152315679329
[6 3 2 1 2],0.6350591756039432,0.008772418965214714,0.3675394032846361
[3 1 2 4 1],0.6348551078153968,0.024913086065008676,0.4252842408038118
[2 4 2 1 1],0.6347826086956521,0.014810821330412824,0.3125616931331841
[5 1 6 1 3],0.6336484914576517,0.0196882818592745,0.39328605734566074
[3 1 4 3 1],0.633416367881264,0.02206834863583191,0.35256489089916393
[5 5 3 6 1],0.6332635405307161,0.015241123745543662,0.4235906336822271
[5 2 3 6 1],0.6331402550091075,0.01827265875719715,0.302770267217149
[6 1 1 4 4],0.6329457117369695,0.015156552408947137,0.35155966846586817
[5 6 3 4 2],0.6326201124456938,0.022389296201313316,0.35829271218299596
[4 6 3 2 1],0.6312489023319349,0.01981058991259112,0.38830300247304556
[4 1 1 3 4],0.631182773284416,0.030086818517943457,0.31104790374655217
[6 1 4 2 4],0.631159420289855,0.021468728937718177,0.3830161731427133
[6 1 1 1 2],0.6310253161928101,0.024493117203143393,0.2911229591688109
