Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 3 5],0.6975260804769001,0.015625568389436028,0.28927095593995134
[4 1 6 1 1],0.6948108265012815,0.015330246797526563,0.33029329910687416
[4 1 2 6 1],0.6909420289855074,0.018812688385140823,0.2984707971312783
[4 1 6 3 1],0.678163303593763,0.012071277709762027,0.32159190048372344
[6 1 2 1 5],0.6777840508115738,0.01502796276228619,0.3425453179923843
[4 1 2 3 1],0.6776124499951214,0.015222974321322117,0.4367611768374978
[6 1 2 1 6],0.677336573141437,0.018419139945521773,0.32792405558744164
[4 1 5 6 1],0.6748148148148149,0.023321291086729548,0.38593247076786596
[6 6 2 1 1],0.6737987442282265,0.019666003810497882,0.2484074008257574
[6 1 2 3 2],0.6705953444913877,0.014911467064131158,0.3194014991376218
[6 1 2 3 6],0.6695008666450006,0.033196742013982775,0.36688889106643313
[6 1 2 6 1],0.6678511349712364,0.03454822026425703,0.38904016213981063
[6 1 4 4 1],0.6654825623380486,0.028622825790433976,0.4206753688825983
[5 1 2 1 6],0.6651389589004268,0.017431905456565235,0.31923410542579483
[6 5 4 3 1],0.6643382352941176,0.014028517667896246,0.31715818862043677
[6 1 2 3 4],0.663717761082382,0.021846026063081874,0.31944138627092905
[6 1 2 4 1],0.6626811594202898,0.023026495428167607,0.39966905023587473
[6 1 2 3 1],0.6612057875636442,0.023732155293463814,0.36233530553901283
[6 6 4 4 1],0.6607854381717004,0.024662204188823564,0.3701677416549878
[6 6 6 4 1],0.6602123245968028,0.020130612704822987,0.41801707271272404
[6 1 2 1 4],0.6586956521739131,0.022440380532176837,0.2946278254943948
[6 1 4 1 6],0.6568299279271627,0.020216174228147858,0.350230520380931
[6 5 4 4 1],0.6566752242075717,0.02278360726566669,0.38527834793605603
[4 1 5 3 1],0.6564338235294118,0.020739498165807918,0.3542033049142173
[6 5 4 3 2],0.6557005494505496,0.024823124041071124,0.32859296355407036
[4 1 2 3 6],0.6554171138647672,0.02153920717886792,0.3742756362096514
[5 1 2 3 5],0.6546034111607882,0.013595862531678935,0.34326820104874217
[4 5 2 4 1],0.6538122923588041,0.023178570276751416,0.3728266317248106
[4 1 2 5 1],0.6529159212880143,0.025737219501356802,0.41516457125966194
[5 6 2 1 1],0.6526854185569781,0.027293195524734495,0.2583659392797001
[6 1 5 1 6],0.6525148801744546,0.02412706036954809,0.3166964734271796
