Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 6 5],0.9065759317135462,0.012532064082319348,0.1431049438115632
[6 1 2 6 1],0.903665898250642,0.013794147649091966,0.13274681208148942
[6 1 2 1 5],0.9005299593372987,0.0076594824662214595,0.12108879860978425
[6 1 3 6 5],0.8997891675754272,0.011254822042266572,0.1360338759996977
[6 1 3 6 1],0.8972815533980583,0.010031527264535526,0.10709578433504993
[6 1 3 3 5],0.8969316612141041,0.01770036898846516,0.09495433918790781
[6 1 2 1 6],0.8956608723944812,0.013490928132731884,0.12880383746520754
[4 1 2 6 6],0.8954710144927536,0.01705305883983871,0.06789249891827359
[6 1 4 6 1],0.8950720728374609,0.01074200336533786,0.1634852144472657
[6 1 2 6 6],0.8941724990135201,0.013059886924157802,0.10974612681984522
[6 4 2 3 2],0.8929272474946289,0.01166891914695788,0.10396729842103576
[6 1 2 6 2],0.8926872408326583,0.012926353250481316,0.12617518772101965
[6 5 2 6 1],0.8902742211916523,0.010990659741095971,0.12756413543383688
[6 6 6 3 2],0.8894761528586947,0.015185226381740724,0.10878565864408424
[6 1 2 6 4],0.8887681159420291,0.016488493120264864,0.12105360656182743
[6 5 4 6 1],0.8885811597179434,0.009673664376724483,0.14063640883913758
[6 6 2 3 5],0.8866293669767161,0.01090150535345494,0.09372073425233034
[6 1 3 1 3],0.8866019417475728,0.011785624004266807,0.09473857845023648
[6 1 6 6 5],0.8858386294556508,0.005342697502772391,0.1624434497320447
[6 5 2 3 6],0.8857162946742472,0.013296862846692393,0.10600138218884259
[6 1 2 1 2],0.8850650384554145,0.009338219257240106,0.12617518772101965
[6 1 3 6 4],0.8849474693571249,0.0132540545060384,0.1087349663520786
[6 1 3 3 6],0.8848543689320388,0.011876449462814008,0.09542508988828166
[6 1 2 1 3],0.8847368919943668,0.011699557223465024,0.12684988254956467
[6 1 1 6 3],0.8846601941747572,0.0103915247846677,0.11602043302963741
[6 1 4 6 2],0.8844202898550725,0.010863524891713734,0.15499985602096425
[6 6 2 1 5],0.8844060221124442,0.014153414210256251,0.11267086073851582
[6 1 4 6 5],0.884323269665229,0.016100485496601466,0.147177637157237
[6 6 6 1 5],0.8842964683390215,0.006302165413366045,0.1092056804921309
[6 1 4 3 1],0.8842095388976903,0.013940525452386256,0.11598396410888386
[6 6 2 3 4],0.8832477081359504,0.011972178761675573,0.09621818301077222
[6 1 2 1 4],0.8829710144927537,0.01038155708832928,0.1076032058327355
[4 6 2 3 2],0.8826962596244947,0.010650460807803842,0.07878267333767927
[6 4 3 6 5],0.882376257958513,0.013608255098727397,0.1156727359242319
[6 6 6 1 6],0.8819223547603269,0.010189449910901777,0.13047803700466057
[6 5 3 6 5],0.8817438233855185,0.010532291056120158,0.1436310649285175
[6 5 4 3 2],0.8815940454893942,0.014908609727806178,0.1055288940644803
[6 6 2 3 6],0.8812114714553738,0.01669421442570581,0.09684576928070915
[6 5 2 1 6],0.8809302012971736,0.012344042462722145,0.13468700594029476
[6 6 3 3 1],0.880388349514563,0.013625479450756373,0.06933765524256438
[6 5 2 6 6],0.8802040117751764,0.010735656132114368,0.10465965308959077
[6 5 2 1 5],0.880197936619955,0.010003377126832722,0.13274440489307898
[6 1 3 6 3],0.8799999999999999,0.008675071030558713,0.11533392159159224
[6 4 3 3 5],0.8795977955774628,0.014946000507479225,0.1058699616933648
[6 6 3 3 6],0.8795510241253124,0.011943838483166823,0.10214563878788378
[6 4 6 6 2],0.8795159875876957,0.013850574831604132,0.11233193126287672
[6 4 6 6 5],0.879472693032015,0.01151705073553345,0.1338309444618607
[6 6 4 3 6],0.8792442930251279,0.014657951200073245,0.09986626577895316
[6 4 3 6 2],0.8790389516807002,0.013729223051242311,0.12527736579926047
[4 4 6 6 2],0.8789689017808959,0.015350762716256556,0.092203088088604
[6 5 4 3 6],0.8784904497843499,0.011098152699885028,0.1045629251292492
[6 6 2 1 2],0.8781845998352404,0.012842499310166894,0.10317450245937544
[6 6 3 4 5],0.8781176833025262,0.01539700384378068,0.12286143702686778
[4 1 2 6 2],0.8780797101449276,0.012785543469995563,0.08518587128424895
[6 5 4 6 5],0.8779661016949152,0.011993735087073937,0.1424866771882497
[6 5 4 6 2],0.8779351106477996,0.014051516156113344,0.15347070945932245
[1 1 3 6 1],0.8778640776699029,0.008659845872224374,0.0919925326980557
[6 3 2 1 2],0.8771852318275377,0.009726983667993943,0.1652301034235355
[4 5 2 3 1],0.8771836007130125,0.008602444571845723,0.13612750867762413
[6 1 6 4 5],0.8767341000889983,0.01078341870130133,0.15568123397076625
[6 1 3 4 6],0.876560285166347,0.008838545308713584,0.09687297002276093
[6 1 2 4 5],0.8764908637873754,0.01209212791852954,0.16808793904881292
[6 4 2 1 6],0.876449275362319,0.015851190474077802,0.08646686182987674
[6 3 2 3 5],0.8763917070132793,0.012776817979739749,0.13767252686721632
[6 6 3 6 2],0.8763380073071986,0.007603148210252426,0.16384181515298052
[6 6 4 3 1],0.8761916673615164,0.014547411515017013,0.08501097369344326
[6 6 2 6 2],0.87532933478735,0.018294774762269386,0.1245854804947727
[6 5 3 3 2],0.8752934755676985,0.01793775591752191,0.11828203012535486
[6 1 1 3 1],0.8751456310679613,0.014401694478282448,0.13592926473294797
[6 1 3 1 6],0.8749514563106795,0.01398058252427187,0.1084688072111403
[6 2 3 6 5],0.8747507215514527,0.010228440194280477,0.1169893303425641
[6 1 2 5 6],0.874701414793158,0.008611812478671882,0.13468700594029476
[6 6 4 1 1],0.874390071223256,0.013512577019025208,0.12826279019643205
[6 6 3 1 5],0.874262086513995,0.008765335912483855,0.10034181942551962
[6 1 4 6 3],0.8739445231940854,0.015593715280313029,0.1614549500379349
[6 3 3 3 5],0.8735380228718199,0.015205383256089512,0.09943689110435824
[6 4 6 4 2],0.8732713842417701,0.015958716015641288,0.09804694578436059
[6 3 2 3 4],0.87283023525801,0.013311557410867083,0.15110775050013894
[6 5 4 3 1],0.8726102941176471,0.011886149382593539,0.13453226443530822
[6 5 2 6 4],0.8725500794707953,0.011945533922283697,0.1407871797519404
[6 4 3 1 5],0.8724264705882353,0.013003484693990713,0.1046362056719064
[6 3 3 6 5],0.8723600324119374,0.013466485976035805,0.1581322782145697
[6 5 2 1 1],0.8723164297476224,0.017318802596903084,0.14763767958840002
[6 4 3 6 1],0.8722761888879624,0.01555450318471834,0.142343955951812
[6 4 4 6 2],0.8721772126281705,0.01591165722318667,0.1603814278724309
[6 1 5 6 1],0.8719285602264325,0.009049792096781637,0.17950683730894018
[6 1 2 5 5],0.8717669791981718,0.014162857021640286,0.1625309542837211
[6 6 6 3 6],0.871617985528124,0.014135318470196384,0.1330770646180176
[6 6 3 6 5],0.8711896862769081,0.010309438083828676,0.16987135563661201
[6 6 2 1 4],0.8710144927536232,0.02013723656752211,0.11657013965213013
[6 4 1 3 5],0.8709558823529411,0.010028074777195486,0.09488749085775362
[6 1 4 1 1],0.8708154567208982,0.012924546425029883,0.16082691827739146
[6 1 4 4 1],0.8706257168344589,0.011241111523271846,0.19272647231588233
[6 1 3 2 3],0.8701911358466038,0.00850494417262813,0.13530654138620227
[6 5 4 3 5],0.8694259601560896,0.01088104470353057,0.11109810794982725
[6 6 4 1 5],0.8689604299308551,0.014318931801051527,0.13540342618465806
[4 1 2 1 3],0.8688398868182261,0.012485428091407694,0.158126674241897
[6 6 4 1 6],0.868750973478895,0.016529642264313207,0.13889597487592897
[6 4 6 4 5],0.8687382297551789,0.013184019301835867,0.11851695579209556
[6 6 4 6 1],0.8685580476615268,0.01857135494656302,0.14221884508827182
[6 1 3 4 3],0.8685507518274548,0.013712244288577816,0.12059696268139629
[6 6 2 4 5],0.8684233895098551,0.014824698672469426,0.17186182753502635
[6 4 6 6 4],0.8673785089615522,0.01652276512181707,0.1618014543124038
