Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 6 5],0.8646241220553147,0.017602367889328934,0.2059157110048737
[6 1 3 6 5],0.856543802253726,0.014831748577250708,0.16970562748477142
[6 6 6 1 4],0.8544595953159735,0.009586070211572133,0.17744126933910545
[6 1 6 6 4],0.8535165597609844,0.011779997150081439,0.17544754721169978
[6 6 4 3 1],0.8534450651769087,0.015556800989354804,0.13311795880678715
[6 6 6 3 4],0.8523331033293082,0.021384913526556484,0.14209159963179913
[6 1 6 6 5],0.8514611323121961,0.009160856872841704,0.24298263909499127
[6 6 6 1 3],0.8502912621359224,0.017377284754819696,0.16888181375911718
[6 6 6 3 2],0.849690713650919,0.011013519211871874,0.20297811917737668
[4 6 6 3 2],0.8490739134496057,0.00926762694234097,0.20535155837198368
[6 6 6 3 1],0.8489320388349515,0.014263586541519954,0.18123901964393066
[6 6 6 1 5],0.8485638857979284,0.014462937628432104,0.18155444381816765
[4 6 6 6 2],0.8484791554236374,0.01352347619241497,0.18375685865545727
[6 1 2 6 4],0.8467391304347827,0.01707517633035967,0.16909075202287008
[6 5 2 6 1],0.8463087676849144,0.009283965808220898,0.12432646702181056
[6 6 2 3 1],0.8453326427255986,0.01807895127695633,0.10928605265808648
[6 6 2 1 5],0.8441096212655846,0.011810843656263687,0.11849866388016321
[6 4 6 6 2],0.8435172692930383,0.022041265450792165,0.17206914326394407
[6 6 3 3 5],0.8430436643835616,0.016602976956632102,0.1823009670246568
[6 4 3 6 5],0.8429793934415006,0.018998463822844886,0.2012836308738047
[4 6 6 3 1],0.8428215069901887,0.02023047878198417,0.14695695452432445
[6 1 6 6 6],0.8422307425289534,0.013433069301268629,0.15713484026367724
[4 6 1 3 2],0.84179009334244,0.01877864067265967,0.19128226722810124
[6 5 4 3 1],0.8409926470588236,0.012847936584563617,0.1553295227055008
[6 6 2 6 1],0.8409866877115739,0.010661790897964457,0.21094914197107972
[6 6 4 3 6],0.8409417946064057,0.014190319852617608,0.1340486788979237
[6 5 2 3 2],0.8407336721779135,0.016005465586299162,0.2087710149207083
[6 6 4 3 2],0.8406660750743937,0.015255575302683254,0.13431800044456793
[6 1 6 3 1],0.8398058252427185,0.01850781870937811,0.16682227944498162
[6 6 4 1 1],0.8392241196210867,0.01693392939238478,0.15617489998011153
[6 6 6 3 5],0.8391374143835616,0.011227882596582252,0.20716018980074635
[6 1 1 6 5],0.8389031612435867,0.009260838007872101,0.23274460654885398
[6 4 2 3 1],0.8388990795850001,0.013985227830340773,0.10775567720516369
[6 1 3 6 4],0.8383324300286279,0.018718944510259475,0.2174699327041572
[6 1 4 6 5],0.8382337235571985,0.017507515248929958,0.1962368495429827
[6 5 2 3 1],0.8381241927471434,0.010006429380388458,0.1844905874550356
[6 1 6 3 5],0.8380614322064703,0.013317923669273141,0.18856180831641267
[6 6 5 3 1],0.83673173391494,0.008713473542625609,0.16633845233626401
[6 5 2 3 4],0.8365205724508049,0.006315639725962278,0.14407537632755393
[6 6 6 6 4],0.8352428303790171,0.01571523013735085,0.21825983411502978
[4 1 6 6 6],0.8349036432890136,0.0237492726799446,0.18940360210353954
[6 6 2 3 2],0.8346693422110624,0.025404779519547747,0.16715845108725141
[6 6 6 1 1],0.834491858373568,0.01652493564032822,0.20553798302347068
[6 1 6 6 2],0.8344724581697852,0.014616578724543328,0.24972172569785137
[4 5 6 3 2],0.8341981855353948,0.012518385899074199,0.19968341631362738
[6 5 3 6 5],0.8334634142612524,0.014478892403619187,0.21544659739277622
[6 6 4 3 4],0.833363880742913,0.011459900064562647,0.144102329815268
[6 1 2 3 4],0.8329440270595505,0.01221716499164013,0.156851459127043
[6 6 2 1 1],0.832806518383142,0.011590180510774057,0.12026072579659686
[6 4 2 1 5],0.8327098773319704,0.016038201173011597,0.20726633085718282
[6 2 3 6 5],0.8325093249224876,0.01178571337585378,0.18162431948210225
[6 1 2 1 5],0.8323843129347714,0.01443584199512926,0.2279318562066527
[6 1 4 3 1],0.832365755023764,0.016031067288093552,0.1430029557478852
[5 1 6 6 4],0.8323194358869035,0.019351893525817992,0.18969562122488326
[6 5 6 3 4],0.8322561100842062,0.008645532429375298,0.13919939407831297
[4 6 6 3 3],0.8322375797826463,0.014573621552934714,0.16487987504444615
[6 6 2 4 1],0.8318840579710145,0.016015968192246637,0.19727254402668176
[4 6 6 3 4],0.8318530418032315,0.01863802912173841,0.19437058440198937
[6 3 6 6 4],0.8312866568914956,0.012424230446454312,0.24463883898871078
[6 5 3 4 1],0.83125,0.013503211523681603,0.2021233538134341
[6 6 6 4 5],0.8308851224105462,0.012987525159748879,0.207737585433336
[6 5 2 6 5],0.8305825973848154,0.01741301956568326,0.21586053449728093
[6 6 6 6 1],0.8305255766985388,0.01767521958012914,0.18238865387748252
