Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 3 5],0.907407124681934,0.018824920952465917,0.10976990984134026
[6 1 3 6 5],0.9056939294801891,0.009172562696991763,0.10909647481163877
[6 1 2 6 5],0.9045602715327485,0.014963431465344578,0.11914619756256845
[6 1 2 3 5],0.9045063752276867,0.016719120387149664,0.10413754413838247
[4 1 2 6 1],0.9016304347826086,0.015265839027378401,0.11721063492494403
[4 1 6 6 1],0.9014680061736262,0.012973631564287604,0.14088969700333467
[6 1 6 6 1],0.8991842595222316,0.016225852848616548,0.14941839721501454
[6 1 3 4 5],0.8990808823529411,0.009948572888040295,0.11698457776983323
[6 1 2 1 5],0.898513963101119,0.012092258332874273,0.10360538918484215
[4 1 3 6 1],0.8963242446982964,0.007951567780186066,0.1285049602342747
[6 6 2 3 2],0.896039935674082,0.009469621167523624,0.09485578772014663
[6 1 2 3 2],0.8955987298234211,0.018346580627477127,0.12294680924034727
[6 1 2 3 4],0.8955439555078545,0.013705173579801248,0.11731979056656877
[6 1 3 6 3],0.8945631067961164,0.01012877775203492,0.09885764707850761
[6 4 2 3 6],0.8940234724242384,0.016554904902968792,0.09040634645307458
[6 1 6 6 4],0.8937569913484277,0.01239127114133369,0.13092108636630626
[6 6 3 3 2],0.892662472315874,0.01258274337771436,0.10745900427037589
[6 6 2 3 5],0.8923013306011478,0.008717445645318804,0.08337913599000422
[5 1 2 6 1],0.891922908895386,0.01477968446413586,0.13015427016345793
[6 5 2 3 6],0.8917495362650756,0.015105063742348409,0.09565978392651649
[4 1 6 6 6],0.891690738144797,0.015864509034435096,0.11364216126212372
[6 4 2 6 5],0.8915780261642311,0.012749020292925229,0.10717582602737806
[6 1 6 3 1],0.8912621359223302,0.008374314039940909,0.10366322714482397
[6 5 2 3 2],0.8908374684425873,0.013301304877485582,0.08531818566419039
[6 1 1 3 5],0.8906481279534715,0.018828865031135286,0.11515739007895204
[4 1 6 6 4],0.8903671608399529,0.015799631736038468,0.14221884508827182
[6 6 2 3 4],0.8901913556359172,0.012514261047776695,0.08911482721803067
[6 1 3 3 4],0.8901730870785736,0.00888906992951375,0.09094197185810213
[6 1 3 3 2],0.8900742064781711,0.016169295924636423,0.11318912596730384
[6 1 1 6 5],0.889896417555992,0.012072646934137291,0.13104681659055709
[6 5 2 3 1],0.8897774465971189,0.006871312506517163,0.10028059805918312
[6 1 2 1 2],0.8897139554041799,0.013624412841198988,0.13734694913381829
[6 6 1 3 4],0.8894323772200451,0.010624506098085258,0.08105697491700406
[6 5 2 3 5],0.8891877774875947,0.012841263430391022,0.12216012947372713
[6 6 1 3 2],0.8891564429639258,0.011448687433149722,0.08456658836637644
[6 1 1 3 2],0.889154411764706,0.009205724932819128,0.11969424814933279
[6 6 3 3 4],0.8885314242999252,0.014379547669672752,0.0904828582560985
[6 1 3 3 1],0.8883495145631068,0.014819745167450235,0.09611160132632685
[6 1 4 3 1],0.8883088051363295,0.010782640976185417,0.12389196166176228
[4 1 6 6 3],0.8881205008477169,0.00938534700863906,0.11268896512851784
[6 5 4 3 6],0.8881070719518039,0.009155642037393693,0.10325588856513357
[6 1 1 6 2],0.8880414390839926,0.012954288000396535,0.1189464009245029
[4 5 2 3 6],0.8880337975977511,0.010350336882151914,0.1118479895174432
[6 1 6 1 5],0.8879662890301189,0.008189880078493621,0.12080878404441982
[6 1 4 3 4],0.8879353233830847,0.012964037730512426,0.10214496839134657
[6 1 3 4 1],0.8875618416298396,0.015550090807095504,0.1232329618656891
[4 6 2 3 2],0.8872643083040874,0.011908858559957406,0.09686394262829419
[6 1 1 6 1],0.8870799015431222,0.018307859401142868,0.14100045934374608
[6 6 4 3 2],0.8870771560869507,0.01275083308414943,0.10590457727360164
[6 3 3 6 5],0.8868253883317025,0.01839958006909286,0.11117596852640055
[6 6 4 3 1],0.8868204369215376,0.01589006240166782,0.08435197389737008
[6 1 2 4 5],0.8865020444671607,0.008406471943615814,0.15544974814288715
[6 6 3 3 6],0.8864665606941202,0.008020224410251965,0.09782962588135347
[6 6 1 3 5],0.8860741548527808,0.013592215368050931,0.10774960475223581
[4 6 6 6 1],0.8858590685753933,0.01192357121115788,0.19737849061316226
[6 6 2 3 6],0.8855287844376418,0.011989667843164643,0.1074590042703759
[6 6 3 3 5],0.8848772321428571,0.012744156091420981,0.11808130818642543
[4 4 6 3 2],0.8843439330655599,0.0110865672651718,0.08136571180776712
[6 3 3 3 5],0.883893025318004,0.009390664643207139,0.10772329869638811
[6 1 6 4 5],0.8832152392688437,0.013163917592956601,0.13801991751189782
[6 3 2 3 6],0.8830922286955664,0.008603400371848527,0.1313387829971261
[4 1 2 3 2],0.8827368523758417,0.01030994600894057,0.10839328476259069
[6 6 3 1 5],0.88264631043257,0.00862866251515841,0.08687311883149013
[6 6 6 6 2],0.8825808796801162,0.012296010955319386,0.16095097209865228
[6 6 1 3 6],0.8825242718446601,0.01067961165048545,0.1016036928306884
[6 5 1 6 5],0.882364099385376,0.013590357961628451,0.1365071006151636
[6 1 6 4 1],0.8822862240346631,0.012190829909715147,0.16813723274454562
[4 1 4 6 5],0.8822821250085576,0.015103596890745167,0.12297509238026916
[6 6 3 3 1],0.8819417475728155,0.01310643652868832,0.07071067811865475
[6 5 3 3 2],0.8818734890946957,0.02451372564991545,0.13831887675861168
[4 1 1 6 5],0.8817337577873623,0.014432242135909224,0.12035860105302937
[4 1 2 3 4],0.8816570722346896,0.011812507015981346,0.11476936033686075
[4 1 6 3 4],0.8816035048222576,0.011929513624260545,0.13048195962249431
[6 6 2 3 3],0.8813987360521377,0.018436330113389694,0.10414236833610505
[4 5 2 6 6],0.8813497808922609,0.013494118668477535,0.08815053146630504
[6 4 1 3 5],0.88125,0.01088135925510935,0.09033809061114899
[6 1 2 5 1],0.8811116712034142,0.017283251462870804,0.13662960698751056
[6 5 4 3 5],0.8810782501540357,0.009048854276837489,0.12090088218069439
[6 1 6 1 1],0.8809330524787781,0.016068555000424655,0.1466124179245917
[6 5 2 3 3],0.8805957905592277,0.011867771138442958,0.09501343403512111
[6 1 3 4 2],0.8805711126288743,0.014238436788876437,0.1064804620903097
[6 1 1 3 3],0.8798058252427186,0.01517671691624787,0.11602043302963741
[6 1 3 4 3],0.8795512660162872,0.014469064989600253,0.10280396818741978
[6 3 2 3 2],0.8793398834798065,0.007821743721148529,0.1598618520318555
[5 1 3 6 1],0.879215921483097,0.0105340982758016,0.129299525702683
