Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 3 5],0.6984773849593395,0.01714614386089016,0.2774168931140292
[6 1 3 3 1],0.692501043592343,0.01874269387985906,0.24519942107079307
[4 1 6 1 1],0.6921370595831028,0.020860844526449217,0.30304576336566325
[6 1 1 6 5],0.689814348722374,0.02227474654293501,0.3181116081621633
[6 1 3 1 5],0.6892950151094513,0.020398814884106574,0.28791847897323536
[4 1 4 1 1],0.689147781678902,0.012663719503652845,0.286070170811985
[4 1 3 3 1],0.6887602565311705,0.024376579653320372,0.26103833398851917
[4 1 4 3 1],0.6865910591342074,0.013850160681813885,0.3431886332143179
[4 1 6 3 1],0.6860635696821517,0.011582121547508055,0.3665198963607533
[6 1 3 1 3],0.6829649949311228,0.016893174187527244,0.28577819850152286
[6 1 3 6 1],0.681009004711074,0.02508119335713789,0.28750495498793693
[4 1 3 1 1],0.6798538149580308,0.02197451585333352,0.28944544680491685
[5 1 3 3 1],0.6786387588436588,0.01719443945850957,0.29368393772393225
[6 1 1 6 1],0.677082756871426,0.01011694012634391,0.328511793900593
[5 1 3 6 1],0.6764182001326684,0.017892166142621825,0.30717138638177993
[4 1 5 1 1],0.6746293697760967,0.018898868352194485,0.27901620452682263
[6 1 3 1 1],0.672936967022482,0.02558851343693562,0.2736909030966247
[6 1 4 1 1],0.6724307092787307,0.013472598631777612,0.32766292621609533
[6 1 3 2 5],0.6717127730142741,0.013734889296105309,0.3658052407623476
[6 1 3 4 1],0.6706601466992665,0.018068112260970492,0.3760286672569048
[6 1 3 2 1],0.6692736597292624,0.015777184938351747,0.33585413660753
[6 1 3 3 3],0.6683058023734272,0.02100609997115948,0.32204008471621764
[6 1 3 4 5],0.6671707245166203,0.022447868580290683,0.3916688118839985
[5 1 1 6 1],0.6648754734167506,0.02300105345483183,0.3630621614894254
[4 1 6 1 6],0.664254750046117,0.01930565078901666,0.3200231170556163
[6 1 4 3 1],0.6640586797066015,0.029465906885443184,0.3725709323855771
[6 1 6 1 5],0.6631561915719834,0.028796997389416365,0.349231222004114
[6 1 6 1 1],0.6631404491791182,0.0170661669967634,0.33105839695408595
[6 1 1 4 1],0.6625818575908504,0.016574596364222018,0.3403959414835601
[6 1 3 5 1],0.6625291747537037,0.023723246034263297,0.30717138638177993
[6 1 3 3 2],0.6624324646669449,0.03385748794666897,0.3039091416088703
[5 1 3 1 1],0.6614710389855772,0.021727110160554234,0.29368393772393225
[4 6 6 1 1],0.6611360911270985,0.012099661675556652,0.27163765903925
[6 1 4 4 1],0.6608985888212506,0.020270432147825253,0.4380157252007905
[4 4 4 3 1],0.6598538149580307,0.018216815341564337,0.22188258389024132
[4 1 3 6 5],0.6589938088101613,0.018572586730747086,0.36976339734909924
[6 4 3 1 6],0.6584352078239609,0.01633024887970323,0.2610589827852535
[4 1 3 2 1],0.6578478400045866,0.021423638924270072,0.3689924032829364
[1 1 3 3 1],0.6572358571882231,0.016411581227134403,0.26177995729033887
[6 4 3 3 1],0.6557457212713936,0.028509018771928428,0.2506857781712699
[4 1 2 1 5],0.655328798185941,0.024274691503079617,0.3511482654871971
[4 4 4 4 1],0.6553217277283668,0.02401927914132196,0.3066085420497686
[4 4 6 3 1],0.6550122249388753,0.02168884697667001,0.2135151283044954
[6 1 6 3 1],0.6548500208718468,0.021757040854676536,0.34794143201242816
[5 1 4 1 1],0.6538791613283713,0.020664970335234407,0.34358852614588725
[5 1 3 6 5],0.6536305677714174,0.021049916460868217,0.3413015404241999
[4 5 6 3 1],0.6532915264231138,0.02482219666305692,0.4363558575351929
[6 1 5 1 1],0.6531347380027805,0.033618374295915444,0.2800765245775568
[4 1 3 3 5],0.6519667734485586,0.021608580842661193,0.31236666343073555
[6 1 4 2 1],0.6515270475926951,0.013442246007520428,0.4609351526822273
[6 1 1 3 3],0.6511890989325541,0.026374606129954868,0.31685981525697554
[4 4 4 1 1],0.6511684681809163,0.019721245429174673,0.2970728696893691
[6 1 6 1 4],0.6491255072864786,0.02131842810743682,0.28776614504470543
[5 1 6 1 1],0.648980655832015,0.031400466832896996,0.35787555918243363
[6 1 6 4 1],0.6484008946688803,0.022306771368976897,0.43716685751629286
[4 1 6 3 6],0.647921760391198,0.01054467415787181,0.36479102892508936
[1 1 3 6 1],0.647524598962371,0.023481622663308187,0.3039091416088703
[6 1 3 1 2],0.6470302343610234,0.017666422846952006,0.3099527893113194
[6 6 3 3 1],0.6470206929453158,0.023682074181609822,0.3254935976890457
[5 1 3 4 1],0.6469019061099818,0.02659078258438106,0.34988328619265163
[6 1 5 3 1],0.6466765348991474,0.01825365802132591,0.28616821466336767
[6 1 5 1 6],0.6465272783930198,0.020851505248409046,0.29563633149853213
[6 1 3 3 4],0.6459657701711492,0.022080825241810556,0.28872086175587636
[5 1 3 2 1],0.6459093485608716,0.021915742518597032,0.3511262506120843
[4 4 3 3 1],0.6455083466943318,0.026480797568988048,0.31708479981546595
[6 4 4 1 1],0.6447974312857407,0.016599725668118754,0.2707887913547523
[5 1 3 3 5],0.6438566749942267,0.02739620471662486,0.2888296577615532
[6 1 4 3 2],0.6430317848410758,0.01893879386898493,0.39677507648487204
[6 4 4 1 4],0.6428795425198304,0.02041721621445739,0.27418426209274294
[6 1 3 1 4],0.6425427872860635,0.023624200154877588,0.30255180124118786
[6 1 6 4 4],0.6423964674414314,0.034045471863761126,0.35228008906652725
[4 4 3 1 1],0.6422531359049326,0.020416752383610456,0.33781431457337774
[5 1 3 5 1],0.6420244368400059,0.021032933643356316,0.3616438571972389
[4 1 2 3 6],0.6418092909535452,0.020982781952534516,0.3656554626429213
[4 1 4 3 5],0.6415858707336023,0.014717532983363455,0.3670104400622219
[6 4 3 1 2],0.6405867970660147,0.023730240701322125,0.2861275606023805
[6 6 4 3 4],0.6405774700862739,0.018692346756449173,0.3081821322362677
[5 4 3 1 1],0.6401996573046265,0.028627517636040423,0.2781123556915948
[6 1 6 3 4],0.6400977995110024,0.025380810312686526,0.3751642335390729
[6 1 1 3 2],0.6396958673743217,0.01905696936320447,0.30218238512245627
[6 4 4 3 1],0.6391198044009779,0.025437274921545138,0.22907493522547082
[6 1 3 4 6],0.6378973105134474,0.023411954874379616,0.40282611250969586
[6 1 4 1 2],0.6378245480538647,0.027084652659340406,0.3361516030610719
[4 4 6 4 1],0.637822242206235,0.02242325348684441,0.30304576336566325
[6 4 3 4 1],0.6374083129584353,0.025433749556006552,0.33367141508313863
[6 1 6 1 2],0.6371823694890242,0.020384223046163052,0.35907103054250855
[4 2 4 3 1],0.6362163530906902,0.01707228243596869,0.38597531724156525
[6 4 4 3 2],0.6359622934248572,0.026585257618896296,0.2525381361380527
[6 4 3 6 1],0.6359413202933986,0.016490531764222254,0.3310781139296427
[6 1 3 2 3],0.635788061303596,0.01758250472531663,0.38765683119995104
[6 6 1 3 1],0.6345596040312481,0.029735953275715002,0.2987288721496282
[4 1 1 1 1],0.6343639202560364,0.01989510958157499,0.2765344984515855
[4 1 6 1 3],0.6342298288508557,0.015471190239174952,0.47111637621842106
[4 1 4 1 3],0.6335537112138073,0.01944987795302528,0.39846733923541605
[6 6 3 1 3],0.6330932077046931,0.02059161530128252,0.3332640018779089
[5 1 5 6 1],0.632092262332806,0.021854465953020808,0.4538277018617818
[6 1 5 3 6],0.6317998673316463,0.02700256895635595,0.32467402948045687
[5 1 4 3 1],0.630507338150935,0.015286024131842085,0.34091191988001945
[4 4 5 3 1],0.6298208831323635,0.02365953595905607,0.2748500406688195
[5 4 4 1 1],0.6297343054115063,0.022576887215451313,0.2726386912804953
[4 1 2 6 6],0.6296526240546025,0.020159992240279142,0.37689725191695933
[2 1 3 3 1],0.6289773092793928,0.024756295627435063,0.2770889527990112
