Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 3 5],0.8984116649878388,0.007043335469783674,0.07788676178911229
[6 1 3 6 5],0.8927142962435202,0.01366064100269802,0.08138729040884767
[6 1 2 6 1],0.8863459232613907,0.016899409601997935,0.14091203562661095
[6 1 3 6 1],0.8841314330013716,0.017526528996386275,0.10533214567125618
[6 1 3 3 3],0.8834039000536704,0.012359949088143007,0.096698363239186
[6 1 2 3 5],0.8827967226002997,0.01667584568748879,0.12601903031047385
[6 1 3 3 1],0.8824181525433836,0.009746604033932679,0.12518984526501759
[6 1 1 3 3],0.8809565269246825,0.014018059370112787,0.08374768959108073
[6 1 2 3 1],0.8804711074005604,0.011366646286058534,0.12259971053539653
[6 1 1 3 4],0.880195599022005,0.012175940927128353,0.12274958793213908
[6 1 4 3 5],0.8792988231825664,0.01434524041199887,0.15771898465127454
[6 1 3 4 5],0.8780685698842838,0.016495833368382673,0.12091788823264382
[6 1 1 3 1],0.8780195599022005,0.014561313491532736,0.1113757933737053
[6 1 2 6 5],0.8776882880291481,0.019081635461208456,0.1616491052345775
[4 1 2 6 1],0.8776724774026933,0.00903791649066216,0.12478354962115547
[6 1 6 6 1],0.8774603394207711,0.014361900695456543,0.19184409669647026
[6 1 1 3 5],0.8773524064565266,0.017734270497000347,0.1102666515216646
[6 1 1 3 2],0.8736191782455721,0.014994310118796407,0.09756174148239302
[6 1 4 6 1],0.8733507424829365,0.011841060933516175,0.16298259542354998
[6 1 3 3 4],0.8733496332518337,0.01973636779521816,0.09508770896151618
[6 1 3 3 2],0.8731313733675234,0.017090551556401018,0.1260532235082246
[4 1 6 6 1],0.873107475558015,0.01261878882435038,0.17911108142900545
[4 1 3 3 1],0.8728524945770066,0.020219970100155117,0.10518309340125627
[6 1 6 3 1],0.8726483391973284,0.013709714358634871,0.1519545708044351
[6 1 2 3 4],0.871882640586797,0.013038916015621885,0.14090269600661035
[6 1 2 1 1],0.8716893792658181,0.015591758648044988,0.1434586386801039
[6 1 6 3 4],0.871638141809291,0.012237157707816334,0.1443604308779382
[6 1 2 3 2],0.8711867135786273,0.015558959445452807,0.15368132729084918
[4 1 3 3 5],0.870525005055289,0.011962667905434012,0.11173428953005422
[6 1 2 3 6],0.8699594489832428,0.012778032641564808,0.11310254986011933
[6 1 4 3 1],0.869682151589242,0.020340476220824525,0.13398722626395462
[6 1 4 3 4],0.8694376528117358,0.01712189867971796,0.13571609369961854
[6 1 6 6 4],0.8692699686404722,0.017794769556280655,0.14855184478708983
[6 1 2 6 2],0.8678461077292011,0.020851359827777294,0.1799599491135031
[6 1 6 3 5],0.8674366754293296,0.01221913154426939,0.10764125505686306
[6 1 3 3 6],0.8672699624306756,0.014586732126543725,0.12346308877860353
[6 1 6 3 2],0.8670272526686146,0.017518801900737117,0.14159403188595093
[6 1 3 6 3],0.8670266563301329,0.023319781070475873,0.12173633229218951
[6 1 4 3 6],0.8669926650366747,0.02350751167084971,0.14608929831360212
[6 1 3 2 1],0.8667809648756635,0.0071860203646763226,0.1260532235082246
[6 4 3 3 1],0.8660146699266503,0.016932312658367518,0.08385007062970062
[6 5 2 3 2],0.8654243146890206,0.015277494615964532,0.13274519941293472
[6 1 3 4 1],0.865281173594132,0.016919951370949607,0.124478455367803
[6 1 2 6 4],0.86493843386829,0.014433592068330423,0.14260977099560623
[6 3 2 3 5],0.8649268921327744,0.00828744480012523,0.14315658760218447
[6 1 2 1 2],0.8647216841911087,0.009936732929394237,0.15619165394756876
[6 5 2 6 1],0.8647184668488423,0.017664843516655853,0.12447845536780303
[6 5 3 3 1],0.864714517357443,0.016470458427482387,0.10239046212726
[6 1 2 1 4],0.8646963198671831,0.014777798422048129,0.12478354962115547
[6 5 4 3 6],0.8646504793563616,0.014694945649115805,0.11018719166956019
[6 5 4 3 5],0.8646468661174544,0.01803786898786125,0.13187758373049724
[6 1 6 1 1],0.8644784172661872,0.0130845045897146,0.15619165394756873
[6 4 2 3 1],0.8638141809290953,0.01177915840630407,0.08385007062970064
[6 4 6 3 2],0.8637891111685747,0.015289206880082059,0.08817433227870992
[6 5 2 6 5],0.8637279907849267,0.01731425981170121,0.18599051093027977
[6 5 1 3 5],0.8637268751689063,0.026990061506492736,0.13564548401474613
[6 5 2 3 5],0.8637038107626342,0.020982231919407218,0.13881850918999705
[6 5 2 3 4],0.8629323842559137,0.007028574989810763,0.11105480735199767
[6 4 3 3 5],0.8629293732234908,0.021292943596446512,0.09196726233837306
[6 6 6 3 2],0.862613719175345,0.014435541354227694,0.13953802098475457
[6 1 6 1 2],0.8625582226526471,0.014554275260713375,0.16383146310804766
[6 5 2 3 1],0.8624824951477779,0.017110574735780624,0.17852695960650458
[6 1 2 3 3],0.8623841612499253,0.013175664090086648,0.1355503841835018
[6 1 5 6 1],0.8622818687377152,0.020910917380521386,0.17893777959121682
[6 6 2 3 2],0.8621247561061613,0.016987358841082996,0.122416791416073
[6 4 3 3 6],0.8615964174052045,0.01869746215281743,0.08303796340810547
[6 1 2 4 1],0.8615707434052757,0.007930724087666595,0.187599758273982
[6 4 2 3 5],0.8614521607168666,0.014801796358772724,0.11279003871687261
[4 1 2 1 2],0.8614352659302714,0.01807327872563386,0.14765398683748474
[6 5 3 3 3],0.8610029146793853,0.007527544466837902,0.11626050144662253
[6 1 4 3 2],0.860880195599022,0.014647497115648073,0.16683570754156932
[6 5 4 3 2],0.860716264392735,0.016561486017872648,0.10845196030468521
[6 1 3 4 3],0.8603911980440098,0.018048249910963883,0.124478455367803
[4 1 2 3 5],0.8601425059333128,0.01831981281440778,0.12233681335407397
[6 5 4 3 1],0.8592345773038842,0.008070862470911567,0.18050061576756976
[6 1 6 6 2],0.8591893792658182,0.02419645786888484,0.16383146310804766
[6 5 3 3 2],0.8590385171267524,0.016367045040992272,0.11539288576418506
[6 5 1 3 3],0.8590171486131244,0.017357435126917245,0.14789733418381995
[6 1 3 2 3],0.858716083248852,0.011275283921725648,0.12518984526501759
[6 6 6 1 4],0.8584526609481646,0.017300279976623915,0.1392143002576156
