Configuracion,Precision,desvPrecision,errorMetrico
[6 1 6 6 1],0.8349312857406384,0.02103820027264417,0.22410106870738122
[6 6 1 3 1],0.8298705945494662,0.019037800385544812,0.1787192963438527
[6 1 3 6 1],0.8291382908939114,0.012082054818780127,0.24174590809796498
[6 1 2 6 1],0.8286916620549712,0.0192397394157755,0.22749653944537185
[6 5 3 6 1],0.8265643810038572,0.01590391582150128,0.24678726769134454
[6 6 6 3 1],0.8235148190112709,0.011920362283917012,0.1692221356685755
[4 6 1 3 1],0.8232273838630808,0.014425427872860625,0.1685645749772332
[6 6 4 3 1],0.8190709046454769,0.021060983342159428,0.13312279254612264
[6 3 2 6 1],0.8188627825153556,0.015245787309068292,0.2175713172881685
[6 1 4 6 1],0.8171186128020661,0.019162054549650087,0.21985673028489294
[6 1 6 6 5],0.8170250251689918,0.011410811657851176,0.2619234165030855
[6 6 3 6 1],0.8166652752102094,0.0178822214307483,0.24951631228682813
[6 1 3 3 1],0.815693243485002,0.017769670663482614,0.1847629440463018
[6 5 2 6 1],0.8148149479840837,0.014672294571157731,0.19795532138352004
[6 1 6 6 6],0.813539360819037,0.016907288712953987,0.25041596692680856
[6 1 2 6 5],0.8121290570017738,0.018345009175396616,0.25414351304259775
[6 1 6 3 1],0.8108026715963982,0.011708100758788732,0.2270684779634457
[6 6 6 6 5],0.8106308328827664,0.020524565452957645,0.23055966562325003
[6 1 6 6 4],0.8103947611141855,0.021929708662501435,0.23938068702833903
[6 6 3 3 1],0.8103071143180868,0.022735333594568554,0.15368132729084916
[6 6 3 3 2],0.8095529984249747,0.014740286814608154,0.13611377507101824
[6 1 6 4 1],0.8094245757240361,0.0176215980003795,0.2071237150174281
[4 1 6 6 1],0.8089426535694522,0.016839342432800712,0.23768295165934375
[4 1 3 3 1],0.8076534942940677,0.015246234481454542,0.26027057418267063
[6 1 2 6 6],0.8075424275963845,0.01436073129019977,0.22325220102288357
[6 3 6 6 1],0.8064052716321785,0.013850891520463862,0.21929807377458255
[6 5 6 6 1],0.8047940936765905,0.019743390220500662,0.2169728631758233
[6 4 6 6 5],0.8033040268929689,0.012014037705551163,0.2802714150884861
[6 1 1 6 1],0.8029716611326325,0.015366623315349305,0.2673933206167617
[6 6 1 6 5],0.8026007958195503,0.017888420997124684,0.24722804329994205
[6 4 2 6 5],0.8013475869202379,0.014713150547892781,0.23570226039551584
[6 5 3 3 2],0.8010821650527534,0.022256644960227074,0.2116982265147455
[6 4 2 3 5],0.8007804596039891,0.015735173807258574,0.21603630492693293
[6 1 3 3 3],0.8002975729023796,0.02047044956409194,0.2132544260721334
[6 3 6 6 6],0.7991331484049932,0.016232943892280107,0.21059112369478294
