Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 3 1],0.8895163694913231,0.012901629728625415,0.11914619756256846
[6 1 3 6 5],0.8882527086455543,0.01856563531037756,0.10239046212725998
[6 1 2 3 5],0.8862688253937054,0.011046320005168342,0.12339363384567228
[6 1 3 3 1],0.8858465024748048,0.012231499514438098,0.10878565864408425
[6 1 2 6 1],0.8856311104962185,0.01149558412510106,0.13666769720412264
[6 1 3 4 5],0.8847658649239613,0.016744075801771494,0.11040328925589218
[6 1 3 6 1],0.8841344146937802,0.01727029833112047,0.12173633229218951
[6 1 2 3 4],0.8833740831295843,0.013214248525057863,0.14522486459577016
[6 3 3 3 5],0.8823619742737389,0.012154924480986403,0.1041138818924978
[6 1 6 3 1],0.8821778281352495,0.019475855933986794,0.1312334929674667
[6 1 2 3 6],0.8819381000655973,0.015867498618127168,0.12432646702181056
[6 1 1 3 1],0.8819297513268533,0.020975900514444028,0.10015187621201407
[4 1 3 6 1],0.8811735941320293,0.02443031001818445,0.11151194960032351
[6 1 1 3 2],0.8794871489057188,0.022053804017886123,0.09928849796880704
[6 1 6 6 1],0.878654768492898,0.01685639812942728,0.15194731552508045
[6 1 4 6 1],0.8776788184836747,0.015805172885289303,0.14515637404909917
[6 1 4 3 4],0.8770171149144254,0.011728298244705582,0.13485165998178658
[6 1 6 3 6],0.8765549525910907,0.020157706995209242,0.14159403188595093
[4 1 2 6 1],0.8762376637151817,0.0164693742529496,0.1027129898242164
[6 1 4 3 5],0.8758390044959832,0.01696655323411396,0.16122385097685846
[6 1 3 3 4],0.8753056234718827,0.012844914950184558,0.10286761242200387
[6 1 1 6 1],0.8752922661870504,0.01743175896165901,0.14600524173359686
[6 5 3 3 3],0.8752396781808546,0.010301120222449486,0.13014235236562224
[4 5 2 6 1],0.8752091423366413,0.012773493933052684,0.13658052741745053
[6 1 2 6 5],0.8749958051680329,0.015168099222767017,0.13312279254612266
[3 1 3 6 1],0.8748446538255112,0.015742660063974727,0.11137579337370529
[6 1 3 6 3],0.8738714294233407,0.017724120961648035,0.11741944107615443
[6 1 3 2 5],0.8736340073213278,0.01854139731522478,0.12776929462034153
[6 1 4 3 1],0.8735941320293399,0.010827183288745486,0.12361402164997103
[6 1 6 3 5],0.873132815762966,0.011284637544656436,0.10501585859206151
[1 1 3 6 1],0.8731325660444866,0.02145795755597363,0.10705890215767021
[6 5 2 6 1],0.8725544129632293,0.011063206214313889,0.12793619023913086
[6 1 3 4 3],0.8721271393643031,0.017393815561694295,0.13485165998178658
[4 1 1 6 1],0.8719067054049068,0.014173873058405612,0.15619165394756876
[6 1 3 5 5],0.8716476672481143,0.013454522916808657,0.1461470698739523
[6 4 3 3 5],0.8712837837837839,0.018980468221566456,0.10931957598712269
[6 1 2 3 2],0.8711831355477369,0.012296168653838082,0.12777997999463864
[6 3 2 3 1],0.871174190470511,0.012898362383097174,0.17871929634385267
[4 1 3 3 1],0.871113364142224,0.016252308487006494,0.12284156893577373
[6 1 2 6 2],0.8709699548053866,0.0187744277402319,0.1638314631080476
[6 4 1 3 5],0.870882981598408,0.014498661462802471,0.09901247369774457
[6 5 2 3 1],0.8706630960862836,0.021317720590935563,0.1540232592683569
[6 3 2 3 4],0.869848256893674,0.007136910325898003,0.15494712759656792
[6 1 2 6 6],0.8697668788046485,0.01542705053573014,0.15449391857857342
[4 1 2 3 4],0.8695665676091464,0.012154948748157958,0.12814380532419967
[6 1 1 3 6],0.8692211819428708,0.0162550699981434,0.11828281931936142
[6 1 3 4 1],0.8689486552567237,0.012900641523983304,0.13225835882829068
[6 1 2 3 3],0.8684912636412427,0.013207955862166715,0.12000957580577547
