Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 3 5],0.6807788267297648,0.020690468515554263,0.34681566298918937
[6 1 2 3 2],0.6508844999235418,0.026136668342356027,0.39858978036794357
[6 1 2 6 5],0.6502780661725056,0.024447682199390624,0.41561140799931484
[6 1 2 1 5],0.6442676517694023,0.017710509169444003,0.3865327941290556
[6 1 2 1 1],0.6426563971316125,0.02835328237029199,0.456747008108462
[6 1 2 3 4],0.6424455336375563,0.02528536167313318,0.37944044928265086
[5 1 2 1 1],0.641010379241517,0.024202578325262136,0.4372618357187542
[6 1 2 3 6],0.6400527963557637,0.016064724773976545,0.40213595279114595
[6 1 2 3 1],0.6376479867365252,0.02027259754584224,0.4085190631529101
[5 1 2 3 5],0.6344199600798404,0.02764154323280788,0.46057304828534373
[6 1 2 4 5],0.6296057979412641,0.0209781662388525,0.4666762908934286
[6 1 3 4 1],0.6292210927879855,0.015734425438707133,0.3439787250506275
[6 1 4 3 4],0.6280058108184241,0.027193619188455146,0.34894336644311075
[6 1 4 6 5],0.6260030100361365,0.027117680702093687,0.47305940125519286
[5 1 2 1 5],0.6228243512974052,0.032221117051744436,0.4217210273410279
[6 1 2 6 2],0.6223825160360882,0.021483178850361686,0.45603777362382153
[6 1 2 3 3],0.6219957988265689,0.027281569196224886,0.44043461496173125
[6 1 2 2 5],0.618790593234662,0.02383616620246313,0.4709316978012714
[6 1 4 6 4],0.6179656501758537,0.0381364142933348,0.4411438494463717
[6 4 2 3 5],0.6176613187013699,0.019831615448936704,0.23917613306162513
[6 1 2 4 1],0.6153572204650264,0.028001213429583876,0.41277447006075296
[6 1 4 3 5],0.6147769434451231,0.021875474458173585,0.3652557595898416
[6 4 6 3 6],0.6146709234623067,0.013803485376103932,0.25147288436379767
[6 1 5 1 1],0.6143697032619456,0.01858209087504222,0.3872420286136961
[6 1 4 3 2],0.6143664839719599,0.014397118359066912,0.3907882010368984
[4 1 2 3 2],0.6128335329341318,0.021608575849343992,0.5312130863659179
[4 1 2 3 4],0.6118287425149701,0.018728736340662938,0.46410505018937237
[6 4 6 1 6],0.6113532285454444,0.018432368770755426,0.35036183541239174
[6 4 6 4 1],0.6109431714835294,0.02256626512889918,0.3744758078901676
[4 1 2 3 5],0.6104223552894211,0.02466950606122189,0.432317033053114
[6 1 2 4 2],0.609962897682916,0.0311913005409062,0.3858235596444151
[6 1 3 3 2],0.6097516317776115,0.02540995746900653,0.3645465251052011
[5 1 2 3 1],0.6094371257485028,0.027970247828836264,0.5467538947436442
[6 1 6 4 1],0.6089447972249721,0.011968719619146896,0.4453992563542145
[5 1 2 3 4],0.608635129740519,0.026495138242113848,0.45916024752373225
[6 6 2 3 5],0.6085836797998098,0.01664402243400581,0.3506874456437336
[6 1 5 3 1],0.6081423891960629,0.015159131276466089,0.42270375284571954
[6 1 2 5 5],0.606746826987308,0.027485357955146457,0.424831456299641
[6 6 2 3 2],0.6061313090281304,0.027998476521713174,0.33118310333391754
[6 1 3 3 3],0.6055440197664405,0.02276428967257378,0.40213595279114595
[6 4 3 1 3],0.6049428173616309,0.035930976458542166,0.43972538047709075
[6 6 5 3 4],0.6041035098465989,0.020904446307322022,0.3407869085453222
[6 4 1 4 1],0.6029243225406636,0.01671748449506654,0.353908007835594
