Configuracion,Precision,desvPrecision,errorMetrico
[6 6 6 6 6],0.9073088085019416,0.014477536090511995,0.1192832025446928
[6 6 6 6 5],0.8641921397379914,0.010273100430040101,0.18372425100698508
[6 4 6 6 6],0.8640915593705293,0.012037587392253283,0.13403669314337277
[6 6 6 6 4],0.8632331902718169,0.01151978377064228,0.17652379587561168
[6 6 6 3 6],0.8625086743847532,0.014094913167908682,0.10645171178590207
[4 6 6 6 6],0.8615164520743921,0.011279200769343077,0.1770295947176621
[6 3 6 6 6],0.859595562100132,0.009413827000631082,0.17124840591645116
[6 6 3 6 6],0.8591595155885041,0.009024570809844226,0.1465639510095753
[6 6 6 6 2],0.8549560596770895,0.01639174337933598,0.2441262153774857
[6 6 6 6 3],0.8540649013235843,0.011444764198387232,0.1810193359837562
[6 3 3 3 6],0.8520281134694153,0.011406333095845904,0.16353451375805247
[6 5 6 6 6],0.8478893740902474,0.008592996881016264,0.2058535025288348
[6 6 3 3 2],0.847803264953793,0.016578368494084318,0.1398785778056298
[6 6 6 3 4],0.8477899360211232,0.015300807186043038,0.1316504261700045
[6 6 3 3 5],0.8466737046063748,0.011409685370745166,0.1641404834736643
[6 6 3 3 4],0.8464781997901222,0.014289434662620898,0.15839191898578667
[6 6 6 3 5],0.8459392825645905,0.00966126960324202,0.18863128576973487
[6 6 4 6 6],0.8452074391988555,0.01307741903522339,0.17601799703356122
[6 6 2 6 6],0.8440823625587575,0.015233308077647174,0.1738704308278573
[6 5 3 3 5],0.8435802694401362,0.01478815216065426,0.1677880497730791
[6 6 6 4 6],0.8426323319027181,0.01051283151409092,0.15022225608898757
[6 1 3 6 5],0.840883775583295,0.01680735862556985,0.23121044199279286
[6 5 6 3 6],0.8378302292543693,0.014778217990465536,0.13964968117759377
[6 6 3 6 5],0.8375324201389341,0.018202110655138996,0.1677880497730791
[6 4 6 6 4],0.8366237482117309,0.011948848651113656,0.15123385377308848
[6 4 4 6 6],0.8360515021459227,0.015034397316646242,0.1689368132448547
[6 6 3 3 6],0.8354460749466842,0.012837047028634854,0.10593745230867548
[6 6 6 4 4],0.8349070100143061,0.008984445475311928,0.15932663524589594
[6 6 3 4 5],0.8348612613551945,0.015242611308199113,0.15997183627433317
[6 4 3 4 5],0.83456519000265,0.011801823298072904,0.17664642507165781
[6 1 6 6 6],0.8336653226130977,0.01944609163330838,0.23191967647743333
[6 6 3 6 4],0.8333826292271759,0.011453624089112406,0.19130452552828778
[4 6 6 4 6],0.832904148783977,0.013538790459880962,0.16438462366640055
[6 4 6 4 4],0.832618025751073,0.01155171916348287,0.12999030240696902
[6 5 6 3 5],0.8325252735890452,0.020099106777170597,0.1651826452734971
[6 6 6 4 5],0.832289584579933,0.014411510806302227,0.2182047126805649
[4 6 6 6 4],0.8310443490701,0.017700936160773617,0.21344711134529548
[6 6 4 3 6],0.8309066213059815,0.010654241182353941,0.1342217235561374
[6 6 5 6 6],0.830858806404658,0.00547740545042991,0.21151447384837777
[6 4 6 3 5],0.830732119505954,0.008386484167532168,0.11515887888152322
[6 6 6 5 6],0.8302765647743815,0.0077898621020434655,0.18784132105756177
[6 6 4 3 5],0.8293992553686012,0.0165608623852591,0.1578875126746676
[4 6 6 6 5],0.8292296332132354,0.011140749580727765,0.23209982410126123
[6 5 6 6 5],0.8283842794759826,0.01312386712726185,0.24753883679092387
[6 6 3 4 6],0.827419941775837,0.012540057937007134,0.1630202542808259
[6 4 6 3 6],0.8272701499610712,0.013227968546684253,0.10645171178590207
[6 1 3 3 5],0.8272557162517806,0.02035853548488629,0.2191534557539049
[6 5 4 3 6],0.826747863637746,0.014811834451897767,0.18133615317090535
[4 6 4 6 6],0.8257510729613733,0.009289089030470907,0.20940072060889178
[6 6 6 6 1],0.8252428551882882,0.01584316523905481,0.2106426419382193
[6 4 4 3 6],0.8242129582613995,0.013352539834587777,0.09513800328691731
[4 5 6 6 6],0.8239913682253936,0.016298099216219452,0.22489495151275202
[4 4 6 6 6],0.8226037195994278,0.0086785412807457,0.20940072060889178
[6 6 3 4 4],0.8224687722148879,0.011883987295425467,0.19490434186887384
[4 6 6 4 4],0.8224606580829757,0.007925401421725056,0.22052829513400193
[4 4 6 6 2],0.8217453505007153,0.015061599070960614,0.17652379587561168
[4 6 6 6 3],0.8217441437324396,0.02439866195967083,0.22267435363910917
[5 6 6 6 6],0.8213973799126638,0.016925740157380464,0.17754864593112005
[6 3 5 6 6],0.8211726858428803,0.012110158933953473,0.2454291038606219
[6 2 6 6 6],0.8209121193541794,0.01005917732694134,0.1844846141051393
[6 5 6 3 4],0.8202586225622446,0.012549921011016974,0.1662248070733299
[6 1 6 6 4],0.8196231821071864,0.013816253853281146,0.24184895926239994
[6 6 2 3 5],0.8194012537959257,0.01202525924199302,0.20270047006747757
[4 4 6 4 4],0.8193133047210301,0.012521765185770499,0.19119196229507507
[6 6 6 1 6],0.8192316359626884,0.0191052676933919,0.18865637291436474
[6 4 4 3 5],0.8187869546139777,0.021142708133032338,0.18237831497073814
[6 6 4 4 4],0.8181688125894135,0.011236478092050913,0.18562817503252002
[4 5 4 3 4],0.817165403052058,0.016499088094123922,0.179429551569847
[6 6 5 3 2],0.8163043431039052,0.008213860189343144,0.20113722736772835
[6 5 4 6 6],0.8159836361244436,0.01657464872812666,0.24856810430356804
[6 5 6 4 5],0.8158401975887049,0.016564031738608737,0.23055592283229498
[6 6 5 6 5],0.8149927219796215,0.016344949582718673,0.24290713298402508
[6 6 5 3 4],0.8146597677479896,0.020158665190765538,0.14121292387734297
[6 6 5 6 4],0.814237759982346,0.005096290117796823,0.24650956927827966
[6 6 3 4 1],0.8132035154646644,0.017223285106398447,0.21277034539214068
[4 6 2 6 6],0.8131616595135908,0.01034009213138348,0.1750063993494603
[6 6 2 4 6],0.8130185979971388,0.004998971447684172,0.21192971481914408
[6 3 4 3 5],0.8127432324996416,0.013685436992700153,0.21676965436522017
