Configuracion,Precision,desvPrecision,errorMetrico
[6 6 6 6 6],0.9276212957285919,0.012894172585438575,0.10917445656632903
[6 6 6 6 4],0.9032904148783978,0.010359866661076786,0.11886272788185885
[6 6 6 3 6],0.9032463356013676,0.010050563255817272,0.07765318106121359
[6 4 6 6 6],0.8998569384835481,0.008957067721029197,0.09104379156908338
[6 6 6 6 3],0.8993178971598794,0.010428033429923352,0.13525024251059056
[6 5 6 6 6],0.8960698689956331,0.010004564935918251,0.1379218466943193
[6 6 6 4 6],0.89241773962804,0.006673478563485321,0.12341491746031304
[6 3 6 6 6],0.8918974899292509,0.00794999448743714,0.12393653401160579
[6 6 6 2 6],0.8901453096259961,0.014181430956425219,0.13697350800682945
[6 6 6 3 2],0.8894193663044583,0.008622540772165291,0.09462374380969074
[6 1 2 6 1],0.8888423433211805,0.012655148736137711,0.1347545520816891
[6 2 6 6 6],0.8871383609237687,0.011978155624054817,0.1243375755338747
[6 1 2 6 6],0.8860302935187645,0.010037845752979944,0.12340680032744161
[6 5 6 6 2],0.8855895196506551,0.012642824308942346,0.14564135303915063
[6 1 3 6 5],0.8852335192473302,0.009309123543000165,0.14113766244345333
[6 4 6 3 6],0.8837319318912698,0.013793118396311867,0.0699392889028149
[6 1 6 6 1],0.8836311176570006,0.01322393168784421,0.14752077280521753
[6 3 3 6 6],0.883454563149521,0.010389058735501435,0.12959338826109817
[6 6 6 3 5],0.8829419022421485,0.008199404032601942,0.11203239348202484
[6 5 2 6 6],0.881513828238719,0.011953691509547485,0.1379218466943193
[6 1 3 6 1],0.8810234927686699,0.01602752963844428,0.11560522099639645
[6 3 2 6 6],0.8802551961680377,0.012320714935273354,0.15376358369074744
[6 4 3 3 2],0.8790780186858942,0.013716204144271358,0.09205244642355782
[6 3 3 3 4],0.8790746335601367,0.006320635124591492,0.102851895445316
[6 1 6 6 5],0.8786138542144529,0.008001694664408567,0.1510669452284199
[6 4 6 6 5],0.8784394481435743,0.010818499399760328,0.14409745177018438
[6 3 6 6 5],0.8780794244529304,0.015279153888111872,0.16101399807416594
[6 1 6 6 4],0.8778106413630473,0.014298244056583791,0.14113766244345333
[6 4 6 3 2],0.8774743153583155,0.013059660114556613,0.08896688956019835
[6 1 2 6 2],0.8774046084136143,0.015239355496133093,0.14539306935129614
[6 4 6 6 4],0.8768240343347639,0.016115230545825813,0.10824095219879915
[6 4 6 6 2],0.8761087267525036,0.012862813615444346,0.10824095219879912
[6 3 3 6 5],0.8757173702434171,0.014902598493165137,0.15111346097575448
[6 4 6 4 6],0.8756795422031474,0.00905817803620986,0.09205538925318431
[4 6 6 4 6],0.8753934191702433,0.014996914343052462,0.12543811282851489
[6 6 4 3 6],0.8749980958667616,0.011377676208366853,0.11570838237598051
[4 1 2 6 5],0.8749953722706456,0.013767316706853681,0.10638517269607034
[4 1 2 6 6],0.87439779156707,0.007084848413053039,0.10638517269607034
[6 1 6 6 6],0.8741985979992114,0.006993731627588038,0.14255613141273427
[6 1 2 6 4],0.8741969883542184,0.019719367149465747,0.14752077280521755
[6 4 6 1 2],0.8735982004168982,0.01203942167035121,0.10425746924214895
[6 1 6 1 2],0.8735949811269125,0.014208424935638739,0.13546378656632957
[6 4 2 3 2],0.873254967672049,0.010224078996951288,0.08999540851465151
[6 3 6 3 6],0.8729860617446938,0.011158751915577511,0.12290801505715263
[6 3 6 6 3],0.8726932483666767,0.01594186311707456,0.19079026605106125
[6 3 3 6 2],0.8725400714261535,0.012100071234705571,0.12753635035219185
[6 6 3 6 3],0.8723995887072205,0.010101009627918307,0.11519412289875394
[6 1 3 6 3],0.8723953931960307,0.015924663700087566,0.1326268486277677
[6 1 3 6 6],0.8721945899831793,0.010872261201261196,0.1212790968735202
[6 1 6 3 6],0.8713937915992627,0.014872400846916968,0.13617302105097004
[6 6 6 4 4],0.871101573676681,0.007821423137531688,0.14769326187873527
[6 4 6 3 5],0.8708364287234828,0.008625748343398534,0.0797253776872084
[6 1 4 6 1],0.870384141777531,0.021704053025582683,0.15674082110554363
[6 1 3 6 4],0.8701909843783951,0.01752466369882149,0.11986062790423925
[6 3 2 6 2],0.8693449358518668,0.01343691368569285,0.13473598303336398
[6 4 6 3 3],0.868744710741004,0.010979221751194562,0.0899954085146515
[6 3 6 6 2],0.8686190379472597,0.009786522617260554,0.17227692487090432
[6 3 3 4 3],0.8685972462001963,0.01181744952165337,0.1599346974174664
[4 1 3 6 5],0.8685761080393719,0.00984506721162072,0.1524854141977008
[6 6 6 6 1],0.8681777209036546,0.013352601232675973,0.1744716832215554
[6 4 3 6 2],0.868017331843878,0.01206636089111063,0.11365134446707419
[6 6 6 4 2],0.8676680972818313,0.009210539973001355,0.15072805493103805
[6 5 3 4 5],0.8674460533232544,0.010101480411871653,0.12922806317926588
[6 5 6 3 2],0.8670179119909983,0.014373969312847117,0.14225508567717576
[6 2 3 6 5],0.866431199794944,0.00955483117355492,0.14017076207751017
[4 4 2 3 4],0.8661658748020338,0.01006008437070305,0.10636273726046842
[6 4 6 1 6],0.8655729128940612,0.008169931550345044,0.10283900027286799
[6 5 3 3 4],0.8655256081084017,0.014211470596299574,0.10369509908336254
[5 1 2 6 1],0.865368487979976,0.018499304892537868,0.1510669452284199
[6 2 6 6 2],0.8646832209278562,0.00960014202330018,0.16628887134408446
[6 4 2 1 2],0.864570506474797,0.01027197355488059,0.09858359336502519
[4 4 2 3 2],0.8642275568892221,0.009437769032672821,0.08308162309615989
[4 3 2 6 6],0.8639412172912223,0.009847696978623659,0.1342217235561374
[6 2 6 6 4],0.8638054363376252,0.010232649351786936,0.1416236757741297
[6 3 2 6 4],0.8637943874614942,0.012548552172473628,0.179990817029303
[3 1 3 6 1],0.8637656839783986,0.017490224861963152,0.1439746003820152
[4 6 2 6 5],0.8634448164793055,0.01338153371687542,0.14203891674489605
[6 1 3 6 2],0.8625685105150058,0.016208852738269015,0.11347751754247504
[6 4 6 5 6],0.8622773625981897,0.011752995847506853,0.11219015887821499
[6 3 6 3 3],0.86192241291764,0.011192301033051416,0.19798989873223333
[6 4 3 4 2],0.8614649977996682,0.011877469222474405,0.12959338826109817
[4 1 2 1 3],0.8612850299401199,0.011947124147814204,0.1483440799692058
