Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 6 5],0.8595115839127336,0.02082013961054118,0.12426876600060614
[6 1 3 3 5],0.8525778198167211,0.015385874309381055,0.10589099074699537
[6 1 3 3 3],0.8372067505516132,0.012857269203926954,0.1355503841835018
[6 1 3 6 1],0.8362251774106984,0.018626013685192802,0.17699253985743865
[6 1 3 4 5],0.8359518954376828,0.025078365558802915,0.19101521474432137
[6 1 2 6 1],0.8356530160486993,0.017728608732087946,0.2402295547128367
[6 1 2 3 6],0.8350056652155764,0.014284144947067125,0.16576862269574744
[6 1 2 3 2],0.8347623591150336,0.013223419867148966,0.17958267458705968
[6 1 2 3 5],0.8347302410141758,0.017834369545820333,0.16977563805716614
[6 1 2 3 1],0.8342697835291311,0.010541427976969222,0.1554080837772632
[6 1 3 3 2],0.8332941737730335,0.015553221100912102,0.1545447055340562
[6 1 3 3 1],0.8320704872085395,0.010714083579815754,0.1364137624267088
[6 1 1 6 1],0.8303634015864232,0.014815265894352623,0.21136805343991638
[6 1 2 3 4],0.8295843520782397,0.019097530156653778,0.18066664702688073
[6 1 4 3 1],0.8290953545232274,0.012772574950228814,0.21524399574015937
[6 1 3 3 4],0.8268948655256724,0.019214555212115896,0.10805421472899565
[6 1 4 6 1],0.8248022735657627,0.015137321656263596,0.20287937659493982
[6 1 3 1 5],0.8235897845367663,0.015905623567361592,0.14352167340915076
[4 1 3 6 1],0.8234718826405867,0.020855616735585437,0.18239551446254468
[6 1 6 6 1],0.8226699409703008,0.021575984550445543,0.2156123918624047
[6 1 3 6 3],0.8223000775240026,0.01758078286219799,0.15281794904764215
[6 1 1 3 4],0.821760391198044,0.011900335964438109,0.16337797267024143
[6 6 3 3 2],0.8214103528526764,0.011619362637074533,0.19518201708296956
[6 4 6 1 2],0.820723805570928,0.016210987486102377,0.16298259542354998
[6 1 2 1 2],0.8202782005165099,0.01640218828115181,0.2011816412259445
[6 1 3 2 5],0.8193781785126404,0.01472488157919361,0.1864031490009092
[6 1 3 4 1],0.8188264058679705,0.010399105290042432,0.20227748997267989
[6 1 4 3 2],0.8185819070904646,0.01703789867010694,0.21870173061148723
[6 1 2 3 3],0.8178943288210387,0.011816975717827947,0.1787192963438527
[6 4 3 3 2],0.8172547544606127,0.018078337168173544,0.1369698365494523
[4 1 3 3 5],0.8167542916742052,0.020964949195263077,0.1777961687412542
[6 1 4 6 5],0.8164988733879861,0.017088104540229652,0.23599040496812654
[6 6 6 1 2],0.8161824386644531,0.022664039698434623,0.19439069974996326
[6 1 2 6 2],0.8154607083563918,0.025581123927409195,0.2054259796484328
[6 1 3 3 6],0.8154588824616852,0.017641349792543178,0.15281794904764215
[6 1 3 6 6],0.8152137873456974,0.02215495308315174,0.16317848796612636
[6 6 6 3 4],0.8148340346505559,0.012354257637710713,0.18662140229862875
[6 1 6 6 2],0.8147476249769415,0.022418770995098834,0.24532276081982266
[6 1 2 4 1],0.8147049667957941,0.019977798067545013,0.2521137022958039
[1 1 3 6 1],0.8144725386129167,0.01565057243542992,0.20721077836968427
[6 1 6 3 3],0.8139877154272765,0.017745734529277815,0.18130943107347372
[6 6 6 3 2],0.8139019487999247,0.023017988339705857,0.211447185173217
[6 1 4 5 1],0.813802195694904,0.020997970362916715,0.2748899222705649
[6 1 3 6 4],0.8136919315403424,0.02509658175130824,0.17893777959121682
[6 6 2 1 1],0.8133030114370042,0.02806044557464821,0.19184409669647026
[6 1 4 1 1],0.8130263097214534,0.01748668174169702,0.19523956743446091
[6 1 3 1 3],0.8125189337467947,0.02178079524275058,0.16404186620933336
[6 5 4 3 1],0.8123946637839963,0.022854499399459195,0.2295687443257441
[6 1 2 1 3],0.8120305325302641,0.020976064524108887,0.18907983526233693
[6 1 1 3 6],0.8120239728069653,0.020107216036228143,0.1744024051278176
[6 1 3 4 3],0.8117359413202936,0.01769873943359791,0.17202230984856107
[6 1 6 3 5],0.8116981549271551,0.01740706868777218,0.15489839142329076
[6 3 3 3 5],0.8116364359011419,0.010778804506435627,0.1761259835348088
[6 4 6 3 2],0.8114336256141422,0.013569193233835894,0.13696983654945233
[6 5 4 6 1],0.8108664125797018,0.014188524863370485,0.2463636095821101
[6 4 1 3 2],0.810757946210269,0.021626742677257692,0.14176712972444228
[6 1 3 5 5],0.8107012996585018,0.013428352550546566,0.22403383166306454
[6 1 3 6 2],0.8103238117955753,0.018426562032922415,0.1744024051278176
[6 6 3 1 3],0.8100745423102153,0.011816054851937893,0.17871929634385267
[6 1 3 1 1],0.8100626155405809,0.01615171217521633,0.18648970053271585
[6 1 2 5 1],0.8096792751330361,0.01496967692520535,0.22302389920064702
[6 5 3 4 5],0.8093841836488895,0.016221642781408297,0.21516868924449548
[6 5 3 6 1],0.8092167653489915,0.024085069828186714,0.2109068493390569
[6 1 5 3 4],0.8089299314546838,0.0220596152707087,0.19364386448850932
[6 1 5 6 1],0.8084681672179874,0.02635032306980367,0.27143218739923713
[4 4 6 1 2],0.8084613078767754,0.0147169968985356,0.18929749364297735
[6 5 3 3 2],0.8084477525653997,0.015340309741970677,0.1830669089943086
[6 4 1 3 3],0.8083129584352078,0.02143237848490084,0.14695373203143408
[4 1 2 1 1],0.8083113119461622,0.01383651222931824,0.19365673650544482
[6 1 3 5 1],0.8082156106429501,0.018431339468163464,0.2012803956347846
[6 4 3 3 3],0.8078116551870049,0.018834762932302775,0.15323500463969977
[6 5 4 3 5],0.8076636797225033,0.014747083475068335,0.16744982671043399
