Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 3 5],0.8924716851337738,0.013310557146167074,0.08488781902858306
[6 1 3 3 3],0.8831629793070548,0.008794372922252448,0.09669836323918599
[6 1 3 6 1],0.8824265012821279,0.015735400006509415,0.12000957580577548
[6 1 2 6 1],0.8820218824940049,0.014402712069651661,0.14430750636460155
[6 1 3 6 5],0.8815621698646291,0.014419781727011284,0.1006401978173923
[6 1 2 3 1],0.8807185878704752,0.01063885502397105,0.11396592810332634
[6 1 3 3 1],0.880712624485658,0.01293822545977872,0.10533214567125616
[6 1 2 3 5],0.8783431196717686,0.01323620969325234,0.1006401978173923
[6 1 1 3 5],0.8771018106773456,0.01581950597315646,0.08138729040884768
[6 1 2 3 6],0.8758304013357983,0.016527223817275005,0.1260532235082246
[4 1 3 6 5],0.8755810382527086,0.019304264663594407,0.14632816909312696
[4 1 2 6 1],0.8755170863309353,0.01381398945407499,0.12563241730565314
[6 1 3 3 4],0.8728606356968214,0.009016669395885461,0.11237638331815548
[6 1 2 3 4],0.8723716381418093,0.013994218113696026,0.1573269366454177
[4 1 2 6 5],0.8717915528069419,0.010801850216465157,0.14522486459577016
[4 1 3 6 1],0.8713936430317849,0.027471045291321536,0.11583411818948333
[6 1 4 3 5],0.870135493698253,0.013732223641363079,0.1673573670466302
[6 1 2 1 5],0.8693621458363296,0.016598001543637702,0.13398722626395462
[6 1 1 6 4],0.8687845877144438,0.010556817531469429,0.1162948727761789
[4 1 3 3 5],0.868683815625632,0.008640964434209404,0.098685029438953
[6 5 2 6 5],0.8673605397400033,0.012280023433155368,0.17741951964317013
[6 1 2 6 5],0.8664377486936095,0.011793968844229816,0.14522486459577014
[6 1 6 3 5],0.8652107952730758,0.010836927382023388,0.11726770876113535
[6 1 3 6 3],0.8650694734331206,0.014825375547494071,0.1303701147242597
[6 5 2 6 1],0.8647238602042284,0.01118216627197096,0.13485165998178658
[3 1 3 6 1],0.8643318027312302,0.01644276425397885,0.13641376242670883
[4 1 2 3 4],0.8638878006363887,0.009428284841837265,0.1412669661104129
[6 1 2 3 2],0.8636042697835291,0.01229796214170581,0.15368132729084918
[6 6 3 3 1],0.8633544039596874,0.016949288062575067,0.12000957580577548
[6 1 2 1 2],0.8632834117321527,0.01478595513986963,0.16128486005455467
[4 1 2 6 6],0.8627726664821989,0.017086116306866704,0.08573563613426327
[6 1 3 2 5],0.8622447976807607,0.020602194970484267,0.11901797307100306
[6 1 2 1 1],0.8620849474266741,0.01240941909448152,0.14855184478708983
[6 5 2 3 2],0.8619851134557017,0.015482937837555522,0.12320142690612239
[6 1 3 2 1],0.8618886039716143,0.011722746716847171,0.15627146202047024
[6 1 2 6 4],0.8618209278730863,0.022384193092534727,0.12902788804364373
[6 6 2 3 2],0.8611509438397705,0.015124927772938682,0.11385617663173224
[6 5 2 3 1],0.8602603002235707,0.021729071980137214,0.14439680556408457
[4 1 6 6 5],0.8598003259983701,0.017590928982726715,0.14090269600661035
[6 1 2 1 4],0.8594159287954252,0.022681272476434845,0.1468541094180945
[6 1 3 5 1],0.8592695870083287,0.01340368572451777,0.13827088047954766
[6 1 3 6 6],0.8587166795873337,0.017500892815440813,0.14159403188595093
[4 1 4 6 5],0.8583369289035907,0.010215180471820066,0.14522486459577016
[6 1 5 3 1],0.8582758027663807,0.010544998203904086,0.14964759849368767
[6 4 2 3 5],0.8582592619357324,0.016009725807876556,0.12667188963587234
[4 1 2 3 5],0.8580655804003788,0.020193951343080396,0.15822227860460236
[6 1 2 3 3],0.8579831832548154,0.011090144053759401,0.1364137624267088
[6 3 2 1 2],0.8579796052239251,0.014371255635114117,0.15540808377726323
[6 3 3 6 5],0.857807607072313,0.008916709547244661,0.15530320715630921
[6 5 2 3 6],0.8575661222720047,0.017885204923201642,0.1197309641763725
[6 5 3 3 5],0.857311388929036,0.021245455940558485,0.165714595345559
[6 5 4 6 1],0.8568711347619733,0.01560424510020173,0.18498881561604055
[6 1 3 4 1],0.8567237163814181,0.012572088148833685,0.13312279254612264
[6 1 2 4 1],0.8565255487917358,0.011113439198822695,0.19693730280345623
[6 1 2 6 3],0.8565126125588884,0.016525917284266094,0.13900389715632988
[6 5 2 3 5],0.8563376210435033,0.015451704965535922,0.1466270503319344
[6 1 4 6 4],0.8562903523335178,0.02195543249305227,0.15194731552508048
[6 1 3 4 2],0.8559902200488997,0.014317277234188101,0.1547336354919218
[6 5 3 3 2],0.855847424965072,0.012873273859294031,0.12840712100074728
[6 5 2 3 3],0.8558444139326493,0.01695380921232283,0.14402420328462195
[6 3 3 1 5],0.8558103825270866,0.015389158381726945,0.14789733418381998
[6 1 3 6 4],0.8557457212713935,0.01832925654180078,0.13571609369961857
[6 5 2 6 6],0.8554796774724369,0.014230381593317885,0.15170654578184112
[6 1 3 1 1],0.8550474089092971,0.013440873674530944,0.12950673648105265
[4 1 2 3 6],0.8547677261613691,0.016225584374608373,0.13398722626395462
[4 1 3 3 3],0.8539436951806094,0.011990825943514182,0.11132517184804494
[4 1 1 6 5],0.8539359509084807,0.014878125003416455,0.10373204613983583
[6 6 2 1 5],0.8532342154465699,0.01755702848496319,0.13744496113528246
[6 1 3 1 2],0.8528445345578151,0.016273617450259393,0.14418416661557198
[4 1 2 1 5],0.8528344671201815,0.017577718799350137,0.16835875742536846
[4 1 2 1 2],0.8528288673960149,0.01310139487444333,0.1417181481706512
[4 1 2 6 4],0.852447080796901,0.020018959253269415,0.13072562341263905
[6 3 2 6 6],0.8524342368179788,0.010770905060473254,0.1523789431612657
[6 3 3 3 1],0.8523519589719125,0.017650334960537688,0.10533214567125616
[4 1 6 3 2],0.8518337408312957,0.006758080665567348,0.1884465504873684
[4 1 3 1 5],0.85160864614042,0.017046450305310948,0.15414438482613319
[6 6 2 1 1],0.8515103301973805,0.016536069767126266,0.14260977099560626
[6 1 2 4 5],0.850999568531569,0.02149796989489678,0.19276871907652826
[6 5 3 3 6],0.8509346244640362,0.012511610039020286,0.12059857985880994
[4 1 3 3 4],0.8509030463076488,0.01708538113015078,0.15585524058726294
