Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 3 5],0.7718073606368082,0.020370468120466844,0.1618994486627615
[6 1 3 3 1],0.7624038404198223,0.014478536187864731,0.17612916161423164
[4 1 3 3 1],0.7602692634160142,0.018905475860097866,0.19884978971478373
[6 1 2 3 1],0.7562973343669868,0.013423949115230318,0.2538332035028632
[6 1 3 1 5],0.7529721396457264,0.014543023394351725,0.2187830387334615
[6 1 2 3 5],0.747522295653883,0.018655807797064355,0.19602960270518152
[4 1 2 3 1],0.7469972193821486,0.023864561818458887,0.21846202955872596
[6 1 3 4 1],0.7452322738386308,0.022615806513148526,0.28958529547370837
[6 1 1 3 5],0.7450482765398128,0.016805113797451546,0.21003171718412303
[6 1 3 4 5],0.7442442817482742,0.01914680692825602,0.2795130894653144
[4 1 3 6 1],0.7422982885085575,0.017535864134025535,0.28872086175587636
[6 1 1 3 1],0.7413781382312601,0.018162396760235122,0.2175713172881685
[4 1 4 3 1],0.7402730359332264,0.016517832236674912,0.24030881923060737
[4 1 3 3 5],0.7399021934632455,0.013480553521348476,0.20226353141206896
[6 1 3 3 3],0.7379700638082175,0.019234330232010186,0.22879523444985975
[4 1 3 1 1],0.7372328586249175,0.02215624554678586,0.28407112816397684
[4 1 2 1 1],0.7360926131458874,0.018612827342997063,0.3168253888422412
[5 1 3 3 1],0.7358627422165306,0.01856460186946578,0.2176335516466605
[6 1 6 3 1],0.7355125529250401,0.024144819810505404,0.28750495498793693
[6 1 6 3 5],0.7351270176645456,0.018809750570259656,0.23103488890253537
[4 1 4 1 1],0.7339636476565937,0.02024099461669267,0.2992734094648458
[6 1 3 1 1],0.7338034468364244,0.011440781747028658,0.23052199093627376
[6 1 6 1 5],0.7333579030634259,0.021670266333796637,0.2688388862457412
[4 1 6 4 1],0.7329937972698763,0.021005144966646235,0.32256972010910934
[4 1 3 4 1],0.7324526077525229,0.02283209061075444,0.26257385360021634
[6 1 1 4 1],0.7320385998893193,0.020810762975622718,0.29285935115169137
[6 1 1 3 3],0.7316089212236865,0.020261761843680247,0.24088252985475794
[6 1 3 2 1],0.7311133639453754,0.011955510483494986,0.29268522444717904
[6 1 2 3 6],0.7286808992784304,0.030218575839786755,0.24174590809796498
[6 1 3 3 2],0.7281811676307473,0.017423921818877502,0.23397550390910182
[4 1 3 2 1],0.7279843864963259,0.014788860501945727,0.2894814879311739
[6 1 3 3 6],0.7274494603136741,0.016499042382181105,0.19512348296478602
[6 1 2 3 4],0.7268948655256724,0.019743938614398458,0.248956910735606
[6 1 2 1 5],0.725535739968359,0.01673017896324984,0.27921209085972476
[6 4 3 3 1],0.7254278728606358,0.025667714096079163,0.15992023779891357
[6 4 4 4 1],0.7250622578859989,0.025209178023712718,0.27163765903924997
[4 5 2 3 1],0.7249076744606805,0.01606607743633938,0.26995656813465657
[6 1 6 3 6],0.7232876140497346,0.019554787647521398,0.28405144201510885
[4 1 5 1 1],0.7231458320623105,0.022150506262613678,0.2702471238131225
[6 1 1 6 1],0.7229610542335363,0.022196374404960306,0.3616176335960016
[6 1 2 4 1],0.7229074432761482,0.025908464461251307,0.34379141222155074
[4 1 1 3 1],0.7213651796661322,0.018816881349856054,0.2333989809779701
[6 1 6 3 4],0.7202933985330073,0.017501740995768494,0.26970331996357316
[6 1 5 3 1],0.7202632484092082,0.016224670987812405,0.24503700338147688
[1 1 3 3 1],0.7200372000181463,0.0162749284679363,0.2061141043033128
[4 1 4 4 1],0.719442982720991,0.017117105164354322,0.2838696310365082
[6 1 3 3 4],0.7193154034229828,0.021365332298243004,0.1919042853586963
[5 1 3 1 1],0.7189128335397729,0.026734371143421462,0.23300543819419414
[6 1 2 1 1],0.7181666205497141,0.02061108006687,0.3310583969540859
[4 5 3 3 1],0.716829322804142,0.017281121352660914,0.2658786743561874
[6 1 4 3 2],0.7154034229828851,0.019474139610503552,0.26711001881007723
[4 1 3 5 1],0.7147364332010089,0.017536935890884023,0.3327561323230812
[6 4 4 1 1],0.7147332134292566,0.020746195122792365,0.25805577608728747
[4 1 3 6 5],0.714008795420485,0.022270792928973025,0.3198190522095289
[6 5 1 4 1],0.7137254901960783,0.02650004634358705,0.298229632652028
[6 1 2 2 1],0.7133571988562996,0.016984667902993408,0.3819904580239453
[6 5 3 3 1],0.7118474068250498,0.014961641471723065,0.2109068493390569
[6 4 3 3 5],0.7113690562219974,0.019810562291955294,0.20128683832549576
[6 1 5 3 5],0.7113523573200993,0.019664538294639208,0.25028779631107995
[1 1 3 1 1],0.7113074445402168,0.02002281897030384,0.27757702367854903
[4 1 3 1 5],0.7103622779663903,0.018992105728379133,0.3082887696522665
[5 1 3 3 5],0.7102292528289211,0.018597623494747178,0.22410592492983258
[5 1 3 4 1],0.709664115963006,0.022479053327518785,0.2887148795156146
[6 4 3 1 3],0.7092909535452322,0.01608683046415255,0.28872086175587636
[4 1 6 2 1],0.7082376406567054,0.01895100476128619,0.3836881933929406
[6 6 1 1 1],0.7080727725511898,0.015553338558063083,0.25466030534929684
[4 1 5 4 1],0.7078045878835946,0.022114283678247384,0.30532344666792305
[6 6 3 3 1],0.7074011568966545,0.020056005327392372,0.2210248302609966
[6 4 3 4 1],0.7068459657701711,0.019141303203960725,0.23944813983945437
[4 1 2 2 1],0.7066927399890773,0.016832417748633574,0.32424518717578305
[6 6 1 1 5],0.7044902679898366,0.02734786000676981,0.29736519893419605
[6 1 2 6 1],0.7042202776240545,0.01965362316942319,0.37435064886346636
[2 1 3 3 1],0.7041641010559594,0.022222643515436655,0.1816976739665647
[6 1 4 2 1],0.7027180178933776,0.027085117095486493,0.40745648855887495
[5 1 2 1 1],0.7026966292134832,0.026609056990050586,0.32812932655061133
[6 1 3 5 5],0.7026662653858438,0.02520662879871863,0.32117350086072144
